timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-02-14,19.8,20.0,19.8,19.94,18.9735,5561,0.0,1.0
2007-02-15,19.95,20.0,19.87,19.94,18.9735,33238,0.0,1.0
2007-02-16,19.93,22.01,19.93,20.03,19.0591,129668,0.0,1.0
2007-02-20,20.13,20.31,19.95,20.27,19.2875,74229,0.0,1.0
2007-02-21,20.24,20.46,20.22,20.428,19.4378,48950,0.0,1.0
2007-02-22,20.63,21.8,20.62,20.94,19.925,88010,0.0,1.0
2007-02-23,21.01,21.11,20.96,21.06,20.0392,66436,0.0,1.0
2007-02-26,21.2,21.24,21.02,21.152,20.1267,43384,0.0,1.0
2007-02-27,22.33,22.33,19.9,20.03,19.0591,47267,0.0,1.0
2007-02-28,20.11,20.1375,19.7,20.03,19.0591,30570,0.0,1.0
2007-03-01,20.02,20.02,19.3,19.91,18.9449,30215,0.0,1.0
2007-03-02,19.86,19.86,19.3625,19.41,18.4691,10851,0.0,1.0
2007-03-05,19.01,19.4,18.88,18.88,17.9648,13422,0.0,1.0
2007-03-06,19.15,19.592,19.15,19.54,18.5928,18429,0.0,1.0
2007-03-07,19.69,19.81,19.61,19.72,18.7641,11129,0.0,1.0
2007-03-08,20.1,20.1,19.87,19.97,19.002,11995,0.0,1.0
2007-03-09,20.29,20.34,20.13,20.2,19.2209,22700,0.0,1.0
2007-03-12,20.22,20.43,20.21,20.37,19.3826,33084,0.0,1.0
2007-03-13,20.28,20.32,19.83,19.83,18.8688,17855,0.0,1.0
2007-03-14,19.95,19.95,19.43,19.75,18.7927,12365,0.0,1.0
2007-03-15,19.79,19.94,19.79,19.94,18.9735,7242,0.0,1.0
2007-03-16,19.76,20.02,19.65,19.76,18.8022,4617,0.0,1.0
2007-03-19,19.95,19.95,19.79,19.79,18.8307,3990,0.0,1.0
2007-03-20,19.8701,20.1,19.8701,20.08,19.1067,7151,0.0,1.0
2007-03-21,20.18,20.54,20.169,20.5001,19.5064,9351,0.0,1.0
2007-03-22,20.61,20.7499,20.56,20.71,19.7061,13705,0.0,1.0
2007-03-23,20.72,20.79,20.68,20.7505,19.7447,9703,0.0,1.0
2007-03-26,24.0,24.0,20.01,20.65,19.649,6900,0.0,1.0
2007-03-27,20.75,20.83,19.0101,20.64,19.6395,44623,0.0,1.0
