timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-05-07,20.96,20.96,20.96,20.96,19.913,0,0.0,1.0
2007-05-08,20.7,20.86,20.69,20.86,19.818,1800,0.0,1.0
2007-05-09,20.86,20.86,20.86,20.86,19.818,0,0.0,1.0
2007-05-10,20.77,20.81,20.57,20.57,19.5424,2275,0.0,1.0
2007-05-11,20.54,20.64,20.5,20.64,19.609,1200,0.0,1.0
2007-05-14,20.7154,20.78,20.6,20.6,19.5709,1700,0.0,1.0
2007-05-15,20.6,20.6,20.6,20.6,19.5709,0,0.0,1.0
2007-05-16,20.6,20.68,20.6,20.68,19.647,1200,0.0,1.0
2007-05-17,20.64,20.64,20.61,20.61,19.5804,1000,0.0,1.0
2007-05-18,20.68,20.68,20.68,20.68,19.647,900,0.0,1.0
2007-05-21,20.76,20.76,20.68,20.75,19.7135,677,0.0,1.0
2007-05-22,20.75,20.75,20.75,20.75,19.7135,0,0.0,1.0
2007-05-23,20.98,21.06,20.98,21.05,19.9985,1300,0.0,1.0
2007-05-24,20.92,20.97,20.7,20.72,19.685,3100,0.0,1.0
2007-05-25,20.75,20.81,20.74,20.81,19.7705,1894,0.0,1.0
2007-05-29,20.81,20.81,20.81,20.81,19.7705,400,0.0,1.0
2007-05-30,20.81,20.81,20.81,20.81,19.7705,0,0.0,1.0
2007-05-31,20.81,20.81,20.81,20.81,19.7705,0,0.0,1.0
2007-06-01,21.21,21.21,21.21,21.21,20.1505,100,0.0,1.0
2007-06-04,21.21,21.21,21.21,21.21,20.1505,0,0.0,1.0
2007-06-05,21.21,21.21,21.21,21.21,20.1505,0,0.0,1.0
2007-06-06,20.88,20.88,20.79,20.79,19.7515,1632,0.0,1.0
2007-06-07,20.7,20.79,20.47,20.47,19.4474,1000,0.0,1.0
2007-06-08,20.5582,20.5582,20.5582,20.5582,19.5312,840,0.0,1.0
2007-06-11,20.6124,20.69,20.6124,20.69,19.6565,2140,0.0,1.0
2007-06-12,20.57,20.57,20.57,20.57,19.5424,100,0.0,1.0
2007-06-13,20.75,20.75,20.75,20.75,19.7135,250,0.0,1.0
2007-06-14,21.0,21.0,21.0,21.0,19.951,100,0.0,1.0
2007-06-15,21.0,21.0,21.0,21.0,19.951,0,0.0,1.0
2007-06-18,21.0,21.0,21.0,21.0,19.951,0,0.0,1.0
2007-06-19,21.0,21.0,21.0,21.0,19.951,0,0.0,1.0
2007-06-20,21.0,21.0,21.0,21.0,19.951,0,0.0,1.0
2007-06-21,21.0,21.0,21.0,21.0,19.951,0,0.0,1.0
2007-06-22,21.0,21.0,21.0,21.0,19.951,0,0.0,1.0
2007-06-25,21.0,21.0,21.0,21.0,19.951,0,0.0,1.0
2007-06-26,20.74,20.74,20.74,20.74,19.704,200,0.0,1.0
2007-06-27,20.91,20.91,20.91,20.91,19.8655,200,0.0,1.0
2007-06-28,20.91,20.91,20.91,20.91,19.8655,0,0.0,1.0
2007-06-29,20.91,20.91,20.91,20.91,19.8655,0,0.0,1.0
2007-07-02,21.13,21.13,21.13,21.13,20.0745,200,0.0,1.0
2007-07-03,21.13,21.13,21.13,21.13,20.0745,0,0.0,1.0
2007-07-05,21.13,21.13,21.13,21.13,20.0745,0,0.0,1.0
2007-07-06,21.13,21.13,21.13,21.13,20.0745,0,0.0,1.0
2007-07-09,21.5,21.5,21.5,21.5,20.426,4300,0.0,1.0
2007-07-10,21.29,21.29,21.29,21.29,20.2265,100,0.0,1.0
2007-07-11,21.29,21.29,21.29,21.29,20.2265,0,0.0,1.0
2007-07-12,21.52,21.52,21.52,21.52,20.445,5000,0.0,1.0
2007-07-13,21.52,21.52,21.52,21.52,20.445,0,0.0,1.0
2007-07-16,21.52,21.52,21.52,21.52,20.445,0,0.0,1.0
2007-07-17,21.52,21.52,21.52,21.52,20.445,0,0.0,1.0
2007-07-18,21.52,21.52,21.52,21.52,20.445,0,0.0,1.0
2007-07-19,21.52,21.52,21.52,21.52,20.445,0,0.0,1.0
2007-07-20,21.52,21.52,21.52,21.52,20.445,0,0.0,1.0
2007-07-23,21.52,21.52,21.52,21.52,20.445,0,0.0,1.0
2007-07-24,21.52,21.52,21.52,21.52,20.445,900,0.0,1.0
2007-07-25,21.65,21.65,21.65,21.65,20.5685,900,0.0,1.0
2007-07-26,21.26,21.26,20.74,20.74,19.704,2100,0.0,1.0
2007-07-27,20.74,20.74,20.74,20.74,19.704,0,0.0,1.0
2007-07-30,20.95,20.99,20.95,20.99,19.9415,1800,0.0,1.0
2007-07-31,20.99,20.99,20.99,20.99,19.9415,0,0.0,1.0
2007-08-01,20.99,20.99,20.99,20.99,19.9415,0,0.0,1.0
2007-08-02,20.99,20.99,20.99,20.99,19.9415,0,0.0,1.0
2007-08-03,20.99,20.99,20.99,20.99,19.9415,0,0.0,1.0
2007-08-06,20.86,20.86,20.86,20.86,19.818,200,0.0,1.0
2007-08-07,20.86,20.86,20.86,20.86,19.818,0,0.0,1.0
2007-08-08,20.86,20.86,20.86,20.86,19.818,0,0.0,1.0
2007-08-09,21.2496,21.2496,21.2496,21.2496,20.1881,200,0.0,1.0
2007-08-10,21.25,21.25,21.25,21.25,20.1885,0,0.0,1.0
2007-08-13,22.14,22.14,21.02,21.02,19.97,2800,0.0,1.0
2007-08-14,21.02,21.02,21.02,21.02,19.97,0,0.0,1.0
2007-08-15,21.02,21.02,21.02,21.02,19.97,0,0.0,1.0
2007-08-16,20.18,20.18,19.99,19.99,18.9914,1200,0.0,1.0
2007-08-17,19.99,19.99,19.99,19.99,18.9914,0,0.0,1.0
2007-08-20,20.36,20.53,20.36,20.53,19.5044,5413,0.0,1.0
2007-08-21,20.53,20.53,20.53,20.53,19.5044,0,0.0,1.0
2007-08-22,21.59,21.59,20.83,20.92,19.875,3300,0.0,1.0
2007-08-23,21.0001,21.0001,20.76,20.82,19.78,1400,0.0,1.0
2007-08-24,21.2,21.2,21.2,21.2,20.141,100,0.0,1.0
2007-08-27,21.2,21.2,21.2,21.2,20.141,0,0.0,1.0
2007-08-28,20.8401,20.8401,20.84,20.84,19.799,500,0.0,1.0
2007-08-29,20.79,20.83,20.79,20.83,19.7895,200,0.0,1.0
2007-08-30,20.855,20.855,20.855,20.855,19.8132,100,0.0,1.0
2007-08-31,20.86,20.86,20.86,20.86,19.818,0,0.0,1.0
2007-09-04,20.86,20.86,20.86,20.86,19.818,0,0.0,1.0
2007-09-05,20.86,20.86,20.86,20.86,19.818,0,0.0,1.0
2007-09-06,20.86,20.86,20.86,20.86,19.818,0,0.0,1.0
2007-09-07,20.86,20.86,20.86,20.86,19.818,0,0.0,1.0
2007-09-10,21.2,21.2,21.2,21.2,20.141,1200,0.0,1.0
2007-09-11,21.2,21.2,21.2,21.2,20.141,0,0.0,1.0
2007-09-12,21.2,21.2,21.2,21.2,20.141,0,0.0,1.0
2007-09-13,21.2,21.2,21.2,21.2,20.141,0,0.0,1.0
2007-09-14,21.2,21.2,21.2,21.2,20.141,0,0.0,1.0
2007-09-17,21.2,21.2,21.2,21.2,20.141,0,0.0,1.0
2007-09-18,21.2,21.2,21.2,21.2,20.141,0,0.0,1.0
