timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2009-07-30,6.0,6.1,5.13,5.57,5.57,406300,0.0,1.0
2009-07-31,5.75,7.0,5.51,5.95,5.95,375000,0.0,1.0
2009-08-03,6.2,6.5,5.77,6.47,6.47,208400,0.0,1.0
2009-08-04,6.33,7.52,6.27,7.41,7.41,975200,0.0,1.0
2009-08-05,7.86,9.495,7.86,9.14,9.14,994600,0.0,1.0
2009-08-06,9.15,9.1888,7.85,8.11,8.11,329100,0.0,1.0
2009-08-07,8.44,8.56,7.6,8.31,8.31,184200,0.0,1.0
2009-08-10,8.47,8.47,7.81,8.03,8.03,120900,0.0,1.0
2009-08-11,8.1,8.29,7.35,7.4999,7.4999,176300,0.0,1.0
2009-08-12,7.6,8.25,7.26,7.75,7.75,171800,0.0,1.0
2009-08-13,7.95,8.18,7.61,7.8,7.8,100500,0.0,1.0
2009-08-14,7.9,8.14,7.3601,7.71,7.71,91600,0.0,1.0
2009-08-17,7.42,7.42,6.83,6.92,6.92,138300,0.0,1.0
2009-08-18,6.92,7.31,6.66,6.73,6.73,64100,0.0,1.0
2009-08-19,6.57,7.05,6.33,7.05,7.05,107700,0.0,1.0
2009-08-20,7.0,7.3,6.9,6.93,6.93,61200,0.0,1.0
2009-08-21,7.05,7.2,6.77,7.1,7.1,107800,0.0,1.0
2009-08-24,7.12,7.47,6.76,6.9277,6.9277,131800,0.0,1.0
2009-08-25,6.78,6.9499,6.53,6.61,6.61,120300,0.0,1.0
2009-08-26,6.52,6.7,6.52,6.6,6.6,26200,0.0,1.0
2009-08-27,6.52,6.52,6.16,6.26,6.26,68800,0.0,1.0
2009-08-28,6.4495,6.72,6.18,6.63,6.63,103800,0.0,1.0
2009-08-31,6.53,6.6,6.21,6.5,6.5,45500,0.0,1.0
2009-09-01,6.32,6.54,6.17,6.21,6.21,47300,0.0,1.0
2009-09-02,6.21,6.76,6.15,6.43,6.43,43900,0.0,1.0
2009-09-03,6.55,7.38,6.55,7.0,7.0,120800,0.0,1.0
2009-09-04,7.0,7.44,6.8,7.2,7.2,54500,0.0,1.0
2009-09-08,7.41,8.28,7.41,7.86,7.86,233200,0.0,1.0
2009-09-09,7.8,8.3,7.8,8.0399,8.0399,96300,0.0,1.0
2009-09-10,8.2,8.2,7.556,7.73,7.73,34300,0.0,1.0
2009-09-11,7.96,9.15,7.62,8.8,8.8,607300,0.0,1.0
2009-09-14,8.91,9.75,8.68,9.15,9.15,288800,0.0,1.0
2009-09-15,9.2001,9.45,8.955,9.0,9.0,126500,0.0,1.0
2009-09-16,9.4,10.43,9.19,9.65,9.65,348600,0.0,1.0
2009-09-17,9.79,10.15,9.25,9.571,9.571,124900,0.0,1.0
2009-09-18,9.86,10.64,9.1,9.63,9.63,270100,0.0,1.0
2009-09-21,9.65,9.83,9.04,9.4862,9.4862,101100,0.0,1.0
2009-09-22,9.71,10.49,9.63,10.1001,10.1001,131400,0.0,1.0
2009-09-23,10.3,10.85,10.0,10.316,10.316,203400,0.0,1.0
2009-09-24,10.46,10.46,9.5201,10.264,10.264,101800,0.0,1.0
2009-09-25,10.5,10.6,9.8157,10.16,10.16,71000,0.0,1.0
