timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-06-06,8.03,8.44,8.0,8.01,8.01,1769055,0.0,1.0
2014-06-09,7.76,8.2,7.55,8.0,8.0,152431,0.0,1.0
2014-06-10,8.1,8.1,8.0,8.0,8.0,56439,0.0,1.0
2014-06-11,7.98,8.02,7.85,7.98,7.98,96027,0.0,1.0
2014-06-12,8.0,8.2,8.0,8.01,8.01,108067,0.0,1.0
2014-06-13,8.0,8.54,8.0,8.23,8.23,81549,0.0,1.0
2014-06-16,8.22,8.44,7.46,8.14,8.14,91680,0.0,1.0
2014-06-17,8.2,8.29,8.0,8.18,8.18,92571,0.0,1.0
2014-06-18,8.15,8.61,8.15,8.6,8.6,33486,0.0,1.0
2014-06-19,8.6,8.99,8.39,8.78,8.78,39274,0.0,1.0
2014-06-20,8.93,9.73,8.23,9.73,9.73,85969,0.0,1.0
2014-06-23,9.7,10.0,9.15,9.99,9.99,79909,0.0,1.0
2014-06-24,11.3,11.3,10.0,10.57,10.57,50033,0.0,1.0
2014-06-25,10.7,10.82,10.2,10.6,10.6,14058,0.0,1.0
2014-06-26,10.2,10.89,10.06,10.25,10.25,32916,0.0,1.0
2014-06-27,10.43,10.941,10.2503,10.82,10.82,16990,0.0,1.0
2014-06-30,10.8,14.6,10.8,13.0,13.0,201379,0.0,1.0
2014-07-01,13.3,16.85,13.3,16.63,16.63,183173,0.0,1.0
2014-07-02,16.9,17.3197,14.53,15.29,15.29,113197,0.0,1.0
2014-07-03,15.28,15.99,13.94,15.11,15.11,44784,0.0,1.0
2014-07-07,15.17,15.45,12.63,13.35,13.35,55654,0.0,1.0
2014-07-08,13.39,13.39,11.3505,11.53,11.53,76165,0.0,1.0
2014-07-09,11.51,12.34,10.3401,10.96,10.96,71719,0.0,1.0
2014-07-10,10.42,10.76,10.0501,10.59,10.59,64374,0.0,1.0
2014-07-11,10.54,12.7,10.501,11.55,11.55,31808,0.0,1.0
2014-07-14,11.58,13.88,11.5,12.46,12.46,98476,0.0,1.0
2014-07-15,12.44,12.88,11.48,12.14,12.14,24560,0.0,1.0
2014-07-16,12.7,14.05,12.54,13.055,13.055,66188,0.0,1.0
2014-07-17,13.44,13.44,11.993,12.55,12.55,46478,0.0,1.0
2014-07-18,12.56,12.6,11.85,12.06,12.06,32141,0.0,1.0
2014-07-21,12.0,12.0,11.0,11.16,11.16,17216,0.0,1.0
2014-07-22,11.15,11.94,10.26,10.55,10.55,40813,0.0,1.0
2014-07-23,10.58,10.81,10.02,10.0763,10.0763,38385,0.0,1.0
2014-07-24,10.06,10.4899,10.06,10.16,10.16,10932,0.0,1.0
2014-07-25,10.17,10.48,10.04,10.26,10.26,38050,0.0,1.0
2014-07-28,10.4,10.75,10.2,10.34,10.34,16554,0.0,1.0
2014-07-29,10.27,10.55,9.15,9.55,9.55,120246,0.0,1.0
2014-07-30,9.55,10.01,9.15,9.21,9.21,36004,0.0,1.0
2014-07-31,9.15,9.5,8.62,8.92,8.92,66324,0.0,1.0
2014-08-01,8.88,8.89,8.0846,8.38,8.38,73623,0.0,1.0
2014-08-04,8.5,9.63,8.42,9.46,9.46,53137,0.0,1.0
2014-08-05,9.75,12.15,9.1201,10.13,10.13,151650,0.0,1.0
2014-08-06,10.5,11.4,10.01,10.36,10.36,112636,0.0,1.0
2014-08-07,10.41,10.71,9.75,10.64,10.64,44734,0.0,1.0
2014-08-08,11.25,12.0,10.6,11.81,11.81,108013,0.0,1.0
2014-08-11,12.0,13.6,12.0,12.64,12.64,88244,0.0,1.0
2014-08-12,12.57,12.65,11.606,12.5,12.5,53748,0.0,1.0
2014-08-13,12.59,13.21,12.01,12.35,12.35,61460,0.0,1.0
2014-08-14,12.93,12.93,11.403,12.56,12.56,51727,0.0,1.0
2014-08-15,12.61,13.3599,12.0,13.16,13.16,63196,0.0,1.0
2014-08-18,13.5,14.0,12.92,13.35,13.35,127476,0.0,1.0
2014-08-19,11.71,13.68,10.75,13.39,13.39,57771,0.0,1.0
2014-08-20,13.31,13.98,12.95,13.81,13.81,24847,0.0,1.0
2014-08-21,13.78,13.78,12.649,13.49,13.49,25973,0.0,1.0
2014-08-22,13.37,14.0,13.11,13.8,13.8,28472,0.0,1.0
2014-08-25,13.5,14.0,13.0,13.97,13.97,24545,0.0,1.0
2014-08-26,13.66,14.0,13.5,14.0,14.0,18083,0.0,1.0
2014-08-27,13.7,14.0,13.33,14.0,14.0,7315,0.0,1.0
2014-08-28,13.87,13.87,13.127,13.39,13.39,10183,0.0,1.0
2014-08-29,13.69,14.0,13.5587,13.68,13.68,11212,0.0,1.0
2014-09-02,14.0,15.972,14.0,14.86,14.86,52966,0.0,1.0
2014-09-03,15.26,15.7,14.7,14.8,14.8,25429,0.0,1.0
2014-09-04,14.9,14.91,14.1317,14.51,14.51,23845,0.0,1.0
2014-09-05,14.54,15.719,14.17,14.72,14.72,48057,0.0,1.0
2014-09-08,15.2,15.98,14.31,15.98,15.98,85827,0.0,1.0
2014-09-09,15.87,15.97,15.3,15.61,15.61,67944,0.0,1.0
2014-09-10,15.85,15.96,15.33,15.89,15.89,41827,0.0,1.0
2014-09-11,15.79,15.9,15.2801,15.51,15.51,43714,0.0,1.0
2014-09-12,15.45,15.91,15.1001,15.15,15.15,52886,0.0,1.0
2014-09-15,15.1527,15.1527,13.16,14.03,14.03,68861,0.0,1.0
2014-09-16,14.44,15.72,14.3184,14.885,14.885,70243,0.0,1.0
2014-09-17,15.25,15.7,14.33,14.52,14.52,50947,0.0,1.0
2014-09-18,14.59,15.34,14.1,14.59,14.59,71244,0.0,1.0
2014-09-19,15.15,15.32,14.11,14.64,14.64,188228,0.0,1.0
2014-09-22,14.89,15.3,14.65,15.3,15.3,91707,0.0,1.0
