timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-09-22,24.41,24.4856,24.4,24.46,18.7548,8700,0.0,1.0
2014-09-23,24.28,24.58,24.28,24.58,18.8468,10091,0.0,1.0
2014-09-24,24.5,24.59,24.39,24.39,18.7011,32449,0.0,1.0
2014-09-25,24.47,24.48,24.3101,24.3501,18.6705,3025,0.0,1.0
2014-09-26,24.49,24.78,24.363,24.746,18.9741,14156,0.0,1.0
2014-09-29,24.6232,24.7,24.543,24.6999,18.9387,5462,0.0,1.0
2014-09-30,24.64,24.7,24.62,24.69,18.9311,8000,0.0,1.0
2014-10-01,24.6999,24.7,24.403,24.7,18.9388,3350,0.0,1.0
2014-10-02,24.5,24.56,24.423,24.5001,18.7855,12830,0.0,1.0
2014-10-03,24.4701,24.6,24.4701,24.6,18.8621,4700,0.0,1.0
2014-10-06,24.58,24.6,24.47,24.6,18.8621,10877,0.0,1.0
2014-10-07,24.6,24.6299,24.47,24.5,18.7855,9310,0.0,1.0
2014-10-08,24.5501,24.6,24.4999,24.6,18.8621,8657,0.0,1.0
2014-10-09,24.65,24.65,24.6,24.6,18.8621,3400,0.0,1.0
2014-10-10,24.51,24.582,24.35,24.582,18.8483,6931,0.0,1.0
2014-10-13,24.58,24.58,24.3,24.375,18.6896,10300,0.0,1.0
2014-10-14,24.35,24.43,24.22,24.25,18.5938,20412,0.0,1.0
2014-10-15,24.3488,24.4999,23.5,23.51,18.0264,50873,0.0,1.0
2014-10-16,23.49,24.1088,23.33,24.1088,18.4855,14991,0.0,1.0
2014-10-17,24.23,24.35,24.2,24.25,18.5938,17054,0.0,1.0
2014-10-20,24.4,24.4,24.25,24.4,18.7088,7188,0.0,1.0
2014-10-21,24.4088,24.6,24.4088,24.5,18.7855,7530,0.0,1.0
2014-10-22,24.6,24.6,24.5,24.5,18.7855,7364,0.0,1.0
2014-10-23,24.48,24.5,24.45,24.5,18.7855,8107,0.0,1.0
2014-10-24,24.5499,24.6,24.48,24.5,18.7855,12353,0.0,1.0
2014-10-27,24.49,24.54,24.2801,24.4,18.7088,12272,0.0,1.0
2014-10-28,24.33,24.4999,24.3,24.3,18.6321,6900,0.0,1.0
2014-10-29,24.25,24.3999,24.17,24.31,18.6398,19504,0.0,1.0
2014-10-30,24.35,24.4,24.2,24.2,18.5554,8578,0.0,1.0
2014-10-31,24.3499,24.3999,24.2301,24.3999,18.7087,5034,0.0,1.0
2014-11-03,24.4,24.47,24.4,24.47,18.7625,3225,0.0,1.0
2014-11-04,24.5,24.5001,24.47,24.5,18.7855,3306,0.0,1.0
