timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,33.75,33.75,33.25,33.5,3.9927,36000,0.0,1.0
2000-01-04,33.38,33.38,32.5,32.5,3.8735,10200,0.0,1.0
2000-01-05,32.38,32.38,32.0,32.19,3.8366,33100,0.0,1.0
2000-01-06,32.38,32.75,32.31,32.5,3.8735,7900,0.0,1.0
2000-01-07,32.63,32.69,32.44,32.69,3.8961,4700,0.0,1.0
2000-01-10,32.63,32.75,32.63,32.69,3.8961,4100,0.0,1.0
2000-01-11,32.63,32.69,32.56,32.56,3.8807,6000,0.0,1.0
2000-01-12,32.5,32.75,32.5,32.75,3.9033,5500,0.0,1.0
2000-01-13,32.75,32.75,32.63,32.69,3.8961,13800,0.0,1.0
2000-01-14,32.69,33.94,32.69,33.69,4.0153,16000,0.0,1.0
2000-01-18,33.69,33.88,33.56,33.75,4.0225,23300,0.0,1.0
2000-01-19,33.75,34.0,33.75,34.0,4.0523,9500,0.0,1.0
2000-01-20,34.0,34.0,33.13,33.5,3.9927,25900,0.0,1.0
2000-01-21,33.38,33.38,33.06,33.13,3.9486,11100,0.0,1.0
2000-01-24,33.06,33.5,32.44,32.44,3.8664,16000,0.0,1.0
2000-01-25,32.38,32.63,32.38,32.56,3.8807,9800,0.0,1.0
2000-01-26,32.5,32.75,32.38,32.44,3.8664,12100,0.0,1.0
2000-01-27,32.38,32.38,32.13,32.13,3.8294,15100,0.0,1.0
2000-01-28,32.13,32.19,31.88,31.88,3.7996,11500,0.0,1.0
2000-01-31,31.88,31.88,31.25,31.25,3.7245,15900,0.0,1.0
2000-02-01,31.13,31.13,30.88,30.88,3.6804,10000,0.0,1.0
2000-02-02,31.0,31.0,30.31,30.31,3.6125,29500,0.0,1.0
2000-02-03,30.31,31.0,30.31,31.0,3.6947,7600,0.0,1.0
2000-02-04,31.25,32.06,31.25,31.94,3.8068,13700,0.0,1.0
2000-02-07,31.94,31.94,30.81,30.81,3.6721,36500,0.0,1.0
2000-02-08,32.63,34.31,32.63,34.13,4.0678,225000,0.0,1.0
2000-02-09,34.0,34.5,31.38,32.0,3.8139,420700,0.0,1.0
2000-02-10,31.88,31.88,31.19,31.31,3.7317,44700,0.0,1.0
2000-02-11,31.13,31.56,31.13,31.38,3.74,39300,0.0,1.0
2000-02-14,31.38,31.5,31.0,31.13,3.7102,16700,0.0,1.0
2000-02-15,31.25,31.38,31.13,31.25,3.7245,15800,0.0,1.0
2000-02-16,31.25,31.25,30.63,30.63,3.6506,15900,0.0,1.0
2000-02-17,30.69,30.88,30.69,30.69,3.6578,7700,0.0,1.0
2000-02-18,30.81,30.81,30.31,30.63,3.6506,30600,0.0,1.0
2000-02-22,30.5,30.5,30.31,30.38,3.6208,20600,0.0,1.0
2000-02-23,30.25,30.44,30.13,30.44,3.628,8700,0.0,1.0
2000-02-24,30.5,31.5,30.5,30.5,3.6351,29400,0.0,1.0
2000-02-25,30.5,30.5,30.0,30.13,3.591,20300,0.0,1.0
2000-02-28,30.13,30.56,30.13,30.19,3.5982,21900,0.0,1.0
2000-02-29,30.13,30.13,29.56,29.81,3.5529,17300,0.0,1.0
2000-03-01,29.94,29.94,29.31,29.5,3.5159,16200,0.0,1.0
2000-03-02,29.5,29.75,28.81,28.88,3.4421,24400,0.0,1.0
2000-03-03,28.88,28.88,28.25,28.25,3.367,6700,0.0,1.0
2000-03-06,28.56,28.56,28.44,28.5,3.3968,81500,0.0,1.0
2000-03-07,28.38,28.38,27.88,27.88,3.3229,8700,0.0,1.0
2000-03-08,27.88,27.88,27.25,27.31,3.2549,9700,0.0,1.0
2000-03-09,27.25,27.25,26.94,27.0,3.218,27300,0.0,1.0
2000-03-10,27.0,27.0,26.63,26.81,3.1953,12100,0.0,1.0
2000-03-13,26.69,26.75,26.5,26.5,3.1584,6200,0.0,1.0
2000-03-14,26.25,27.0,26.25,26.56,3.1655,46900,0.0,1.0
2000-03-15,26.56,27.5,26.56,27.5,3.2776,29600,0.0,1.0
2000-03-16,27.75,28.5,27.75,28.38,3.3825,18400,0.0,1.0
2000-03-17,28.31,29.13,28.31,29.13,3.4719,14900,0.0,1.0
2000-03-20,29.0,29.0,28.25,28.25,3.367,13600,0.0,1.0
2000-03-21,28.25,29.25,28.19,29.25,3.4862,15000,0.0,1.0
2000-03-22,29.5,30.5,29.44,30.5,3.6351,22800,0.0,1.0
2000-03-23,30.5,32.75,30.5,32.06,3.8211,41400,0.0,1.0
2000-03-24,32.31,32.31,32.06,32.06,3.8211,12100,0.0,1.0
2000-03-27,32.06,32.25,32.06,32.25,3.8437,9600,0.0,1.0
2000-03-28,32.19,32.31,32.19,32.31,3.8509,6500,0.0,1.0
2000-03-29,32.06,32.38,32.06,32.38,3.8759,6100,0.14,1.0
2000-03-30,32.25,32.88,32.25,32.63,3.9058,13800,0.0,1.0
2000-03-31,32.56,33.5,32.56,33.5,4.01,13700,0.0,1.0
2000-04-03,33.38,33.63,33.38,33.63,4.0255,5200,0.0,1.0
2000-04-04,33.63,33.63,33.0,33.38,3.9956,8500,0.0,1.0
2000-04-05,33.31,33.75,33.13,33.75,4.0399,7100,0.0,1.0
2000-04-06,33.63,34.25,33.63,33.88,4.0554,13800,0.0,1.0
2000-04-07,33.88,33.88,33.63,33.75,4.0399,4200,0.0,1.0
2000-04-10,33.5,33.5,32.81,33.0,3.9501,8400,0.0,1.0
2000-04-11,33.0,33.0,31.88,32.0,3.8304,18500,0.0,1.0
2000-04-12,32.0,32.5,32.0,32.5,3.8903,20500,0.0,1.0
2000-04-13,32.5,32.5,32.31,32.38,3.8759,4600,0.0,1.0
2000-04-14,32.25,32.25,32.0,32.0,3.8304,18100,0.0,1.0
2000-04-17,31.94,32.19,31.88,32.19,3.8531,4400,0.0,1.0
2000-04-18,32.06,32.31,31.88,32.31,3.8675,12800,0.0,1.0
2000-04-19,32.25,32.25,32.0,32.06,3.8376,6500,0.0,1.0
2000-04-20,32.06,32.13,31.88,31.88,3.816,7600,0.0,1.0
2000-04-24,31.88,32.13,31.88,32.06,3.8376,10100,0.0,1.0
2000-04-25,31.81,32.0,31.81,31.81,3.8077,12200,0.0,1.0
2000-04-26,31.81,32.13,31.81,32.0,3.8304,8600,0.0,1.0
2000-04-27,31.81,32.13,31.69,32.13,3.846,13200,0.0,1.0
2000-04-28,32.13,32.13,31.81,32.13,3.846,11600,0.0,1.0
2000-05-01,32.13,32.13,31.81,32.0,3.8304,12400,0.0,1.0
2000-05-02,31.75,31.75,31.56,31.69,3.7933,7300,0.0,1.0
2000-05-03,31.63,31.63,31.38,31.38,3.7562,4300,0.0,1.0
2000-05-04,31.25,31.56,31.25,31.56,3.7777,7400,0.0,1.0
2000-05-05,31.56,32.5,31.5,32.5,3.8903,21200,0.0,1.0
2000-05-08,32.13,32.38,32.0,32.13,3.846,15900,0.0,1.0
2000-05-09,32.38,32.44,32.19,32.19,3.8531,10800,0.0,1.0
2000-05-10,32.25,32.75,32.25,32.75,3.9202,20300,0.0,1.0
2000-05-11,32.88,33.88,32.88,33.88,4.0554,9300,0.0,1.0
2000-05-12,34.0,34.88,34.0,34.0,4.0698,40100,0.0,1.0
2000-05-15,34.0,34.0,33.5,34.0,4.0698,20400,0.0,1.0
2000-05-16,34.0,34.38,33.88,34.38,4.1153,9800,0.0,1.0
2000-05-17,34.5,34.5,34.13,34.25,4.0997,16700,0.0,1.0
2000-05-18,34.25,34.25,34.0,34.0,4.0698,2800,0.0,1.0
2000-05-19,34.0,34.13,34.0,34.06,4.077,4400,0.0,1.0
2000-05-22,33.94,34.25,33.75,34.25,4.0997,5900,0.0,1.0
2000-05-23,34.13,34.13,33.88,34.0,4.0698,6300,0.0,1.0
2000-05-24,34.0,34.5,33.88,34.5,4.1297,11400,0.0,1.0
2000-05-25,34.56,34.69,34.31,34.31,4.1069,10600,0.0,1.0
2000-05-26,34.31,35.06,34.31,34.94,4.1823,3000,0.0,1.0
2000-05-30,34.81,36.0,34.81,36.0,4.3092,16500,0.0,1.0
2000-05-31,36.0,36.38,35.94,36.38,4.3547,10200,0.0,1.0
2000-06-01,36.13,36.88,36.13,36.88,4.4145,15500,0.0,1.0
2000-06-02,37.13,37.75,37.13,37.5,4.4888,10100,0.0,1.0
2000-06-05,37.31,37.31,37.13,37.19,4.4516,3900,0.0,1.0
2000-06-06,37.19,37.19,35.88,35.88,4.2948,13600,0.0,1.0
2000-06-07,35.94,35.94,35.19,35.38,4.235,10200,0.0,1.0
2000-06-08,35.31,35.44,35.31,35.44,4.2422,1600,0.0,1.0
2000-06-09,35.44,35.44,35.19,35.19,4.2122,4600,0.0,1.0
2000-06-12,35.19,35.19,35.0,35.0,4.1895,9200,0.0,1.0
2000-06-13,35.0,35.0,34.75,34.75,4.1596,19300,0.0,1.0
2000-06-14,34.81,35.06,34.63,34.75,4.1596,5700,0.0,1.0
2000-06-15,34.75,34.88,34.63,34.88,4.1751,5300,0.0,1.0
2000-06-16,34.88,34.88,34.63,34.63,4.1452,9900,0.0,1.0
2000-06-19,34.63,35.06,34.44,35.06,4.1967,3300,0.0,1.0
2000-06-20,35.06,35.06,34.69,34.69,4.1524,3200,0.0,1.0
2000-06-21,34.69,34.69,34.31,34.31,4.1069,4600,0.0,1.0
2000-06-22,34.06,34.06,33.88,33.88,4.0554,31400,0.0,1.0
2000-06-23,33.75,33.88,33.5,33.81,4.0471,14000,0.0,1.0
2000-06-26,33.56,34.0,33.56,34.0,4.0698,10600,0.0,1.0
2000-06-27,34.0,34.19,33.75,34.19,4.0925,9600,0.0,1.0
2000-06-28,34.0,35.0,34.0,35.0,4.2075,10000,0.15,1.0
2000-06-29,34.75,35.38,34.63,35.25,4.2375,9200,0.0,1.0
2000-06-30,35.25,35.38,34.75,34.77,4.1798,12200,0.0,1.0
2000-07-03,34.63,35.5,34.63,35.5,4.2676,7900,0.0,1.0
2000-07-05,35.5,35.88,35.5,35.56,4.2748,8000,0.0,1.0
2000-07-06,35.56,35.56,35.25,35.38,4.2531,5800,0.0,1.0
2000-07-07,35.38,35.44,35.06,35.25,4.2375,11700,0.0,1.0
2000-07-10,35.19,35.31,35.13,35.13,4.2231,5300,0.0,1.0
2000-07-11,35.13,35.25,35.06,35.19,4.2303,1800,0.0,1.0
2000-07-12,35.31,35.44,35.25,35.31,4.2447,13400,0.0,1.0
2000-07-13,35.19,35.5,35.19,35.5,4.2676,26100,0.0,1.0
2000-07-14,35.38,36.0,35.38,36.0,4.3277,15900,0.0,1.0
2000-07-17,35.75,35.75,35.38,35.38,4.2531,5700,0.0,1.0
2000-07-18,35.5,35.88,35.38,35.38,4.2531,6700,0.0,1.0
2000-07-19,35.25,35.25,35.0,35.0,4.2075,1300,0.0,1.0
2000-07-20,35.13,35.13,35.0,35.13,4.2231,1500,0.0,1.0
2000-07-21,35.19,35.25,34.63,34.63,4.163,4100,0.0,1.0
2000-07-24,34.63,34.63,34.13,34.13,4.1029,11400,0.0,1.0
2000-07-25,34.0,34.0,33.75,33.88,4.0728,2600,0.0,1.0
2000-07-26,33.88,33.94,33.63,33.75,4.0572,19300,0.0,1.0
2000-07-27,33.88,34.31,33.88,34.25,4.1173,14100,0.0,1.0
2000-07-28,34.25,34.25,34.0,34.19,4.1101,4800,0.0,1.0
2000-07-31,34.19,35.0,34.19,35.0,4.2075,4200,0.0,1.0
2000-08-01,34.75,35.31,34.75,35.31,4.2447,18300,0.0,1.0
2000-08-02,35.56,35.56,35.31,35.44,4.2604,7300,0.0,1.0
2000-08-03,35.63,36.38,35.63,36.38,4.3734,8400,0.0,1.0
2000-08-04,36.38,36.94,36.38,36.94,4.4407,7900,0.0,1.0
