timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-06-23,49.7199,49.7199,49.7199,49.7199,49.3561,260,0.0,1.0
2017-06-26,49.7199,49.7199,49.7199,49.7199,49.3561,50,0.0,1.0
2017-06-27,49.7199,49.7199,49.7199,49.7199,49.3561,82,0.0,1.0
2017-06-28,49.7199,49.7199,49.7199,49.7199,49.3561,0,0.0,1.0
2017-06-29,49.7199,49.7199,49.7199,49.7199,49.3561,5000,0.0,1.0
2017-06-30,49.44,49.44,49.44,49.44,49.0783,367,0.0,1.0
2017-07-03,49.44,49.44,49.44,49.44,49.0783,0,0.0,1.0
2017-07-05,49.44,49.44,49.44,49.44,49.0783,0,0.0,1.0
2017-07-06,49.44,49.44,49.44,49.44,49.0783,0,0.0,1.0
2017-07-07,49.44,49.44,49.44,49.44,49.0783,0,0.0,1.0
2017-07-10,48.94,48.94,48.94,48.94,48.5819,1890,0.0,1.0
2017-07-11,48.94,48.94,48.94,48.94,48.5819,25,0.0,1.0
2017-07-12,48.94,48.94,48.94,48.94,48.5819,0,0.0,1.0
2017-07-13,48.94,48.94,48.94,48.94,48.5819,0,0.0,1.0
2017-07-14,48.94,48.94,48.94,48.94,48.5819,0,0.0,1.0
2017-07-17,49.96,49.96,49.92,49.92,49.5548,809,0.0,1.0
2017-07-18,49.92,49.92,49.92,49.92,49.5548,0,0.0,1.0
2017-07-19,49.92,49.92,49.92,49.92,49.5548,0,0.0,1.0
2017-07-20,49.92,49.92,49.92,49.92,49.5548,0,0.0,1.0
2017-07-21,50.217,50.2192,50.217,50.2192,49.8518,425,0.0,1.0
2017-07-24,50.06,50.06,50.06,50.06,49.6937,200,0.0,1.0
2017-07-25,50.07,50.07,50.07,50.07,49.7037,200,0.0,1.0
2017-07-26,50.07,50.07,50.07,50.07,49.7037,0,0.0,1.0
2017-07-27,50.07,50.07,50.07,50.07,49.7037,87,0.0,1.0
2017-07-28,50.37,50.37,50.37,50.37,50.0015,280,0.0,1.0
2017-07-31,50.37,50.37,50.37,50.37,50.0015,0,0.0,1.0
2017-08-01,50.7799,50.78,50.69,50.69,50.3191,1700,0.0,1.0
2017-08-02,50.71,50.71,50.71,50.71,50.339,300,0.0,1.0
2017-08-03,50.71,50.71,50.71,50.71,50.339,0,0.0,1.0
2017-08-04,50.69,50.69,50.69,50.69,50.3191,400,0.0,1.0
2017-08-07,50.54,50.54,50.5128,50.5128,50.1432,316,0.0,1.0
2017-08-08,50.49,50.52,50.49,50.52,50.1504,735,0.0,1.0
2017-08-09,50.52,50.52,50.52,50.52,50.1504,50,0.0,1.0
2017-08-10,50.52,50.52,50.52,50.52,50.1504,0,0.0,1.0
2017-08-11,49.82,49.85,49.8,49.8,49.4356,726,0.0,1.0
2017-08-14,50.05,50.08,50.05,50.08,49.7136,20444,0.0,1.0
2017-08-15,49.56,49.96,49.56,49.96,49.5945,2080,0.0,1.0
2017-08-16,50.12,50.31,50.12,50.31,49.9419,925,0.0,1.0
2017-08-17,50.16,50.25,49.94,49.94,49.5746,1600,0.0,1.0
2017-08-18,50.05,50.05,49.74,49.74,49.3761,31260,0.0,1.0
2017-08-21,49.74,49.74,49.74,49.74,49.3761,0,0.0,1.0
2017-08-22,50.1395,50.15,50.0623,50.15,49.7831,700,0.0,1.0
2017-08-23,50.1,50.27,50.0812,50.27,49.9022,5525,0.0,1.0
2017-08-24,50.25,50.32,50.2229,50.27,49.9022,9384,0.0,1.0
2017-08-25,50.28,50.28,50.28,50.28,49.9121,40272,0.0,1.0
2017-08-28,50.28,50.28,50.28,50.28,49.9121,0,0.0,1.0
2017-08-29,50.28,50.28,50.28,50.28,49.9121,105,0.0,1.0
2017-08-30,50.19,50.21,50.09,50.18,49.8129,6921,0.0,1.0
2017-08-31,50.34,50.58,50.34,50.5052,50.1357,1670,0.0,1.0
2017-09-01,50.5052,50.5052,50.5052,50.5052,50.1357,0,0.0,1.0
2017-09-05,50.06,50.18,50.042,50.18,49.8129,1712,0.0,1.0
2017-09-06,50.3989,50.3989,50.3614,50.3614,49.9929,720,0.0,1.0
