timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-06-22,19.96,19.96,19.96,19.96,19.7362,124,0.0,1.0
2017-06-23,19.9999,19.9999,19.99,19.99,19.7658,896,0.0,1.0
2017-06-26,20.06,20.06,20.06,20.06,19.8351,100,0.0,1.0
2017-06-27,20.06,20.06,20.06,20.06,19.8351,1400,0.0,1.0
2017-06-28,20.06,20.06,20.06,20.06,19.8351,0,0.0,1.0
2017-06-29,20.06,20.06,20.06,20.06,19.8351,23,0.0,1.0
2017-06-30,19.9,19.9,19.9,19.9,19.6768,700,0.0,1.0
2017-07-03,19.9,19.9,19.9,19.9,19.6768,0,0.0,1.0
2017-07-05,19.9,19.9,19.9,19.9,19.6768,200,0.0,1.0
2017-07-06,19.6905,19.6905,19.6905,19.6905,19.4697,150,0.0,1.0
2017-07-07,19.691,19.691,19.691,19.691,19.4702,0,0.0,1.0
2017-07-10,19.66,19.66,19.66,19.66,19.4395,100,0.0,1.0
2017-07-11,19.61,19.61,19.61,19.61,19.3901,100,0.0,1.0
2017-07-12,19.61,19.61,19.61,19.61,19.3901,0,0.0,1.0
2017-07-13,19.8,19.8,19.8,19.8,19.578,150,0.0,1.0
2017-07-14,19.8,19.8,19.8,19.8,19.578,0,0.0,1.0
2017-07-17,19.8,19.8,19.8,19.8,19.578,0,0.0,1.0
2017-07-18,19.8,19.8,19.8,19.8,19.578,0,0.0,1.0
2017-07-19,19.8,19.8,19.8,19.8,19.578,0,0.0,1.0
2017-07-20,19.8,19.8,19.8,19.8,19.578,0,0.0,1.0
2017-07-21,20.0,20.0,20.0,20.0,19.7757,1400,0.0,1.0
2017-07-24,20.0,20.0,20.0,20.0,19.7757,0,0.0,1.0
2017-07-25,20.0,20.0,20.0,20.0,19.7757,18,0.0,1.0
2017-07-26,20.0,20.0,20.0,20.0,19.7757,0,0.0,1.0
2017-07-27,20.0,20.0,20.0,20.0,19.7757,18,0.0,1.0
2017-07-28,19.84,19.84,19.84,19.84,19.6175,6676,0.0,1.0
2017-07-31,19.9,19.92,19.87,19.92,19.6966,6676,0.0,1.0
2017-08-01,19.855,19.855,19.855,19.855,19.6324,3800,0.0,1.0
2017-08-02,19.855,19.855,19.855,19.855,19.6324,0,0.0,1.0
2017-08-03,19.855,19.855,19.855,19.855,19.6324,0,0.0,1.0
2017-08-04,19.864,19.8804,19.864,19.8804,19.6575,900,0.0,1.0
2017-08-07,19.86,19.8672,19.86,19.8672,19.6444,1018,0.0,1.0
2017-08-08,19.867,19.867,19.867,19.867,19.6442,0,0.0,1.0
2017-08-09,19.867,19.867,19.867,19.867,19.6442,0,0.0,1.0
2017-08-10,19.55,19.55,19.537,19.537,19.3179,700,0.0,1.0
2017-08-11,19.495,19.495,19.495,19.495,19.2764,300,0.0,1.0
2017-08-14,19.495,19.495,19.495,19.495,19.2764,0,0.0,1.0
2017-08-15,19.495,19.495,19.495,19.495,19.2764,0,0.0,1.0
2017-08-16,19.6827,19.6827,19.67,19.67,19.4494,700,0.0,1.0
2017-08-17,19.67,19.67,19.67,19.67,19.4494,0,0.0,1.0
2017-08-18,19.3,19.3,19.3,19.3,19.0836,100,0.0,1.0
2017-08-21,19.3,19.3,19.3,19.3,19.0836,0,0.0,1.0
2017-08-22,19.3,19.3,19.3,19.3,19.0836,0,0.0,1.0
2017-08-23,19.4125,19.48,19.4125,19.47,19.2517,11983,0.0,1.0
2017-08-24,19.445,19.52,19.445,19.5162,19.2974,25621,0.0,1.0
2017-08-25,19.56,19.56,19.51,19.53,19.311,2112,0.0,1.0
2017-08-28,19.53,19.53,19.53,19.53,19.311,0,0.0,1.0
2017-08-29,19.5,19.51,19.5,19.51,19.2912,855,0.0,1.0
2017-08-30,19.46,19.59,19.46,19.5872,19.3676,15573,0.0,1.0
2017-08-31,19.69,19.71,19.664,19.6872,19.4664,6847,0.0,1.0
2017-09-01,19.809,19.8199,19.795,19.8199,19.5976,1984,0.0,1.0
2017-09-05,19.64,19.7,19.6355,19.7,19.4791,5625,0.0,1.0
2017-09-06,19.8699,19.87,19.867,19.867,19.6442,4412,0.0,1.0
2017-09-07,19.87,19.92,19.86,19.92,19.6966,1002,0.0,1.0
2017-09-08,19.96,19.96,19.88,19.88,19.6571,6940,0.0,1.0
2017-09-11,20.03,20.08,19.995,20.0573,19.8324,14907,0.0,1.0
2017-09-12,20.17,20.18,20.1619,20.18,19.9537,2630,0.0,1.0
2017-09-13,20.22,20.2272,20.1896,20.2195,19.9928,2274,0.0,1.0
2017-09-14,20.24,20.29,20.24,20.29,20.0625,3043,0.0,1.0
2017-09-15,20.305,20.305,20.3016,20.3016,20.0739,3952,0.0,1.0
2017-09-18,20.4,20.4,20.304,20.314,20.0862,17349,0.0,1.0
2017-09-19,20.32,20.32,20.27,20.29,20.0625,32428,0.0,1.0
2017-09-20,20.3099,20.31,20.23,20.31,20.0822,5417,0.0,1.0
2017-09-21,20.2,20.2,20.184,20.184,20.0334,609,0.0766,1.0
2017-09-22,20.1865,20.1865,20.1865,20.1865,20.0359,595,0.0,1.0
2017-09-25,20.295,20.3399,20.295,20.3399,20.1881,9794,0.0,1.0
2017-09-26,20.42,20.42,20.335,20.37,20.218,27022,0.0,1.0
2017-09-27,20.2999,20.3099,20.2952,20.305,20.1535,6356,0.0,1.0
2017-09-28,20.32,20.36,20.32,20.36,20.2081,1877,0.0,1.0
2017-09-29,20.33,20.38,20.33,20.38,20.2279,17161,0.0,1.0
2017-10-02,20.39,20.46,20.39,20.46,20.3073,1371,0.0,1.0
2017-10-03,20.62,20.62,20.47,20.51,20.357,3722,0.0,1.0
