timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-06-25,25.05,25.05,25.0,25.01,5.4691,406000,0.0,1.0
2003-06-26,25.2,25.2,25.0,25.1,5.4888,163800,0.0,1.0
2003-06-27,25.18,25.18,25.02,25.13,5.4954,121900,0.0,1.0
2003-06-30,25.12,25.14,25.03,25.05,5.4779,101600,0.0,1.0
2003-07-01,25.07,25.11,25.05,25.06,5.48,99400,0.0,1.0
2003-07-02,25.09,25.1,25.01,25.01,5.4691,112000,0.0,1.0
2003-07-03,25.06,25.08,25.03,25.06,5.48,80500,0.0,1.0
2003-07-07,25.11,25.11,25.03,25.09,5.4866,97000,0.0,1.0
2003-07-08,25.06,25.29,25.06,25.27,5.526,113800,0.0,1.0
2003-07-09,25.29,25.34,25.17,25.33,5.5391,68000,0.0,1.0
2003-07-10,25.33,25.4,25.2,25.3,5.5325,79900,0.0,1.0
2003-07-11,25.34,25.54,25.24,25.48,5.5719,84800,0.0,1.0
2003-07-14,25.53,25.55,25.07,25.44,5.5631,91100,0.0,1.0
2003-07-15,25.47,25.49,25.27,25.43,5.561,64700,0.0,1.0
2003-07-16,25.48,25.54,25.35,25.5,5.5763,41700,0.0,1.0
2003-07-17,25.6,25.6,25.36,25.47,5.5697,62500,0.0,1.0
2003-07-18,25.48,25.48,25.25,25.4,5.5544,51500,0.0,1.0
2003-07-21,25.45,25.55,25.25,25.55,5.5872,67400,0.0,1.0
2003-07-22,25.47,25.5,25.3,25.37,5.5478,62200,0.0,1.0
2003-07-23,25.42,25.45,25.26,25.37,5.5478,42000,0.0,1.0
2003-07-24,25.44,25.46,25.27,25.27,5.526,50300,0.0,1.0
2003-07-25,25.26,25.32,25.05,25.05,5.4779,100500,0.0,1.0
2003-07-28,25.05,25.05,25.0,25.01,5.4691,241800,0.0,1.0
2003-07-29,25.0,25.2,25.0,25.05,5.4779,197600,0.0,1.0
2003-07-30,25.1,25.14,25.01,25.05,5.4779,72900,0.0,1.0
2003-07-31,25.12,25.12,25.01,25.01,5.4691,66500,0.0,1.0
2003-08-01,25.02,25.08,24.97,24.99,5.4647,70600,0.0,1.0
2003-08-04,25.0,25.05,24.57,24.9,5.4451,102000,0.0,1.0
2003-08-05,24.9,24.9,24.4,24.45,5.3467,58600,0.0,1.0
2003-08-06,24.4,24.7,24.3,24.6,5.3795,68500,0.0,1.0
2003-08-07,24.5,24.9,24.4,24.9,5.4451,43800,0.0,1.0
2003-08-08,24.75,24.98,24.75,24.98,5.4626,45500,0.0,1.0
2003-08-11,25.0,25.02,24.87,24.92,5.4494,74600,0.0,1.0
2003-08-12,24.97,25.0,24.8,24.9,5.4451,59100,0.0,1.0
2003-08-13,24.7,24.85,24.67,24.82,5.4647,52100,0.17,1.0
2003-08-14,24.75,24.89,24.55,24.69,5.4361,58500,0.0,1.0
2003-08-15,24.7,24.82,24.64,24.82,5.4647,33300,0.0,1.0
2003-08-18,24.82,24.82,24.6,24.65,5.4273,77500,0.0,1.0
2003-08-19,24.69,24.74,24.6,24.6,5.4163,45200,0.0,1.0
2003-08-20,24.7,24.75,24.4,24.58,5.4119,66500,0.0,1.0
2003-08-21,24.57,24.73,24.44,24.69,5.4361,29700,0.0,1.0
2003-08-22,24.69,24.73,24.5,24.67,5.4317,50700,0.0,1.0
2003-08-25,24.57,24.72,24.35,24.71,5.4405,69200,0.0,1.0
2003-08-26,24.55,24.7,24.26,24.34,5.3591,53100,0.0,1.0
2003-08-27,24.24,24.58,24.24,24.48,5.3899,32100,0.0,1.0
2003-08-28,24.54,24.6,24.35,24.5,5.3943,37500,0.0,1.0
2003-08-29,24.62,24.65,24.4,24.59,5.4141,47000,0.0,1.0
