timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-06-13,26.12,26.65,25.973,26.6,24.8935,152209,0.0,1.0
2016-06-14,26.47,26.63,26.33,26.5,24.7999,75553,0.0,1.0
2016-06-15,26.34,26.5,26.31,26.43,24.7344,28963,0.0,1.0
2016-06-16,26.31,26.55,26.31,26.48,24.7812,357845,0.0,1.0
2016-06-17,26.49,26.95,26.45,26.89,25.1649,543076,0.0,1.0
2016-06-20,26.866,27.07,26.866,26.97,25.2398,154700,0.0,1.0
2016-06-21,26.96,27.2199,26.94,27.11,25.3708,222782,0.0,1.0
2016-06-22,27.08,27.15,26.9001,26.97,25.2398,88445,0.0,1.0
2016-06-23,27.0,27.03,26.94,27.01,25.2772,152033,0.0,1.0
2016-06-24,26.4,26.84,26.4,26.77,25.0526,57766,0.0,1.0
2016-06-27,26.72,26.72,26.51,26.7,24.9871,61181,0.0,1.0
2016-06-28,26.85,26.94,26.84,26.9,25.1743,77526,0.0,1.0
2016-06-29,26.98,27.08,26.98,27.04,25.3053,111992,0.0,1.0
2016-06-30,26.93,27.34,26.93,27.2,25.455,523906,0.0,1.0
2016-07-01,27.2,27.2,26.96,27.0,25.2679,69504,0.0,1.0
2016-07-05,27.08,27.08,26.58,26.65,24.9403,65773,0.0,1.0
2016-07-06,26.74,26.86,26.5,26.62,24.9123,204711,0.0,1.0
2016-07-07,26.75,26.79,26.66,26.69,24.9778,65291,0.0,1.0
2016-07-08,26.83,26.86,26.73,26.81,25.0901,42967,0.0,1.0
2016-07-11,26.89,26.91,26.77,26.85,25.1275,33622,0.0,1.0
2016-07-12,26.88,26.91,26.8,26.86,25.1369,316429,0.0,1.0
2016-07-13,26.91,26.96,26.85,26.86,25.1369,60286,0.0,1.0
2016-07-14,26.92,26.9499,26.67,26.76,25.0433,60711,0.0,1.0
2016-07-15,26.79,26.85,26.6062,26.7,24.9871,99720,0.0,1.0
2016-07-18,26.83,26.87,26.66,26.67,24.959,89235,0.0,1.0
2016-07-19,26.68,26.85,26.68,26.76,25.0433,77045,0.0,1.0
2016-07-20,26.78,26.95,26.7,26.89,25.1649,119872,0.0,1.0
2016-07-21,26.92,26.92,26.8,26.87,25.1462,69153,0.0,1.0
2016-07-22,26.9,26.95,26.85,26.87,25.1462,88260,0.0,1.0
2016-07-25,26.87,26.97,26.87,26.93,25.2024,145339,0.0,1.0
2016-07-26,26.93,26.93,26.84,26.89,25.1649,54481,0.0,1.0
2016-07-27,26.89,27.04,26.85,26.97,25.2398,127029,0.0,1.0
2016-07-28,26.97,27.03,26.78,26.84,25.1181,213119,0.0,1.0
2016-07-29,26.85,26.88,26.76,26.77,25.0526,202199,0.0,1.0
2016-08-01,26.83,26.9,26.82,26.85,25.1275,60613,0.0,1.0
2016-08-02,26.88,26.99,26.86,26.98,25.2492,59721,0.0,1.0
2016-08-03,26.97,27.06,26.93,27.01,25.2772,81452,0.0,1.0
2016-08-04,27.01,27.12,27.01,27.03,25.2959,104233,0.0,1.0
2016-08-05,27.07,27.49,27.07,27.35,25.5954,85698,0.0,1.0
2016-08-08,27.35,27.4799,27.3,27.41,25.6516,46443,0.0,1.0
2016-08-09,27.47,27.55,27.31,27.43,25.6703,27278,0.0,1.0
2016-08-10,27.48,27.59,27.36,27.59,25.82,46946,0.0,1.0
2016-08-11,27.69,27.69,27.52,27.64,25.8668,47834,0.0,1.0
2016-08-12,27.64,27.68,27.5,27.67,25.8949,25252,0.0,1.0
2016-08-15,27.74,27.76,27.6901,27.72,25.9417,36941,0.0,1.0
2016-08-16,27.75,27.75,27.63,27.74,25.9604,38455,0.0,1.0
2016-08-17,27.81,27.95,27.65,27.95,26.1569,54607,0.0,1.0
2016-08-18,28.0,28.0,27.85,27.97,26.1756,28371,0.0,1.0
2016-08-19,28.02,28.05,27.9552,28.0,26.2037,23925,0.0,1.0
2016-08-22,28.04,28.04,27.945,28.02,26.2224,36847,0.0,1.0
2016-08-23,28.06,28.1105,27.9608,28.11,26.3067,24039,0.0,1.0
2016-08-24,28.19,28.19,28.09,28.19,26.3815,16510,0.0,1.0
2016-08-25,28.25,28.29,28.22,28.29,26.4751,26938,0.0,1.0
2016-08-26,28.32,28.44,28.32,28.4,26.5781,54783,0.0,1.0
2016-08-29,28.49,28.54,28.39,28.54,26.7091,51640,0.0,1.0
2016-08-30,28.25,28.29,27.95,28.17,26.7253,43478,0.3873,1.0
2016-08-31,28.18,28.25,28.09,28.09,26.6494,38471,0.0,1.0
2016-09-01,28.19,28.25,28.12,28.2,26.7538,29117,0.0,1.0
