timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-11-13,24.5,24.51,24.25,24.26,23.7659,47771,0.0,1.0
2017-11-14,24.49,24.6,24.3,24.3,23.8051,88542,0.0,1.0
2017-11-15,24.47,24.47,24.21,24.4,23.903,52814,0.0,1.0
2017-11-16,24.45,24.55,24.34,24.49,23.9912,67659,0.0,1.0
2017-11-17,24.53,24.639,24.51,24.57,24.0696,67895,0.0,1.0
2017-11-20,24.7,24.74,24.3,24.53,24.0304,91998,0.0,1.0
2017-11-21,24.62,24.85,24.5667,24.7,24.1969,70612,0.0,1.0
2017-11-22,24.782,24.9,24.72,24.8289,24.3232,30623,0.0,1.0
2017-11-24,24.9,24.9,24.6822,24.9,24.3928,24704,0.0,1.0
2017-11-27,25.0,25.0,24.81,24.93,24.4222,53814,0.0,1.0
2017-11-28,24.95,25.0,24.8456,25.0,24.4908,37823,0.0,1.0
2017-11-29,25.0,25.0,24.8,24.95,24.4418,17584,0.0,1.0
2017-11-30,24.96,25.1,24.9,24.98,24.4712,47959,0.0,1.0
2017-12-01,26.0,26.0,24.95,25.05,24.5398,8283,0.0,1.0
2017-12-04,25.07,25.07,24.9,24.96,24.4516,18109,0.0,1.0
2017-12-05,25.0,25.0,24.95,24.95,24.4418,17700,0.0,1.0
2017-12-06,25.0,25.0,24.88,24.9,24.3928,32181,0.0,1.0
2017-12-07,24.95,24.95,24.81,24.95,24.4418,27341,0.0,1.0
2017-12-08,24.9,24.95,24.8895,24.95,24.4418,12170,0.0,1.0
2017-12-11,25.0,25.1,25.0,25.03,24.5202,20481,0.0,1.0
2017-12-12,25.09,25.59,25.05,25.07,24.5594,28480,0.0,1.0
2017-12-13,25.2,25.87,25.11,25.2,24.6867,24391,0.0,1.0
2017-12-14,25.25,25.58,25.15,25.24,24.7259,21048,0.0,1.0
2017-12-15,25.25,25.25,25.04,25.06,24.5496,42206,0.0,1.0
2017-12-18,25.06,25.38,25.05,25.22,24.7063,17231,0.0,1.0
2017-12-19,25.33,25.33,25.15,25.2,24.6867,5222,0.0,1.0
2017-12-20,25.17,25.23,25.03,25.16,24.6475,21973,0.0,1.0
2017-12-21,25.05,25.38,25.05,25.13,24.6181,9372,0.0,1.0
2017-12-22,25.2,25.3299,25.08,25.11,24.5986,1900,0.0,1.0
2017-12-26,25.09,25.14,25.06,25.07,24.5594,9134,0.0,1.0
2017-12-27,25.14,25.14,25.05,25.14,24.6279,10984,0.0,1.0
2017-12-28,25.07,25.39,25.05,25.39,24.8729,4222,0.0,1.0
2017-12-29,25.3125,25.3875,25.13,25.32,24.8043,21675,0.0,1.0
2018-01-02,25.15,25.3596,25.06,25.06,24.5496,25020,0.0,1.0
2018-01-03,25.06,25.4,25.06,25.14,24.6279,21682,0.0,1.0
2018-01-04,25.17,25.36,25.12,25.3,24.7847,6856,0.0,1.0
2018-01-05,25.25,25.3,25.102,25.2999,24.7846,26764,0.0,1.0
2018-01-08,25.28,25.28,25.2391,25.2391,24.725,8076,0.0,1.0
2018-01-09,25.25,25.25,25.18,25.18,24.6671,18256,0.0,1.0
2018-01-10,25.18,25.25,24.9965,25.1952,24.682,25654,0.0,1.0
2018-01-11,25.2,25.25,25.11,25.25,24.7357,11410,0.0,1.0
2018-01-12,25.25,25.3496,25.2,25.334,24.818,20121,0.0,1.0
2018-01-16,25.2707,25.3,25.11,25.15,24.6377,22593,0.0,1.0
2018-01-17,25.26,25.48,25.2,25.25,24.7357,13693,0.0,1.0
2018-01-18,25.21,25.47,25.18,25.31,24.7945,7356,0.0,1.0
2018-01-19,25.26,25.3452,25.16,25.3452,24.829,5200,0.0,1.0
2018-01-22,25.4005,25.44,25.33,25.34,24.8239,5015,0.0,1.0
2018-01-23,25.405,25.5,25.27,25.49,24.9708,18217,0.0,1.0
2018-01-24,25.35,25.54,25.21,25.5,24.9806,14689,0.0,1.0
2018-01-25,25.35,25.5,25.32,25.41,24.8924,12283,0.0,1.0
2018-01-26,25.41,25.48,25.4,25.4,24.8827,7148,0.0,1.0
2018-01-29,25.5,25.5,25.3648,25.422,24.9042,6579,0.0,1.0
2018-01-30,25.47,25.48,25.35,25.4033,24.8859,7281,0.0,1.0
2018-01-31,25.05,25.05,24.9,24.95,24.95,15390,0.5188,1.0
2018-02-01,25.0,25.0,24.9,24.9,24.9,7761,0.0,1.0
2018-02-02,24.9163,24.9163,24.75,24.75,24.75,4307,0.0,1.0
2018-02-05,24.75,24.75,24.34,24.41,24.41,9497,0.0,1.0
2018-02-06,24.34,24.78,24.34,24.34,24.34,15360,0.0,1.0
2018-02-07,24.34,24.86,24.34,24.65,24.65,17218,0.0,1.0
2018-02-08,24.65,24.87,24.36,24.4,24.4,11851,0.0,1.0
2018-02-09,24.34,24.45,23.58,24.35,24.35,12935,0.0,1.0
2018-02-12,24.7,24.7,24.147,24.35,24.35,9158,0.0,1.0
2018-02-13,24.7,24.7,24.26,24.35,24.35,12891,0.0,1.0
2018-02-14,24.78,24.78,24.6,24.6799,24.6799,8121,0.0,1.0
2018-02-15,24.68,24.7,24.5283,24.66,24.66,2061,0.0,1.0
2018-02-16,24.64,25.232,24.62,25.1108,25.1108,15493,0.0,1.0
2018-02-20,25.0675,25.09,25.0,25.0,25.0,5149,0.0,1.0
2018-02-21,25.0,25.09,24.93,25.05,25.05,4660,0.0,1.0
2018-02-22,25.2,25.25,25.05,25.19,25.19,15501,0.0,1.0
2018-02-23,25.15,25.15,24.8554,24.8554,24.8554,10718,0.0,1.0
2018-02-26,24.94,25.01,24.82,24.99,24.99,6444,0.0,1.0
2018-02-27,24.99,25.02,24.71,24.8,24.8,8879,0.0,1.0
2018-02-28,25.08,25.2144,25.02,25.2134,25.2134,13957,0.0,1.0
2018-03-01,25.25,25.25,24.8416,25.25,25.25,10400,0.0,1.0
