timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-09-22,12.1,12.7,9.97,10.0,10.0,7471736,0.0,1.0
2017-09-25,10.42,10.99,10.09,10.75,10.75,1830534,0.0,1.0
2017-09-26,10.8,10.99,10.07,10.32,10.32,965810,0.0,1.0
2017-09-27,10.3,10.36,9.33,9.37,9.37,1526807,0.0,1.0
2017-09-28,9.38,9.418,7.81,8.64,8.64,1811218,0.0,1.0
2017-09-29,8.67,8.99,8.67,8.9,8.9,658859,0.0,1.0
2017-10-02,8.96,9.366,8.92,9.02,9.02,643776,0.0,1.0
2017-10-03,9.03,9.25,9.02,9.12,9.12,138727,0.0,1.0
2017-10-04,9.17,9.44,9.162,9.32,9.32,188966,0.0,1.0
2017-10-05,9.58,9.58,9.2,9.3,9.3,156004,0.0,1.0
2017-10-06,9.22,9.39,8.9,8.91,8.91,360186,0.0,1.0
2017-10-09,9.01,9.23,8.51,8.95,8.95,336031,0.0,1.0
2017-10-10,8.71,8.91,7.96,8.0,8.0,656160,0.0,1.0
2017-10-11,7.97,8.05,6.61,6.78,6.78,2160866,0.0,1.0
2017-10-12,6.81,7.42,6.8,6.97,6.97,1211207,0.0,1.0
2017-10-13,6.99,8.17,6.99,8.16,8.16,975206,0.0,1.0
2017-10-16,7.9,8.64,7.86,8.3,8.3,369189,0.0,1.0
2017-10-17,8.4,8.495,7.75,7.75,7.75,582384,0.0,1.0
2017-10-18,7.78,8.05,7.76,7.78,7.78,211755,0.0,1.0
2017-10-19,7.75,7.793,7.35,7.37,7.37,271388,0.0,1.0
2017-10-20,7.37,8.12,7.37,7.9,7.9,299535,0.0,1.0
2017-10-23,8.0,8.3,7.895,8.0,8.0,238650,0.0,1.0
2017-10-24,8.03,8.16,7.72,7.74,7.74,111872,0.0,1.0
2017-10-25,7.69,7.734,7.035,7.18,7.18,451730,0.0,1.0
2017-10-26,7.21,7.28,6.9,7.08,7.08,165760,0.0,1.0
2017-10-27,7.03,7.509,7.0,7.1,7.1,363722,0.0,1.0
2017-10-30,7.0,7.73,6.78,7.06,7.06,1287531,0.0,1.0
2017-10-31,7.18,7.26,7.02,7.24,7.24,107565,0.0,1.0
2017-11-01,7.13,7.33,7.02,7.19,7.19,155840,0.0,1.0
2017-11-02,7.42,8.2,7.354,8.01,8.01,866679,0.0,1.0
2017-11-03,8.15,8.25,7.75,7.995,7.995,217394,0.0,1.0
2017-11-06,8.0,8.17,7.96,8.07,8.07,169731,0.0,1.0
2017-11-07,8.32,8.32,8.0,8.1,8.1,177291,0.0,1.0
2017-11-08,8.11,8.225,7.86,8.0,8.0,489184,0.0,1.0
2017-11-09,8.01,8.12,7.73,8.06,8.06,224728,0.0,1.0
2017-11-10,8.09,8.09,7.95,8.02,8.02,102537,0.0,1.0
2017-11-13,8.0,8.96,7.9,8.9,8.9,829506,0.0,1.0
2017-11-14,8.9,9.18,8.4,8.61,8.61,202677,0.0,1.0
2017-11-15,8.56,9.07,8.25,8.99,8.99,356111,0.0,1.0
2017-11-16,8.99,8.99,8.1,8.22,8.22,482732,0.0,1.0
2017-11-17,8.36,8.36,8.02,8.26,8.26,167492,0.0,1.0
2017-11-20,8.25,8.8,8.25,8.44,8.44,195032,0.0,1.0
2017-11-21,8.18,8.5,8.18,8.2,8.2,170553,0.0,1.0
2017-11-22,8.23,8.36,8.2,8.34,8.34,95607,0.0,1.0
2017-11-24,8.4,8.49,8.2,8.23,8.23,120621,0.0,1.0
2017-11-27,8.25,8.79,8.0,8.65,8.65,538858,0.0,1.0
2017-11-28,8.98,8.98,8.61,8.78,8.78,243902,0.0,1.0
2017-11-29,8.67,8.82,8.4,8.57,8.57,156226,0.0,1.0
2017-11-30,8.75,8.75,8.51,8.69,8.69,81133,0.0,1.0
2017-12-01,8.52,8.75,8.2,8.29,8.29,260697,0.0,1.0
2017-12-04,8.24,8.55,8.225,8.44,8.44,180261,0.0,1.0
2017-12-05,8.32,8.599,8.32,8.515,8.515,77620,0.0,1.0
2017-12-06,8.48,8.7299,8.48,8.66,8.66,83018,0.0,1.0
2017-12-07,8.59,8.81,8.52,8.68,8.68,179591,0.0,1.0
2017-12-08,8.75,8.8761,8.49,8.8,8.8,104420,0.0,1.0
2017-12-11,8.7,8.93,8.65,8.71,8.71,109392,0.0,1.0
2017-12-12,8.83,8.93,8.7,8.81,8.81,164458,0.0,1.0
2017-12-13,8.74,8.9323,8.6879,8.77,8.77,174766,0.0,1.0
2017-12-14,8.83,9.335,8.59,8.91,8.91,419747,0.0,1.0
2017-12-15,8.84,9.08,8.84,8.91,8.91,85335,0.0,1.0
