timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-05-05,4.72,4.8,4.72,4.8,4.8,17400,0.0,1.0
2004-05-06,4.75,4.8,4.75,4.8,4.8,27500,0.0,1.0
2004-05-07,4.8,4.8,4.8,4.8,4.8,0,0.0,1.0
2004-05-10,4.75,5.0,4.75,5.0,5.0,2300,0.0,1.0
2004-05-11,4.75,4.75,4.75,4.75,4.75,1200,0.0,1.0
2004-05-12,4.8,4.8,4.8,4.8,4.8,1400,0.0,1.0
2004-05-13,4.8,4.8,4.8,4.8,4.8,0,0.0,1.0
2004-05-14,4.77,4.77,4.77,4.77,4.77,1300,0.0,1.0
2004-05-17,4.85,4.85,4.7,4.76,4.76,4500,0.0,1.0
2004-05-18,4.76,4.76,4.76,4.76,4.76,0,0.0,1.0
2004-05-19,4.76,4.76,4.76,4.76,4.76,0,0.0,1.0
2004-05-20,4.72,4.8,4.72,4.8,4.8,4500,0.0,1.0
2004-05-21,4.8,4.8,4.8,4.8,4.8,1000,0.0,1.0
2004-05-24,4.75,4.85,4.75,4.85,4.85,3000,0.0,1.0
2004-05-25,4.75,4.75,4.7,4.75,4.75,8000,0.0,1.0
2004-05-26,4.8,4.8,4.8,4.8,4.8,2800,0.0,1.0
2004-05-27,4.77,4.77,4.77,4.77,4.77,700,0.0,1.0
2004-05-28,4.75,4.75,4.75,4.75,4.75,8000,0.0,1.0
2004-06-01,4.75,4.75,4.75,4.75,4.75,0,0.0,1.0
2004-06-02,4.8,4.8,4.77,4.8,4.8,18200,0.0,1.0
2004-06-03,4.8,4.8,4.8,4.8,4.8,0,0.0,1.0
2004-06-04,4.8,4.8,4.8,4.8,4.8,0,0.0,1.0
2004-06-07,4.8,4.8,4.8,4.8,4.8,0,0.0,1.0
2004-06-08,4.79,4.8,4.79,4.8,4.8,14800,0.0,1.0
2004-06-09,4.8,4.8,4.8,4.8,4.8,0,0.0,1.0
2004-06-10,4.85,4.85,4.76,4.76,4.76,23700,0.0,1.0
2004-06-14,4.76,4.76,4.74,4.75,4.75,32700,0.0,1.0
2004-06-15,4.75,4.75,4.75,4.75,4.75,3800,0.0,1.0
2004-06-16,4.75,4.75,4.75,4.75,4.75,5000,0.0,1.0
2004-06-17,4.75,4.75,4.75,4.75,4.75,12000,0.0,1.0
2004-06-18,4.75,4.75,4.75,4.75,4.75,13300,0.0,1.0
2004-06-21,4.75,4.77,4.75,4.77,4.77,16500,0.0,1.0
2004-06-22,4.75,4.75,4.75,4.75,4.75,32500,0.0,1.0
2004-06-23,4.75,4.79,4.75,4.75,4.75,36300,0.0,1.0
2004-06-24,4.77,4.77,4.75,4.75,4.75,20000,0.0,1.0
2004-06-25,4.76,4.78,4.75,4.78,4.78,13000,0.0,1.0
2004-06-28,4.75,4.76,4.75,4.76,4.76,13500,0.0,1.0
2004-06-29,4.76,4.8,4.75,4.75,4.75,3500,0.0,1.0
2004-06-30,4.76,4.76,4.76,4.76,4.76,1000,0.0,1.0
2004-07-01,4.76,4.77,4.75,4.77,4.77,15400,0.0,1.0
2004-07-02,4.8,4.8,4.8,4.8,4.8,8500,0.0,1.0
2004-07-06,4.8,4.8,4.8,4.8,4.8,0,0.0,1.0
2004-07-07,4.78,4.78,4.78,4.78,4.78,2500,0.0,1.0
2004-07-08,4.83,4.85,4.83,4.85,4.85,14100,0.0,1.0
2004-07-09,4.85,4.85,4.85,4.85,4.85,1500,0.0,1.0
2004-07-12,4.85,4.85,4.85,4.85,4.85,12500,0.0,1.0
2004-07-13,4.85,4.85,4.85,4.85,4.85,0,0.0,1.0
2004-07-14,4.85,4.9,4.85,4.9,4.9,10000,0.0,1.0
2004-07-15,4.85,4.85,4.85,4.85,4.85,1000,0.0,1.0
2004-07-16,4.85,4.85,4.85,4.85,4.85,0,0.0,1.0
2004-07-19,4.85,4.85,4.85,4.85,4.85,0,0.0,1.0
2004-07-20,4.88,4.88,4.88,4.88,4.88,8000,0.0,1.0
2004-07-21,4.9,4.9,4.9,4.9,4.9,5000,0.0,1.0
2004-07-22,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-07-23,4.88,4.9,4.88,4.9,4.9,10500,0.0,1.0
2004-07-26,4.88,4.88,4.87,4.87,4.87,4500,0.0,1.0
2004-07-27,4.87,4.87,4.87,4.87,4.87,7700,0.0,1.0
2004-07-28,4.87,4.87,4.87,4.87,4.87,0,0.0,1.0
2004-07-29,4.87,4.87,4.87,4.87,4.87,0,0.0,1.0
2004-07-30,4.87,4.87,4.87,4.87,4.87,300,0.0,1.0
2004-08-02,4.87,4.87,4.87,4.87,4.87,0,0.0,1.0
2004-08-03,4.87,4.87,4.87,4.87,4.87,0,0.0,1.0
2004-08-04,4.88,4.9,4.88,4.9,4.9,5500,0.0,1.0
2004-08-05,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-08-06,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-08-09,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-08-10,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-08-11,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-08-12,4.88,4.9,4.88,4.9,4.9,20000,0.0,1.0
2004-08-13,4.88,4.9,4.88,4.9,4.9,22700,0.0,1.0
2004-08-16,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-08-17,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-08-18,4.89,4.9,4.89,4.9,4.9,2000,0.0,1.0
2004-08-19,4.9,4.9,4.9,4.9,4.9,2400,0.0,1.0
2004-08-20,4.9,4.9,4.9,4.9,4.9,1500,0.0,1.0
2004-08-23,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-08-24,4.9,4.9,4.9,4.9,4.9,1000,0.0,1.0
2004-08-25,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-08-26,4.9,4.9,4.81,4.81,4.81,3500,0.0,1.0
2004-08-27,4.94,4.94,4.88,4.9,4.9,13500,0.0,1.0
2004-08-30,4.94,4.94,4.92,4.94,4.94,6500,0.0,1.0
2004-08-31,4.94,4.94,4.94,4.94,4.94,0,0.0,1.0
2004-09-01,4.91,4.94,4.91,4.94,4.94,9700,0.0,1.0
2004-09-02,4.94,4.94,4.9,4.9,4.9,8000,0.0,1.0
2004-09-03,4.9,4.9,4.9,4.9,4.9,1000,0.0,1.0
2004-09-07,4.9,4.9,4.9,4.9,4.9,200,0.0,1.0
2004-09-08,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-09-09,4.9,4.9,4.9,4.9,4.9,3300,0.0,1.0
2004-09-10,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-09-13,4.92,4.93,4.92,4.93,4.93,1000,0.0,1.0
2004-09-14,4.93,4.93,4.93,4.93,4.93,0,0.0,1.0
2004-09-15,4.93,4.93,4.93,4.93,4.93,0,0.0,1.0
2004-09-16,4.93,4.93,4.93,4.93,4.93,0,0.0,1.0
2004-09-17,4.93,4.93,4.93,4.93,4.93,0,0.0,1.0
2004-09-20,4.93,4.93,4.93,4.93,4.93,0,0.0,1.0
2004-09-21,4.91,4.91,4.91,4.91,4.91,2000,0.0,1.0
2004-09-22,4.91,4.91,4.91,4.91,4.91,3000,0.0,1.0
2004-09-23,4.91,4.91,4.91,4.91,4.91,4000,0.0,1.0
2004-09-24,4.91,4.91,4.82,4.9,4.9,3200,0.0,1.0
2004-09-27,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-09-28,4.9,4.9,4.9,4.9,4.9,10800,0.0,1.0
2004-09-29,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-09-30,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-10-01,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-10-04,4.9,4.9,4.9,4.9,4.9,1500,0.0,1.0
2004-10-05,4.93,4.93,4.9,4.9,4.9,14000,0.0,1.0
2004-10-06,4.9,4.93,4.9,4.93,4.93,2000,0.0,1.0
2004-10-07,4.95,4.95,4.9,4.9,4.9,3500,0.0,1.0
2004-10-08,4.9,4.9,4.9,4.9,4.9,2000,0.0,1.0
2004-10-11,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-10-12,4.9,4.9,4.9,4.9,4.9,1900,0.0,1.0
2004-10-13,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-10-14,4.9,4.9,4.9,4.9,4.9,1500,0.0,1.0
2004-10-15,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-10-18,4.9,4.91,4.9,4.9,4.9,5500,0.0,1.0
2004-10-19,4.9,4.9,4.9,4.9,4.9,14000,0.0,1.0
2004-10-20,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-10-21,4.9,4.9,4.9,4.9,4.9,1000,0.0,1.0
2004-10-22,4.9,4.9,4.9,4.9,4.9,6000,0.0,1.0
2004-10-25,4.9,4.9,4.85,4.9,4.9,27500,0.0,1.0
2004-10-26,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-10-27,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-10-28,4.9,4.9,4.9,4.9,4.9,8300,0.0,1.0
2004-10-29,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-11-01,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-11-02,4.9,4.9,4.9,4.9,4.9,0,0.0,1.0
2004-11-03,4.9,5.0,4.9,5.0,5.0,4200,0.0,1.0
2004-11-04,5.0,5.0,5.0,5.0,5.0,0,0.0,1.0
2004-11-05,5.0,5.0,5.0,5.0,5.0,0,0.0,1.0
2004-11-08,5.0,5.0,5.0,5.0,5.0,0,0.0,1.0
2004-11-09,5.0,5.0,5.0,5.0,5.0,0,0.0,1.0
2004-11-10,5.0,5.0,5.0,5.0,5.0,0,0.0,1.0
2004-11-11,5.0,5.0,5.0,5.0,5.0,0,0.0,1.0
2004-11-12,5.0,5.0,5.0,5.0,5.0,0,0.0,1.0
2004-11-15,5.0,5.06,5.0,5.0,5.0,2600,0.0,1.0
2004-11-16,5.0,5.0,4.95,5.0,5.0,5800,0.0,1.0
2004-11-17,5.0,5.0,5.0,5.0,5.0,0,0.0,1.0
2004-11-18,5.1,5.1,5.08,5.08,5.08,58400,0.0,1.0
2004-11-19,5.05,5.2,5.05,5.2,5.2,132000,0.0,1.0
