timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-10-26,9.5,9.53,9.5,9.51,704.8347,373200,0.0,1.0
2007-10-29,9.5,9.52,9.5,9.52,705.5759,41900,0.0,1.0
2007-10-30,9.5,9.5,9.5,9.5,704.0936,500,0.0,1.0
2007-10-31,9.5,9.5,9.5,9.5,704.0936,1500,0.0,1.0
2007-11-01,9.5,9.5,9.48,9.48,702.6113,14400,0.0,1.0
2007-11-02,9.5,9.5,9.5,9.5,704.0936,2100,0.0,1.0
2007-11-05,9.54,9.54,9.49,9.5,704.0936,29600,0.0,1.0
2007-11-06,9.52,9.52,9.52,9.52,705.5759,3000,0.0,1.0
2007-11-07,9.5,9.5,9.5,9.5,704.0936,10500,0.0,1.0
2007-11-08,9.5,9.51,9.5,9.5,704.0936,12200,0.0,1.0
2007-11-09,9.5,9.52,9.5,9.52,705.5759,3600,0.0,1.0
2007-11-12,9.49,9.5,9.49,9.49,703.3524,10200,0.0,1.0
2007-11-13,9.49,9.49,9.49,9.49,703.3524,0,0.0,1.0
2007-11-14,9.5,9.51,9.5,9.51,704.8347,9500,0.0,1.0
2007-11-15,9.52,9.63,9.52,9.63,713.7286,17100,0.0,1.0
2007-11-16,9.67,9.67,9.67,9.67,716.6932,10000,0.0,1.0
2007-11-19,9.55,9.55,9.55,9.55,707.7993,5000,0.0,1.0
2007-11-20,9.55,9.55,9.55,9.55,707.7993,0,0.0,1.0
2007-11-21,9.5,9.5,9.5,9.5,704.0936,100,0.0,1.0
2007-11-23,9.54,9.54,9.54,9.54,707.0582,100,0.0,1.0
2007-11-26,9.47,9.47,9.47,9.47,701.8701,200,0.0,1.0
2007-11-27,9.45,9.45,9.45,9.45,700.3878,800,0.0,1.0
2007-11-28,9.4,9.4,9.4,9.4,696.6821,5000,0.0,1.0
2007-11-29,9.45,9.45,9.45,9.45,700.3878,10000,0.0,1.0
2007-11-30,9.45,9.45,9.45,9.45,700.3878,10000,0.0,1.0
2007-12-03,9.45,9.45,9.45,9.45,700.3878,10000,0.0,1.0
2007-12-04,9.45,9.45,9.45,9.45,700.3878,10000,0.0,1.0
2007-12-05,9.4,9.4,9.37,9.37,694.4586,9700,0.0,1.0
