timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,4.5,5.31,4.31,5.0,4.4841,59700,0.0,1.0
2000-01-04,4.88,5.12,4.75,5.0,4.4841,42600,0.0,1.0
2000-01-05,4.94,5.03,4.81,4.88,4.3765,67600,0.0,1.0
2000-01-06,5.0,6.25,5.0,5.81,5.2105,76200,0.0,1.0
2000-01-07,5.81,6.12,5.62,5.94,5.3271,102000,0.0,1.0
2000-01-10,6.06,6.31,5.94,6.16,5.5244,101300,0.0,1.0
2000-01-11,6.22,7.06,6.19,6.38,5.7217,231900,0.0,1.0
2000-01-12,6.62,6.75,6.06,6.5,5.8293,85500,0.0,1.0
2000-01-13,6.5,7.25,6.5,6.94,6.2239,160600,0.0,1.0
2000-01-14,7.12,7.62,7.06,7.12,6.3854,116800,0.0,1.0
2000-01-18,7.88,8.0,7.44,7.88,7.0669,196600,0.0,1.0
2000-01-19,7.94,9.12,7.94,8.62,7.7306,239100,0.0,1.0
2000-01-20,9.12,9.25,7.69,8.06,7.2284,298700,0.0,1.0
2000-01-21,8.0,9.0,7.38,7.5,6.7261,145300,0.0,1.0
2000-01-24,7.94,8.38,7.81,8.0,7.1746,151900,0.0,1.0
2000-01-25,7.81,7.94,6.94,7.5,6.7261,46000,0.0,1.0
2000-01-26,7.5,7.5,7.12,7.44,6.6723,41900,0.0,1.0
2000-01-27,7.38,7.62,6.91,7.0,6.2777,56100,0.0,1.0
2000-01-28,7.31,7.31,6.44,6.62,5.9369,97500,0.0,1.0
2000-01-31,6.62,6.81,6.38,6.69,5.9997,31000,0.0,1.0
2000-02-01,6.66,6.81,6.62,6.62,5.9369,17000,0.0,1.0
2000-02-02,6.62,7.44,6.62,7.19,6.4481,34600,0.0,1.0
2000-02-03,7.41,7.75,7.38,7.69,6.8965,29100,0.0,1.0
2000-02-04,7.69,8.5,7.69,8.25,7.3988,55800,0.0,1.0
2000-02-07,8.44,11.62,8.31,11.0,9.865,464400,0.0,1.0
2000-02-08,11.31,12.62,11.25,11.88,10.6542,258400,0.0,1.0
2000-02-09,13.12,13.12,12.12,12.88,11.551,97300,0.0,1.0
2000-02-10,13.0,17.12,12.94,16.5,14.7975,254700,0.0,1.0
2000-02-11,16.5,18.0,16.38,17.62,15.8019,199400,0.0,1.0
2000-02-14,18.31,19.25,18.25,18.88,16.9319,130500,0.0,1.0
2000-02-15,18.88,20.12,18.5,19.44,17.4342,224800,0.0,1.0
2000-02-16,19.0,19.44,15.62,16.25,14.5733,208500,0.0,1.0
2000-02-17,16.56,17.5,16.5,17.0,15.2459,147200,0.0,1.0
