timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-01-08,14.0,14.0,14.0,14.0,140.0,301,0.0,1.0
2016-01-11,17.3,17.3,12.0,12.0,120.0,4121,0.0,1.0
2016-01-12,13.0,13.1,13.0,13.0,130.0,1508,0.0,1.0
2016-01-13,13.0,14.0,13.0,14.0,140.0,5079,0.0,1.0
2016-01-14,14.0,17.0,14.0,14.0,140.0,1580,0.0,1.0
2016-01-15,14.0,18.9,14.0,18.9,189.0,20155,0.0,1.0
2016-01-19,17.9,18.0,15.06,16.0,160.0,7642,0.0,1.0
2016-01-20,12.0,17.48,12.0,16.5309,165.309,6484,0.0,1.0
2016-01-21,16.5,17.29,13.5,16.37,163.7,7200,0.0,1.0
2016-01-22,16.4,16.75,15.3407,15.74,157.4,8559,0.0,1.0
2016-01-25,11.34,14.66,11.34,14.06,140.6,2595,0.0,1.0
2016-01-26,14.301,14.301,14.1,14.15,141.5,2027,0.0,1.0
2016-01-27,13.5734,13.5734,13.5734,13.5734,135.734,320,0.0,1.0
2016-01-28,13.99,14.0,13.99,14.0,140.0,596,0.0,1.0
2016-01-29,13.9,13.9,13.9,13.9,139.0,343,0.0,1.0
2016-02-01,13.25,13.9899,12.27,12.4,124.0,16825,0.0,1.0
2016-02-02,12.7,12.7,10.47,11.83,118.3,4572,0.0,1.0
2016-02-03,10.75,10.75,7.8,8.0,80.0,19634,0.0,1.0
2016-02-04,8.0,8.0,5.65,6.2752,62.752,40819,0.0,1.0
2016-02-05,6.26,7.4,6.24,7.28,72.8,28055,0.0,1.0
2016-02-08,8.29,8.29,7.06,7.86,78.6,8022,0.0,1.0
2016-02-09,8.024,8.1501,8.0015,8.004,80.04,3886,0.0,1.0
2016-02-10,8.0,8.01,7.9,7.9,79.0,1614,0.0,1.0
2016-02-11,7.94,7.94,6.95,6.95,69.5,6402,0.0,1.0
2016-02-12,6.25,6.85,6.25,6.85,68.5,1486,0.0,1.0
2016-02-16,7.4299,8.29,7.4299,7.6408,76.408,3328,0.0,1.0
2016-02-17,8.2999,8.3,7.844,7.87,78.7,5068,0.0,1.0
2016-02-18,8.3,8.53,8.3,8.31,83.1,4679,0.0,1.0
2016-02-19,8.8,8.8,8.2554,8.3717,83.717,2516,0.0,1.0
2016-02-22,8.37,8.9,8.37,8.864,88.64,9472,0.0,1.0
2016-02-23,8.86,8.916,8.7001,8.85,88.5,2194,0.0,1.0
2016-02-24,8.1065,8.9,8.03,8.9,89.0,16156,0.0,1.0
2016-02-25,8.32,8.9,8.14,8.6215,86.215,17464,0.0,1.0
2016-02-26,8.95,8.979,8.95,8.963,89.63,1701,0.0,1.0
2016-02-29,8.89,8.9,8.3834,8.88,88.8,7018,0.0,1.0
2016-03-01,8.21,8.41,8.01,8.01,80.1,1201,0.0,1.0
2016-03-02,8.104,8.42,8.06,8.3284,83.284,5340,0.0,1.0
2016-03-03,8.26,8.3,8.06,8.06,80.6,2435,0.0,1.0
2016-03-04,8.18,8.18,8.18,8.18,81.8,590,0.0,1.0
2016-03-07,8.2,8.2,7.7,7.8949,78.949,1567,0.0,1.0
2016-03-08,7.9214,7.99,7.9214,7.99,79.9,1310,0.0,1.0
2016-03-09,7.7,7.86,7.31,7.808,78.08,5938,0.0,1.0
2016-03-10,7.7001,7.73,7.45,7.52,75.2,2695,0.0,1.0
2016-03-11,7.65,7.75,7.0801,7.1771,71.771,12668,0.0,1.0
2016-03-14,7.06,7.268,6.66,6.7705,67.705,19122,0.0,1.0
2016-03-15,6.2401,6.71,6.2401,6.3,63.0,2559,0.0,1.0
2016-03-16,6.5178,6.6,6.31,6.5222,65.222,2438,0.0,1.0
2016-03-17,6.56,6.56,6.0,6.2,62.0,10425,0.0,1.0
2016-03-18,6.77,6.78,6.28,6.29,62.9,2639,0.0,1.0
2016-03-21,6.3,6.35,6.0,6.35,63.5,11370,0.0,1.0
2016-03-22,6.4,7.0,6.2,6.2,62.0,8557,0.0,1.0
2016-03-23,6.0,6.3788,6.0,6.1124,61.124,1184,0.0,1.0
2016-03-24,6.0,6.39,6.0,6.39,63.9,9383,0.0,1.0
2016-03-28,6.38,6.5,5.85,6.07,60.7,42425,0.0,1.0
2016-03-29,6.0,6.0,5.8,5.8,58.0,18362,0.0,1.0
2016-03-30,5.9801,6.05,5.6777,6.05,60.5,8255,0.0,1.0
2016-03-31,6.0,6.0,5.02,5.43,54.3,7373,0.0,1.0
2016-04-01,5.06,5.68,5.06,5.53,55.3,10070,0.0,1.0
2016-04-04,5.4,5.78,4.94,5.4,54.0,43569,0.0,1.0
2016-04-05,5.6,6.05,5.31,5.45,54.5,16334,0.0,1.0
2016-04-06,5.63,5.63,4.66,5.4547,54.547,10092,0.0,1.0
2016-04-07,5.37,5.98,5.05,5.42,54.2,26306,0.0,1.0
2016-04-08,5.35,5.89,4.9799,5.53,55.3,35278,0.0,1.0
2016-04-11,5.78,5.78,4.98,5.01,50.1,16526,0.0,1.0
2016-04-12,5.34,5.5375,5.0,5.0,50.0,11731,0.0,1.0
2016-04-13,5.17,5.35,5.03,5.03,50.3,17068,0.0,1.0
2016-04-14,5.0,5.6,5.0,5.05,50.5,32175,0.0,1.0
2016-04-15,5.1,5.6,5.03,5.19,51.9,77040,0.0,1.0
2016-04-18,5.36,5.6,5.06,5.3,53.0,71979,0.0,1.0
2016-04-19,5.489,5.84,5.4304,5.56,55.6,69161,0.0,1.0
2016-04-20,5.76,5.98,5.5301,5.75,57.5,28534,0.0,1.0
2016-04-21,5.53,6.12,5.47,5.77,57.7,56193,0.0,1.0
2016-04-22,5.71,6.2,5.61,5.86,58.6,68628,0.0,1.0
2016-04-25,5.99,6.18,5.6201,6.11,61.1,173551,0.0,1.0
2016-04-26,6.1,6.2,5.5171,5.64,56.4,33057,0.0,1.0
2016-04-27,5.53,5.66,5.37,5.5,55.0,21990,0.0,1.0
2016-04-28,5.47,5.9,4.95,5.0,50.0,46456,0.0,1.0
2016-04-29,4.99,5.6,4.95,5.02,50.2,98477,0.0,1.0
2016-05-02,4.96,7.5899,4.96,6.75,67.5,268913,0.0,1.0
2016-05-03,6.2,7.4899,6.2,6.98,69.8,224792,0.0,1.0
2016-05-04,7.19,9.49,6.87,9.18,91.8,319697,0.0,1.0
2016-05-05,9.0,9.79,8.48,9.3,93.0,281960,0.0,1.0
2016-05-06,9.4,9.4,7.395,7.59,75.9,62587,0.0,1.0
2016-05-09,7.48,8.9,6.4879,8.7,87.0,180598,0.0,1.0
2016-05-10,8.67,8.8001,7.8,7.85,78.5,79679,0.0,1.0
2016-05-11,7.64,8.3,7.64,8.0,80.0,201347,0.0,1.0
2016-05-12,7.8,8.345,7.5,7.82,78.2,33377,0.0,1.0
2016-05-13,7.62,8.49,7.62,8.13,81.3,53159,0.0,1.0
2016-05-16,8.06,8.12,7.755,8.0,80.0,26418,0.0,1.0
2016-05-17,7.95,7.95,7.5,7.6,76.0,2861,0.0,1.0
2016-05-18,7.8,8.29,7.35,7.42,74.2,93112,0.0,1.0
2016-05-19,7.54,7.6,6.38,6.39,63.9,80641,0.0,1.0
2016-05-20,6.32,7.0,6.1452,6.2,62.0,108171,0.0,1.0
2016-05-23,6.19,6.2599,4.8201,5.3,53.0,228852,0.0,1.0
2016-05-24,5.0,5.49,4.66,4.99,49.9,107987,0.0,1.0
2016-05-25,5.01,5.3,4.99,5.0,50.0,72972,0.0,1.0
