timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-08-02,11.0,11.5,8.75,11.19,9.219,79400,0.0,1.0
2000-08-03,11.38,11.81,11.0,11.0,9.0625,24700,0.0,1.0
2000-08-04,11.25,11.25,10.38,11.0,9.0625,16400,0.0,1.0
2000-08-07,11.25,11.5,10.94,10.94,9.013,10300,0.0,1.0
2000-08-08,11.0,11.0,10.0,10.19,8.3951,19300,0.0,1.0
2000-08-09,10.13,10.25,9.563,10.25,8.4446,25900,0.0,1.0
2000-08-10,10.06,10.13,9.188,9.375,7.7237,35900,0.0,1.0
2000-08-11,9.125,9.25,8.75,9.125,7.5177,27400,0.0,1.0
2000-08-14,9.25,9.375,8.875,9.063,7.4667,50600,0.0,1.0
2000-08-15,9.0,9.0,8.625,9.0,7.4148,41100,0.0,1.0
2000-08-16,9.125,9.5,8.938,9.0,7.4148,53500,0.0,1.0
2000-08-17,8.781,9.0,8.688,9.0,7.4148,37000,0.0,1.0
2000-08-18,9.0,9.438,8.625,9.0,7.4148,43800,0.0,1.0
2000-08-21,9.125,9.375,8.938,9.0,7.4148,11100,0.0,1.0
2000-08-22,8.938,8.938,8.625,8.688,7.1577,10900,0.0,1.0
2000-08-23,8.688,9.125,8.688,8.938,7.3637,11100,0.0,1.0
2000-08-24,8.922,9.125,8.625,9.125,7.5177,14400,0.0,1.0
2000-08-25,9.0,9.0,8.813,8.813,7.2607,13400,0.0,1.0
2000-08-28,8.875,8.875,8.5,8.625,7.1058,35000,0.0,1.0
2000-08-29,8.625,8.625,8.0,8.063,6.6428,34400,0.0,1.0
2000-08-30,8.125,8.375,7.5,8.0,6.5909,31600,0.0,1.0
2000-08-31,7.875,7.875,7.25,7.375,6.076,156300,0.0,1.0
2000-09-01,7.375,7.75,7.125,7.25,5.973,48000,0.0,1.0
2000-09-05,7.125,7.5,7.0,7.25,5.973,57200,0.0,1.0
2000-09-06,7.25,7.25,6.438,6.938,5.716,47400,0.0,1.0
2000-09-07,6.5,6.75,6.5,6.563,5.407,74100,0.0,1.0
2000-09-08,6.5,6.5,5.344,5.625,4.6342,349000,0.0,1.0
2000-09-11,5.625,5.625,5.0,5.0,4.1193,319600,0.0,1.0
2000-09-12,5.313,6.688,5.063,6.422,5.2908,1465500,0.0,1.0
2000-09-13,6.625,7.875,6.563,7.438,6.1279,205000,0.0,1.0
2000-09-14,7.406,7.438,6.125,7.125,5.87,127500,0.0,1.0
2000-09-15,6.906,7.25,6.75,7.188,5.9219,41300,0.0,1.0
2000-09-18,7.094,7.188,6.75,6.781,5.5866,20500,0.0,1.0
2000-09-19,6.938,7.25,6.875,7.25,5.973,42200,0.0,1.0
2000-09-20,7.031,7.172,6.688,6.875,5.664,30100,0.0,1.0
2000-09-21,7.0,7.0,6.5,6.5,5.3551,69600,0.0,1.0
