timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,10.25,10.31,10.0,10.06,7.8586,383100,0.0,1.0
2000-01-04,10.06,10.12,9.69,9.75,7.6165,321700,0.0,1.0
2000-01-05,9.75,9.88,9.5,9.69,7.5696,327600,0.0,1.0
2000-01-06,9.56,9.88,9.12,9.88,7.718,663900,0.0,1.0
2000-01-07,9.75,9.88,9.38,9.75,7.6165,313000,0.0,1.0
2000-01-10,9.81,10.0,9.62,9.88,7.718,401000,0.0,1.0
2000-01-11,9.88,10.25,9.69,9.69,7.5696,448000,0.0,1.0
2000-01-12,9.69,11.19,9.69,11.0,8.5929,751200,0.0,1.0
2000-01-13,11.38,11.94,11.25,11.62,9.0773,851500,0.0,1.0
2000-01-14,11.69,11.75,11.12,11.38,8.8898,422400,0.0,1.0
2000-01-18,11.56,11.69,11.0,11.12,8.6867,216600,0.0,1.0
2000-01-19,11.0,11.0,10.62,10.62,8.2961,232600,0.0,1.0
2000-01-20,10.62,10.75,10.31,10.56,8.2492,233200,0.0,1.0
2000-01-21,10.56,10.62,10.25,10.31,8.0539,272200,0.0,1.0
2000-01-24,10.19,10.44,10.0,10.0,7.8118,268300,0.0,1.0
2000-01-25,10.0,10.19,9.81,10.0,7.8118,274700,0.0,1.0
2000-01-26,10.12,10.94,9.94,10.75,8.3976,648500,0.0,1.0
2000-01-27,10.5,10.62,10.25,10.5,8.2024,274600,0.0,1.0
2000-01-28,10.56,10.56,10.19,10.19,7.9602,321200,0.0,1.0
2000-01-31,10.06,10.56,10.0,10.5,8.2024,309100,0.0,1.0
2000-02-01,10.56,11.38,10.56,11.12,8.6867,347900,0.0,1.0
2000-02-02,11.25,12.12,11.25,11.75,9.1788,908500,0.0,1.0
2000-02-03,11.81,12.0,11.12,11.25,8.7882,553600,0.0,1.0
2000-02-04,11.5,11.62,11.0,11.38,8.8898,348700,0.0,1.0
2000-02-07,11.25,11.31,10.94,11.0,8.5929,292300,0.0,1.0
2000-02-08,11.12,11.25,10.94,11.19,8.7414,196500,0.0,1.0
2000-02-09,11.19,11.25,11.06,11.19,8.7414,326700,0.0,1.0
2000-02-10,11.19,11.5,10.94,11.31,8.8351,943200,0.0,1.0
2000-02-11,11.38,11.5,11.12,11.12,8.6867,1692500,0.0,1.0
2000-02-14,11.0,11.06,10.75,10.88,8.4992,242400,0.0,1.0
2000-02-15,10.81,11.0,10.62,10.81,8.4445,405200,0.0,1.0
2000-02-16,10.94,10.94,10.62,10.75,8.3976,277300,0.0,1.0
2000-02-17,10.75,10.81,10.5,10.5,8.2024,197600,0.0,1.0
2000-02-18,10.69,10.75,10.38,10.5,8.2024,176000,0.0,1.0
2000-02-22,10.69,10.81,10.25,10.38,8.1086,355000,0.0,1.0
2000-02-23,10.38,10.38,10.19,10.31,8.0539,242400,0.0,1.0
2000-02-24,10.38,10.38,10.0,10.19,7.9602,187700,0.0,1.0
2000-02-25,10.31,10.38,10.0,10.06,7.8586,187100,0.0,1.0
2000-02-28,10.06,10.06,9.88,9.88,7.718,171700,0.0,1.0
2000-02-29,10.0,10.06,9.69,9.69,7.5696,264700,0.0,1.0
2000-03-01,9.69,9.81,9.5,9.75,7.6165,273400,0.0,1.0
2000-03-02,9.75,10.31,9.44,9.69,7.5696,337300,0.0,1.0
2000-03-03,9.62,10.19,9.62,10.12,7.9055,261300,0.0,1.0
2000-03-06,10.0,10.12,9.81,9.81,7.6633,170000,0.0,1.0
2000-03-07,9.81,10.12,9.72,9.75,7.6165,733100,0.0,1.0
2000-03-08,9.69,9.88,9.31,9.5,7.4212,273800,0.0,1.0
2000-03-09,9.5,9.62,9.31,9.5,7.4212,242300,0.0,1.0
2000-03-10,9.44,10.44,9.44,10.44,8.1555,404800,0.0,1.0
2000-03-13,10.0,10.25,9.69,10.25,8.0071,270700,0.0,1.0
2000-03-14,10.19,10.25,9.88,10.0,7.8118,242000,0.0,1.0
2000-03-15,9.94,10.31,9.81,10.0,7.8118,279600,0.0,1.0
2000-03-16,10.0,10.12,9.88,10.06,7.8586,921200,0.0,1.0
2000-03-17,10.0,10.0,9.81,9.94,7.7649,451100,0.0,1.0
2000-03-20,9.94,10.12,9.75,9.94,7.7649,342200,0.0,1.0
2000-03-21,10.0,10.0,9.38,9.5,7.4212,538000,0.0,1.0
2000-03-22,9.62,10.44,9.56,10.44,8.1555,2229400,0.0,1.0
2000-03-23,10.38,10.38,9.88,10.06,7.8586,1142000,0.0,1.0
2000-03-24,10.0,10.06,9.75,9.88,7.718,421500,0.0,1.0
2000-03-27,9.94,10.06,9.75,9.88,7.718,285800,0.0,1.0
2000-03-28,9.75,10.06,9.75,9.88,7.718,1063800,0.0,1.0
2000-03-29,9.94,10.0,9.75,9.75,7.6165,340600,0.0,1.0
2000-03-30,9.88,10.06,9.62,9.88,7.718,622300,0.0,1.0
2000-03-31,9.81,10.25,9.25,10.25,8.0071,692300,0.0,1.0
2000-04-03,10.12,10.38,9.75,10.38,8.1086,441400,0.0,1.0
2000-04-04,10.31,11.38,10.25,11.38,8.8898,842600,0.0,1.0
2000-04-05,11.19,11.88,11.12,11.56,9.0304,624700,0.0,1.0
2000-04-06,11.56,11.62,11.0,11.31,8.8351,277500,0.0,1.0
2000-04-07,11.56,11.56,10.94,11.12,8.6867,346200,0.0,1.0
2000-04-10,11.75,12.06,11.62,11.81,9.2257,493100,0.0,1.0
2000-04-11,11.81,11.88,11.12,11.44,8.9367,235500,0.0,1.0
2000-04-12,11.56,11.62,11.0,11.06,8.6398,179400,0.0,1.0
2000-04-13,11.06,11.25,10.56,10.69,8.3508,213200,0.0,1.0
2000-04-14,10.75,10.75,10.12,10.19,7.9602,418900,0.0,1.0
2000-04-17,10.06,10.19,9.81,10.12,7.9055,335800,0.0,1.0
2000-04-18,9.88,10.19,9.88,10.12,7.9055,240000,0.0,1.0
2000-04-19,10.06,10.19,9.88,9.94,7.7649,191600,0.0,1.0
2000-04-20,10.06,10.25,9.94,10.25,8.0071,214200,0.0,1.0
2000-04-24,10.12,10.25,9.75,9.94,7.7649,259000,0.0,1.0
2000-04-25,10.06,10.19,10.0,10.06,7.8586,312200,0.0,1.0
2000-04-26,9.88,10.0,9.38,9.75,7.6165,643600,0.0,1.0
