timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,9.0,9.06,8.81,8.94,6.3512,40400,0.0,1.0
2000-01-04,9.063,9.063,8.938,8.938,6.3498,35400,0.0,1.0
2000-01-05,8.969,9.0,8.875,9.0,6.3938,11300,0.0,1.0
2000-01-06,9.063,9.125,8.75,8.75,6.2162,44800,0.0,1.0
2000-01-07,8.75,9.125,8.75,9.125,6.4826,40100,0.0,1.0
2000-01-10,9.125,9.375,9.063,9.063,6.4386,15600,0.0,1.0
2000-01-11,9.063,9.375,9.063,9.188,6.5274,42000,0.0,1.0
2000-01-12,9.125,9.25,9.0,9.063,6.4386,26100,0.0,1.0
2000-01-13,9.125,9.375,9.125,9.25,6.5714,14600,0.0,1.0
2000-01-14,9.125,9.344,9.125,9.313,6.6162,62900,0.0,1.0
2000-01-18,9.344,9.375,9.156,9.156,6.5046,43900,0.0,1.0
2000-01-19,9.125,9.125,8.375,8.938,6.3498,391400,0.0,1.0
2000-01-20,8.875,9.063,8.625,8.625,6.1274,40900,0.0,1.0
2000-01-21,8.656,8.875,8.313,8.5,6.0386,55800,0.0,1.0
2000-01-24,8.5,8.625,8.375,8.625,6.1274,118300,0.0,1.0
2000-01-25,8.625,8.75,8.5,8.625,6.1274,50500,0.0,1.0
2000-01-26,8.5,8.75,8.25,8.375,5.9498,69800,0.0,1.0
2000-01-27,8.625,8.625,8.375,8.563,6.0834,101600,0.0,1.0
2000-01-28,8.5,8.563,8.25,8.438,5.9946,43400,0.0,1.0
2000-01-31,8.5,8.5,8.313,8.375,5.9498,66600,0.0,1.0
2000-02-01,8.313,8.5,8.25,8.5,6.0386,145200,0.0,1.0
2000-02-02,8.375,8.5,8.375,8.375,5.9498,54400,0.0,1.0
2000-02-03,8.375,8.5,8.25,8.375,5.9498,33800,0.0,1.0
2000-02-04,8.5,8.625,8.375,8.406,5.9718,51700,0.0,1.0
2000-02-07,8.375,8.563,8.375,8.406,5.9718,31000,0.0,1.0
2000-02-08,8.5,8.5,8.375,8.438,5.9946,36700,0.0,1.0
2000-02-09,8.438,8.438,8.125,8.125,5.7722,83100,0.0,1.0
2000-02-10,8.281,8.375,8.125,8.313,5.9058,82900,0.0,1.0
2000-02-11,8.313,8.375,8.25,8.25,5.861,18700,0.0,1.0
2000-02-14,8.25,8.281,7.875,8.031,5.7054,61600,0.0,1.0
2000-02-15,8.188,8.344,8.125,8.313,5.9058,19200,0.0,1.0
2000-02-16,8.25,8.5,8.25,8.375,5.9498,38800,0.0,1.0
2000-02-17,8.5,8.75,8.375,8.625,6.1274,25000,0.0,1.0
2000-02-18,8.563,8.563,8.25,8.313,5.9058,20500,0.0,1.0
2000-02-22,8.375,8.5,7.875,8.0,5.6834,29000,0.0,1.0
2000-02-23,8.25,8.25,7.875,7.875,5.5946,126900,0.0,1.0
2000-02-24,8.063,8.25,7.969,8.0,5.6834,269200,0.0,1.0
2000-02-25,8.094,8.5,7.875,7.875,5.5946,55700,0.0,1.0
2000-02-28,7.875,8.188,7.813,8.031,5.7054,47000,0.0,1.0
2000-02-29,8.063,8.125,7.75,7.875,5.5946,52400,0.0,1.0
2000-03-01,8.0,8.063,7.688,7.75,5.5058,120100,0.0,1.0
2000-03-02,7.75,8.063,7.75,7.938,5.6394,62000,0.0,1.0
2000-03-03,8.0,8.063,7.75,7.813,5.5505,34700,0.0,1.0
2000-03-06,7.625,7.813,7.625,7.781,5.5278,23700,0.0,1.0
2000-03-07,7.875,8.0,7.813,7.938,5.6394,29700,0.0,1.0
2000-03-08,7.938,8.031,7.875,8.031,5.7054,21200,0.0,1.0
2000-03-09,7.813,8.0,7.813,7.906,5.6166,17400,0.0,1.0
2000-03-10,7.938,8.0,7.813,7.875,5.5946,88700,0.0,1.0
2000-03-13,7.906,7.906,7.75,7.75,5.5253,53400,0.0275,1.0
2000-03-14,7.875,7.875,7.281,7.313,5.2138,158200,0.0,1.0
2000-03-15,7.281,7.563,7.125,7.313,5.2138,247100,0.0,1.0
2000-03-16,7.5,7.5,7.125,7.188,5.1247,178700,0.0,1.0
2000-03-17,7.25,7.75,7.188,7.75,5.5253,40500,0.0,1.0
2000-03-20,7.75,8.0,7.75,7.813,5.5702,15700,0.0,1.0
2000-03-21,7.875,8.188,7.875,8.125,5.7927,18800,0.0,1.0
2000-03-22,8.188,8.938,8.0,8.719,6.2162,20900,0.0,1.0
2000-03-23,8.5,8.969,8.375,8.969,6.3944,11900,0.0,1.0
2000-03-24,9.0,9.19,8.75,9.19,6.552,60300,0.0,1.0
2000-03-27,9.0,9.0,8.813,8.813,6.2832,8000,0.0,1.0
2000-03-28,8.688,9.25,8.5,9.25,6.5947,72500,0.0,1.0
2000-03-29,9.25,9.75,9.125,9.5,6.773,78500,0.0,1.0
2000-03-30,9.5,9.5,8.938,8.938,6.3723,14500,0.0,1.0
2000-03-31,9.0,9.125,7.938,8.0,5.7036,138200,0.0,1.0
2000-04-03,8.125,8.25,8.063,8.125,5.7927,19800,0.0,1.0
2000-04-04,8.188,8.375,7.938,8.25,5.8818,30100,0.0,1.0
2000-04-05,8.5,8.75,8.375,8.75,6.2383,14700,0.0,1.0
2000-04-06,8.875,8.875,8.125,8.5,6.06,71500,0.0,1.0
2000-04-07,8.625,9.5,8.625,9.438,6.7288,106300,0.0,1.0
2000-04-10,9.125,9.5,9.125,9.375,6.6839,42400,0.0,1.0
2000-04-11,9.375,9.875,9.375,9.688,6.907,70300,0.0,1.0
2000-04-12,9.875,10.38,9.875,10.25,7.3077,136200,0.0,1.0
2000-04-13,10.38,10.5,9.5,9.5,6.773,139100,0.0,1.0
2000-04-14,9.625,9.625,9.125,9.25,6.5947,49100,0.0,1.0
2000-04-17,9.125,9.938,9.125,9.938,7.0853,23300,0.0,1.0
2000-04-18,9.625,9.625,9.375,9.5,6.773,25800,0.0,1.0
2000-04-19,9.375,9.625,9.375,9.625,6.8621,24900,0.0,1.0
2000-04-20,9.75,9.75,9.125,9.5,6.773,29900,0.0,1.0
2000-04-24,9.0,9.375,8.75,9.375,6.6839,13100,0.0,1.0
2000-04-25,9.25,9.438,9.25,9.438,6.7288,9000,0.0,1.0
2000-04-26,9.219,9.438,9.0,9.375,6.6839,20300,0.0,1.0
2000-04-27,9.375,9.625,9.375,9.563,6.8179,8200,0.0,1.0
2000-04-28,9.625,10.0,9.5,10.0,7.1295,12300,0.0,1.0
2000-05-01,9.813,10.06,9.563,10.03,7.1508,41400,0.0,1.0
2000-05-02,10.0,10.06,9.813,9.813,6.9961,27800,0.0,1.0
2000-05-03,9.563,10.0,9.563,9.688,6.907,10300,0.0,1.0
2000-05-04,9.75,10.63,9.625,10.63,7.5786,33600,0.0,1.0
2000-05-05,10.63,10.63,10.13,10.38,7.4004,28900,0.0,1.0
2000-05-08,10.19,10.25,10.19,10.25,7.3077,1900,0.0,1.0
2000-05-09,10.19,10.19,9.5,9.5,6.773,22200,0.0,1.0
2000-05-10,9.719,9.938,9.719,9.938,7.0853,7700,0.0,1.0
2000-05-11,10.0,10.25,9.813,10.19,7.2649,12400,0.0,1.0
2000-05-12,10.25,10.88,10.19,10.69,7.6214,32200,0.0,1.0
2000-05-15,10.56,10.94,10.06,10.94,7.7996,39700,0.0,1.0
2000-05-16,10.63,10.94,10.38,10.56,7.5287,79800,0.0,1.0
2000-05-17,10.56,10.63,10.31,10.5,7.4859,35200,0.0,1.0
2000-05-18,10.31,10.31,9.875,10.31,7.3505,16200,0.0,1.0
2000-05-19,10.06,10.63,9.813,10.25,7.3077,38800,0.0,1.0
2000-05-22,10.14,10.44,10.13,10.44,7.4432,4000,0.0,1.0
2000-05-23,10.25,10.44,10.13,10.38,7.4004,8500,0.0,1.0
2000-05-24,10.31,10.38,10.13,10.38,7.4004,12800,0.0,1.0
2000-05-25,10.5,10.5,10.38,10.38,7.4004,48900,0.0,1.0
2000-05-26,10.5,10.75,10.5,10.69,7.6214,40100,0.0,1.0
2000-05-30,10.75,11.0,10.75,10.94,7.7996,39700,0.0,1.0
2000-05-31,10.75,11.25,10.75,11.25,8.0206,72400,0.0,1.0
2000-06-01,11.25,11.94,11.13,11.63,8.2916,64200,0.0,1.0
2000-06-02,11.75,11.94,11.63,11.94,8.5126,19700,0.0,1.0
2000-06-05,11.94,12.13,11.75,11.88,8.4698,46000,0.0,1.0
2000-06-06,12.06,12.06,11.63,11.63,8.2916,4100,0.0,1.0
2000-06-07,11.63,11.88,11.63,11.88,8.4698,1500,0.0,1.0
2000-06-08,11.69,11.97,11.69,11.69,8.3539,5800,0.0275,1.0
2000-06-09,11.75,12.0,11.69,11.94,8.5326,34400,0.0,1.0
2000-06-12,12.0,12.0,11.75,11.75,8.3968,24700,0.0,1.0
2000-06-13,11.75,12.0,11.69,11.69,8.3539,27300,0.0,1.0
2000-06-14,11.69,11.81,11.69,11.75,8.3968,11900,0.0,1.0
2000-06-15,11.75,11.81,11.75,11.81,8.4397,22000,0.0,1.0
2000-06-16,11.75,11.81,11.69,11.69,8.3539,43000,0.0,1.0
2000-06-19,11.75,11.75,11.44,11.44,8.1753,57800,0.0,1.0
2000-06-20,11.38,11.38,11.25,11.31,8.0824,92400,0.0,1.0
2000-06-21,11.25,11.38,11.13,11.13,7.9538,32000,0.0,1.0
2000-06-22,11.19,11.19,11.0,11.0,7.8609,32500,0.0,1.0
2000-06-23,11.0,11.06,10.88,10.91,7.7965,8400,0.0,1.0
2000-06-26,10.88,11.0,10.75,10.81,7.7251,2400,0.0,1.0
2000-06-27,10.75,11.0,10.75,10.75,7.6822,29700,0.0,1.0
2000-06-28,10.81,10.88,10.75,10.75,7.6822,22500,0.0,1.0
2000-06-29,10.81,11.0,10.69,10.75,7.6822,20100,0.0,1.0
