timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2009-11-27,20.01,20.01,20.0,20.01,8.2242,43375,0.0,1.0
2009-11-30,20.0,20.01,20.0,20.0,8.22,27401,0.0,1.0
2009-12-01,20.04,20.1,20.0017,20.1,8.2612,27533,0.0,1.0
2009-12-02,20.14,20.49,20.0,20.01,8.2242,49143,0.0,1.0
2009-12-03,20.3,20.48,20.07,20.286,8.3376,31140,0.0,1.0
2009-12-04,20.48,20.7,20.1,20.3,8.3434,66724,0.0,1.0
2009-12-07,20.6,20.6,20.22,20.26,8.3269,31810,0.0,1.0
2009-12-08,20.35,20.4,20.11,20.4,8.3845,24990,0.0,1.0
2009-12-09,20.7,20.85,20.36,20.38,8.3762,68536,0.0,1.0
2009-12-10,20.63,20.94,20.47,20.9,8.59,52648,0.0,1.0
2009-12-11,20.95,20.95,20.37,20.8,8.5489,43300,0.0,1.0
2009-12-14,20.9,20.95,20.68,20.85,8.5694,34468,0.0,1.0
2009-12-15,20.89,20.95,20.6209,20.9,8.59,36393,0.0,1.0
2009-12-16,20.87,20.95,20.75,20.84,8.5653,27235,0.0,1.0
2009-12-17,20.92,20.93,20.71,20.93,8.6023,41809,0.0,1.0
2009-12-18,20.94,20.95,20.76,20.95,8.6105,34547,0.0,1.0
2009-12-21,20.99,21.0,20.6464,20.73,8.5201,42012,0.0,1.0
2009-12-22,20.87,20.944,20.59,20.71,8.5119,42073,0.0,1.0
2009-12-23,20.8,21.0,20.7,20.83,8.5612,23301,0.0,1.0
2009-12-24,20.9,21.1,20.89,20.91,8.5941,13963,0.0,1.0
2009-12-28,20.92,20.92,20.65,20.78,8.5406,44065,0.0,1.0
2009-12-29,20.62,20.69,20.36,20.55,8.4461,19581,0.0,1.0
2009-12-30,20.55,20.55,19.99,20.1,8.2612,68995,0.0,1.0
2009-12-31,20.21,20.24,20.0,20.0,8.22,52377,0.0,1.0
2010-01-04,20.1,20.16,20.0,20.026,8.2307,58297,0.0,1.0
2010-01-05,20.04,20.31,20.02,20.1,8.2612,49760,0.0,1.0
2010-01-06,20.07,20.07,20.0,20.0,8.22,72802,0.0,1.0
2010-01-07,20.02,20.2,20.02,20.1,8.2612,49200,0.0,1.0
2010-01-08,19.85,20.5,19.5,20.49,8.4214,59100,0.0,1.0
2010-01-11,20.55,20.55,20.05,20.2,8.3023,68497,0.0,1.0
2010-01-12,20.19,20.28,19.81,20.06,8.2447,54535,0.0,1.0
2010-01-13,20.06,20.06,20.06,20.06,8.2447,84400,0.0,1.0
2010-01-14,20.1,20.29,19.85,20.132,8.4644,86557,0.4625,1.0
2010-01-15,21.14,22.6,20.14,20.33,8.5476,174400,0.0,1.0
2010-01-19,20.5,20.6,20.177,20.42,8.5855,114538,0.0,1.0
2010-01-20,20.37,20.4,20.02,20.25,8.514,71132,0.0,1.0
2010-01-21,20.2,20.22,19.85,20.09,8.4467,86428,0.0,1.0
2010-01-22,20.12,20.24,19.85,19.94,8.3837,81312,0.0,1.0
2010-01-25,20.22,20.22,19.88,20.06,8.4341,71899,0.0,1.0
2010-01-26,20.05,20.18,19.95,20.0,8.4089,56846,0.0,1.0
2010-01-27,20.18,20.18,19.75,20.1,8.4509,58804,0.0,1.0
2010-01-28,20.0,20.1,19.62,19.75,8.3038,71332,0.0,1.0
2010-01-29,20.06,20.1701,19.64,19.75,8.3038,70191,0.0,1.0
2010-02-01,19.7,20.03,19.53,19.79,8.3206,39352,0.0,1.0
2010-02-02,19.91,19.94,19.8,19.89,8.3626,47300,0.0,1.0
2010-02-03,19.92,19.92,19.66,19.75,8.3038,50232,0.0,1.0
2010-02-04,19.8,19.8,19.03,19.23,8.0851,62419,0.0,1.0
