timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,20.19,23.12,19.84,21.19,17.0884,87900,0.0,1.0
2000-01-04,21.0,21.44,20.0,20.38,16.4352,32700,0.0,1.0
2000-01-05,20.38,20.5,19.75,20.31,16.3787,180100,0.0,1.0
2000-01-06,20.16,20.25,19.5,19.88,16.0804,22100,0.06,1.0
2000-01-07,20.06,20.38,18.56,20.19,16.3311,70400,0.0,1.0
2000-01-10,19.88,20.25,19.63,19.88,16.0804,33700,0.0,1.0
2000-01-11,19.75,20.25,19.63,19.88,16.0804,18300,0.0,1.0
2000-01-12,19.63,20.0,19.0,19.0,15.3685,33000,0.0,1.0
2000-01-13,18.88,19.5,18.88,18.88,15.2715,31300,0.0,1.0
2000-01-14,19.25,19.63,18.88,19.0,15.3685,43100,0.0,1.0
2000-01-18,18.94,31.63,18.63,30.75,24.8728,301200,0.0,1.0
2000-01-19,26.13,26.19,20.88,20.88,16.8892,1215900,0.0,1.0
2000-01-20,21.06,22.44,20.31,21.44,17.3422,304200,0.0,1.0
2000-01-21,21.41,21.44,20.75,21.31,17.237,172100,0.0,1.0
2000-01-24,21.19,21.19,20.25,20.81,16.8326,76300,0.0,1.0
2000-01-25,21.06,22.25,20.13,22.25,17.9974,78500,0.0,1.0
2000-01-26,22.25,22.88,21.44,21.44,17.3422,85900,0.0,1.0
2000-01-27,21.5,22.25,21.25,22.06,17.8437,61100,0.0,1.0
2000-01-28,21.38,22.25,21.38,21.81,17.6415,64500,0.0,1.0
2000-01-31,21.94,22.13,19.31,20.38,16.4848,60900,0.0,1.0
2000-02-01,20.19,20.56,19.13,20.56,16.6304,143500,0.0,1.0
2000-02-02,19.75,20.25,19.25,19.69,15.9267,34400,0.0,1.0
2000-02-03,19.44,19.75,19.38,19.63,15.8781,39700,0.0,1.0
2000-02-04,23.47,26.5,23.44,25.94,20.9821,701500,0.0,1.0
2000-02-07,25.88,26.5,25.5,25.56,20.6747,235900,0.0,1.0
2000-02-08,25.63,25.75,25.5,25.63,20.7314,105900,0.0,1.0
2000-02-09,25.5,25.81,25.5,25.75,20.8284,101600,0.0,1.0
2000-02-10,25.94,26.25,25.63,26.25,21.2329,36000,0.0,1.0
2000-02-11,26.13,26.63,26.0,26.38,21.338,43700,0.0,1.0
2000-02-14,26.13,26.69,26.0,26.63,21.5402,62700,0.0,1.0
2000-02-15,26.5,27.38,26.5,27.38,22.1469,76000,0.0,1.0
2000-02-16,26.88,27.0,26.5,26.81,21.6858,49500,0.0,1.0
2000-02-17,26.63,27.13,26.63,27.0,21.8395,54800,0.0,1.0
2000-02-18,26.88,27.0,26.88,27.0,21.8395,20400,0.0,1.0
2000-02-22,27.0,27.81,27.0,27.81,22.4947,43700,0.0,1.0
2000-02-23,27.5,29.94,27.5,28.75,23.255,56500,0.0,1.0
2000-02-24,28.63,28.88,27.25,27.5,22.2439,43100,0.0,1.0
2000-02-25,27.25,27.81,26.81,26.88,21.7424,60300,0.0,1.0
2000-02-28,26.88,27.25,26.88,26.88,21.7424,25000,0.0,1.0
