timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2002-07-18,8.37,8.37,8.37,8.37,3.0422,800,0.0,1.0
2002-07-19,8.01,8.01,7.75,8.01,2.9113,6400,0.0,1.0
2002-07-22,7.9,7.9,7.47,7.47,2.7151,1700,0.0,1.0
2002-07-23,6.64,6.72,6.64,6.64,2.4134,800,0.0,1.0
2002-07-24,6.4,6.44,6.37,6.4,2.3262,7200,0.0,1.0
2002-07-25,6.4,6.4,6.4,6.4,2.3262,0,0.0,1.0
2002-07-26,7.0,7.15,7.0,7.0,2.5442,400,0.0,1.0
2002-07-29,7.52,7.52,7.28,7.44,2.7042,900,0.0,1.0
2002-07-30,7.44,7.44,7.44,7.44,2.7042,0,0.0,1.0
2002-07-31,7.44,7.44,7.44,7.44,2.7042,0,0.0,1.0
2002-08-01,7.06,7.06,6.98,7.06,2.566,12500,0.0,1.0
2002-08-02,6.92,6.95,6.92,6.92,2.5152,600,0.0,1.0
2002-08-05,8.37,8.37,8.37,8.37,3.0422,800,0.0,1.0
2002-08-06,6.5,6.5,6.5,6.5,2.3625,100,0.0,1.0
2002-08-07,6.66,6.66,6.66,6.66,2.4207,1000,0.0,1.0
2002-08-08,6.66,6.66,6.66,6.66,2.4207,0,0.0,1.0
2002-08-09,6.66,6.66,6.66,6.66,2.4207,0,0.0,1.0
2002-08-12,6.95,6.95,6.65,6.65,2.417,1200,0.0,1.0
2002-08-13,6.72,6.72,6.72,6.72,2.4425,200,0.0,1.0
2002-08-14,6.72,6.72,6.72,6.72,2.4425,0,0.0,1.0
2002-08-15,6.72,6.72,6.72,6.72,2.4425,0,0.0,1.0
2002-08-16,6.72,6.72,6.72,6.72,2.4425,0,0.0,1.0
2002-08-19,6.87,6.87,6.85,6.87,2.497,4000,0.0,1.0
2002-08-20,7.35,7.35,7.35,7.35,2.6715,400,0.0,1.0
2002-08-21,7.39,7.39,7.39,7.39,2.686,800,0.0,1.0
2002-08-22,7.39,7.39,7.39,7.39,2.686,0,0.0,1.0
2002-08-23,7.38,7.38,7.32,7.32,2.6605,200,0.0,1.0
2002-08-26,7.32,7.32,7.32,7.32,2.6605,0,0.0,1.0
2002-08-27,7.02,7.02,7.02,7.02,2.5515,3100,0.0,1.0
2002-08-28,7.02,7.02,7.02,7.02,2.5515,0,0.0,1.0
2002-08-29,6.88,6.88,6.88,6.88,2.5006,100,0.0,1.0
2002-08-30,6.7,6.7,6.7,6.7,2.4352,200,0.0,1.0
2002-09-03,6.7,6.7,6.7,6.7,2.4352,0,0.0,1.0
2002-09-04,6.62,6.62,6.62,6.62,2.4061,400,0.0,1.0
2002-09-05,6.62,6.62,6.62,6.62,2.4061,0,0.0,1.0
2002-09-06,6.62,6.62,6.62,6.62,2.4061,0,0.0,1.0
2002-09-09,6.62,6.62,6.62,6.62,2.4061,0,0.0,1.0
2002-09-10,6.48,6.48,6.48,6.48,2.3552,600,0.0,1.0
2002-09-11,6.48,6.48,6.48,6.48,2.3552,0,0.0,1.0
2002-09-12,7.04,7.04,7.04,7.04,2.5588,600,0.0,1.0
2002-09-13,6.94,6.94,6.94,6.94,2.5224,200,0.0,1.0
2002-09-16,7.05,7.05,7.05,7.05,2.5624,3000,0.0,1.0
2002-09-17,6.55,7.01,6.55,7.01,2.5479,8400,0.0,1.0
2002-09-18,7.01,7.01,7.01,7.01,2.5479,0,0.0,1.0
2002-09-19,6.85,6.85,6.85,6.85,2.4897,100,0.0,1.0
2002-09-20,6.67,6.67,6.67,6.67,2.4243,700,0.0,1.0
2002-09-23,6.67,6.67,6.67,6.67,2.4243,0,0.0,1.0
2002-09-24,6.32,6.32,6.32,6.32,2.2971,10000,0.0,1.0
2002-09-25,6.32,6.32,6.32,6.32,2.2971,0,0.0,1.0
2002-09-26,6.68,6.68,6.68,6.68,2.4279,500,0.0,1.0
2002-09-27,6.57,6.65,6.57,6.57,2.3879,200,0.0,1.0
2002-09-30,6.42,6.6,6.42,6.6,2.3989,500,0.0,1.0
2002-10-01,6.6,6.6,6.6,6.6,2.3989,0,0.0,1.0
2002-10-02,6.6,6.6,6.6,6.6,2.3989,0,0.0,1.0
2002-10-03,6.6,6.6,6.6,6.6,2.3989,0,0.0,1.0
2002-10-04,6.6,6.6,6.6,6.6,2.3989,0,0.0,1.0
2002-10-07,6.6,6.6,6.6,6.6,2.3989,0,0.0,1.0
2002-10-08,6.42,6.42,6.42,6.42,2.3334,1000,0.0,1.0
2002-10-09,6.37,6.37,6.37,6.37,2.3153,400,0.0,1.0
2002-10-10,6.37,6.37,6.37,6.37,2.3153,0,0.0,1.0
2002-10-11,6.37,6.37,6.37,6.37,2.3153,0,0.0,1.0
2002-10-14,6.37,6.37,6.37,6.37,2.3153,0,0.0,1.0
2002-10-15,6.37,6.37,6.37,6.37,2.3153,0,0.0,1.0
2002-10-16,6.37,6.37,6.37,6.37,2.3153,0,0.0,1.0
2002-10-17,6.37,6.37,6.37,6.37,2.3153,0,0.0,1.0
2002-10-18,7.28,7.3,7.28,7.3,2.6533,400,0.0,1.0
2002-10-21,7.59,7.59,7.59,7.59,2.7587,1100,0.0,1.0
2002-10-22,7.18,7.18,7.12,7.18,2.6097,3000,0.0,1.0
2002-10-23,7.18,7.18,7.18,7.18,2.6097,0,0.0,1.0
2002-10-24,7.18,7.18,7.18,7.18,2.6097,0,0.0,1.0
2002-10-25,7.18,7.18,7.18,7.18,2.6097,0,0.0,1.0
2002-10-28,7.18,7.18,7.18,7.18,2.6097,0,0.0,1.0
2002-10-29,7.18,7.18,7.18,7.18,2.6097,0,0.0,1.0
2002-10-30,7.18,7.18,7.18,7.18,2.6097,400,0.0,1.0
2002-10-31,7.18,7.18,7.18,7.18,2.6097,0,0.0,1.0
2002-11-01,6.87,6.87,6.87,6.87,2.497,100,0.0,1.0
2002-11-04,6.95,6.95,6.95,6.95,2.5261,200,0.0,1.0
2002-11-05,6.95,6.95,6.95,6.95,2.5261,0,0.0,1.0
2002-11-06,6.95,6.95,6.95,6.95,2.5261,0,0.0,1.0
2002-11-07,6.95,6.95,6.95,6.95,2.5261,0,0.0,1.0
2002-11-08,7.25,7.29,7.25,7.25,2.6351,2100,0.0,1.0
2002-11-11,7.25,7.25,7.25,7.25,2.6351,0,0.0,1.0
2002-11-12,7.1,7.1,7.1,7.1,2.5806,2000,0.0,1.0
2002-11-13,7.1,7.1,7.1,7.1,2.5806,0,0.0,1.0
