timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,27.75,27.75,26.38,26.5,6.3759,108100,0.0,1.0
2000-01-04,26.38,26.56,25.75,26.38,6.347,127500,0.0,1.0
2000-01-05,26.12,27.0,26.12,26.81,6.4505,21600,0.0,1.0
2000-01-06,27.06,27.44,26.81,27.31,6.5708,70300,0.0,1.0
2000-01-07,27.5,28.62,27.5,28.62,6.886,109500,0.0,1.0
2000-01-10,28.88,28.88,27.88,28.0,6.7368,204000,0.0,1.0
2000-01-11,28.0,28.0,26.5,26.56,6.3903,139600,0.0,1.0
2000-01-12,26.25,26.5,26.0,26.44,6.3614,59800,0.0,1.0
2000-01-13,26.56,27.38,26.5,27.38,6.5876,73200,0.0,1.0
2000-01-14,27.44,28.25,26.88,28.25,6.7969,138000,0.0,1.0
2000-01-18,28.12,28.38,27.81,28.0,6.7368,95000,0.0,1.0
2000-01-19,27.88,27.94,27.0,27.0,6.4962,205800,0.0,1.0
2000-01-20,27.0,27.0,26.5,26.69,6.4216,274600,0.0,1.0
2000-01-21,26.56,26.75,25.0,25.5,6.1353,93700,0.0,1.0
2000-01-24,25.5,25.5,23.62,23.94,5.7599,425700,0.0,1.0
2000-01-25,23.94,23.94,22.88,23.38,5.6252,215600,0.0,1.0
2000-01-26,23.5,23.62,22.81,23.0,5.5338,354500,0.0,1.0
2000-01-27,23.0,23.0,21.38,22.0,5.2932,431900,0.0,1.0
2000-01-28,22.0,22.0,21.5,21.88,5.2643,427300,0.0,1.0
2000-01-31,22.12,23.06,22.06,22.75,5.4736,231300,0.0,1.0
2000-02-01,23.0,23.12,21.88,22.5,5.4135,326200,0.0,1.0
2000-02-02,22.31,22.88,22.12,22.62,5.4424,182300,0.0,1.0
2000-02-03,22.5,23.0,22.0,22.31,5.3678,180300,0.0,1.0
2000-02-04,22.12,22.25,21.25,21.62,5.2018,196200,0.0,1.0
2000-02-07,22.0,22.0,20.88,21.88,5.2643,177900,0.0,1.0
2000-02-08,22.12,22.25,21.5,22.0,5.2932,537400,0.0,1.0
2000-02-09,22.0,22.06,21.56,21.62,5.2018,129700,0.0,1.0
2000-02-10,21.62,21.62,21.0,21.0,5.0526,83100,0.0,1.0
2000-02-11,21.0,21.06,20.0,20.0,4.812,149200,0.0,1.0
2000-02-14,20.06,20.44,19.62,19.75,4.7518,279500,0.0,1.0
2000-02-15,19.88,20.75,19.81,20.25,4.8721,279600,0.0,1.0
2000-02-16,20.38,20.94,19.69,19.94,4.7975,277700,0.0,1.0
2000-02-17,20.06,20.06,18.81,19.06,4.5858,130000,0.0,1.0
2000-02-18,19.31,19.88,19.0,19.0,4.5714,94900,0.0,1.0
2000-02-22,19.0,19.0,17.88,18.44,4.4367,217800,0.0,1.0
2000-02-23,18.44,18.44,17.62,17.62,4.2394,366600,0.0,1.0
2000-02-24,17.56,18.0,17.25,17.75,4.2706,273100,0.0,1.0
2000-02-25,18.25,18.94,11.12,13.25,3.1879,2436300,0.0,1.0
2000-02-28,13.38,13.88,11.75,12.0,2.8872,1318200,0.0,1.0
2000-02-29,12.25,12.25,11.44,11.88,2.8583,1049200,0.0,1.0
2000-03-01,11.88,12.12,11.19,12.0,2.8872,1058700,0.0,1.0
2000-03-02,12.0,12.25,11.94,12.06,2.9016,674800,0.0,1.0
2000-03-03,12.19,14.38,12.19,14.12,3.3973,729700,0.0,1.0
2000-03-06,14.75,15.5,14.06,14.06,3.3828,384300,0.0,1.0
2000-03-07,14.06,14.38,13.06,13.12,3.1567,207800,0.0,1.0
2000-03-08,13.06,13.12,11.88,12.0,2.8872,701900,0.0,1.0
2000-03-09,12.12,12.38,11.88,11.88,2.8583,471100,0.0,1.0
2000-03-10,12.0,12.75,11.94,12.0,2.8872,412300,0.0,1.0
2000-03-13,11.94,12.62,11.62,11.62,2.7958,578100,0.0,1.0
2000-03-14,11.62,12.5,11.62,12.25,2.9473,532500,0.0,1.0
2000-03-15,12.38,13.38,12.25,13.38,3.2192,590100,0.0,1.0
2000-03-16,13.5,14.12,13.5,13.75,3.3082,396700,0.0,1.0
2000-03-17,14.12,14.25,13.31,13.31,3.2024,142800,0.0,1.0
2000-03-20,13.88,14.12,13.56,13.81,3.3227,273400,0.0,1.0
2000-03-21,13.69,14.88,13.62,14.81,3.5633,390300,0.0,1.0
2000-03-22,14.88,15.12,14.62,14.69,3.5344,354700,0.0,1.0
2000-03-23,14.81,15.25,14.69,15.06,3.6234,351200,0.0,1.0
2000-03-24,15.12,15.25,14.75,14.81,3.5633,173600,0.0,1.0
2000-03-27,14.94,15.0,14.81,14.81,3.5633,119900,0.0,1.0
2000-03-28,14.88,14.94,14.12,14.5,3.4887,269400,0.0,1.0
2000-03-29,14.5,14.75,14.38,14.62,3.5176,131000,0.0,1.0
2000-03-30,14.69,14.88,13.75,13.75,3.3082,312600,0.0,1.0
2000-03-31,13.88,15.0,13.88,14.38,3.4598,343600,0.0,1.0
2000-04-03,14.62,15.25,14.62,14.88,3.5801,188400,0.0,1.0
2000-04-04,15.0,15.75,15.0,15.75,3.7894,371600,0.0,1.0
2000-04-05,15.25,15.62,14.0,14.5,3.4887,319600,0.0,1.0
2000-04-06,14.56,14.62,14.12,14.62,3.5176,247800,0.0,1.0
2000-04-07,14.75,15.0,14.56,14.62,3.5176,85300,0.0,1.0
2000-04-10,14.62,14.62,14.38,14.38,3.4598,67700,0.0,1.0
2000-04-11,14.31,15.0,14.12,14.75,3.5488,162100,0.0,1.0
2000-04-12,14.75,14.88,14.38,14.56,3.5031,134200,0.0,1.0
2000-04-13,14.81,14.94,14.5,14.5,3.4887,119800,0.0,1.0
2000-04-14,14.5,14.5,12.81,12.88,3.0989,365100,0.0,1.0
2000-04-17,12.75,13.88,12.38,12.94,3.1134,268200,0.0,1.0
2000-04-18,13.06,13.5,13.0,13.38,3.2192,268400,0.0,1.0
2000-04-19,13.38,13.44,13.0,13.06,3.1422,302700,0.0,1.0
2000-04-20,13.06,13.62,13.0,13.5,3.2481,160800,0.0,1.0
2000-04-24,13.38,13.38,13.06,13.25,3.1879,146600,0.0,1.0
2000-04-25,13.25,14.56,13.25,14.5,3.4887,216500,0.0,1.0
2000-04-26,15.62,16.19,15.62,15.88,3.8207,888300,0.0,1.0
2000-04-27,15.94,15.94,15.12,15.5,3.7293,152000,0.0,1.0
2000-04-28,15.5,15.75,15.5,15.62,3.7582,127400,0.0,1.0
2000-05-01,15.62,16.62,15.62,16.19,3.8953,310600,0.0,1.0
2000-05-02,16.06,16.19,15.81,15.81,3.8039,141900,0.0,1.0
2000-05-03,15.56,15.81,15.5,15.69,3.775,195400,0.0,1.0
2000-05-04,15.94,16.25,15.81,16.06,3.864,64300,0.0,1.0
2000-05-05,16.0,16.12,15.94,16.12,3.8785,103700,0.0,1.0
2000-05-08,16.12,16.62,16.0,16.56,3.9843,227300,0.0,1.0
2000-05-09,16.56,16.88,16.25,16.44,3.9555,149300,0.0,1.0
2000-05-10,16.44,16.5,15.62,16.0,3.8496,178500,0.0,1.0
2000-05-11,16.0,16.25,16.0,16.25,3.9097,198900,0.0,1.0
2000-05-12,16.38,16.44,15.81,15.88,3.8207,321000,0.0,1.0
2000-05-15,15.88,15.94,15.62,15.94,3.8352,59800,0.0,1.0
2000-05-16,16.0,16.25,15.88,16.0,3.8496,221100,0.0,1.0
2000-05-17,16.0,16.12,15.75,16.06,3.864,132000,0.0,1.0
2000-05-18,16.06,16.38,15.94,16.25,3.9097,83900,0.0,1.0
2000-05-19,16.38,16.38,15.88,16.0,3.8496,82500,0.0,1.0
2000-05-22,16.25,16.25,15.81,16.12,3.8785,93600,0.0,1.0
2000-05-23,16.25,16.25,16.12,16.19,3.8953,30200,0.0,1.0
2000-05-24,16.19,16.31,16.06,16.31,3.9242,91000,0.0,1.0
2000-05-25,16.31,16.44,16.25,16.31,3.9242,78000,0.0,1.0
2000-05-26,16.38,16.44,16.12,16.44,3.9555,82700,0.0,1.0
2000-05-30,16.25,16.62,16.25,16.56,3.9843,88300,0.0,1.0
2000-05-31,16.38,16.44,15.88,15.94,3.8352,47800,0.0,1.0
2000-06-01,16.12,17.0,16.06,17.0,4.0902,149200,0.0,1.0
2000-06-02,16.88,17.25,16.88,17.19,4.1359,77800,0.0,1.0
2000-06-05,17.25,17.25,16.56,16.88,4.0613,87800,0.0,1.0
2000-06-06,16.75,17.25,16.75,17.0,4.0902,47100,0.0,1.0
2000-06-07,17.12,17.12,16.5,16.62,3.9988,50700,0.0,1.0
2000-06-08,16.62,16.62,16.19,16.25,3.9097,64900,0.0,1.0
2000-06-09,16.0,16.0,15.44,15.44,3.7149,89800,0.0,1.0
2000-06-12,15.56,15.88,15.31,15.62,3.7582,85000,0.0,1.0
2000-06-13,15.75,15.75,15.25,15.62,3.7582,69900,0.0,1.0
2000-06-14,15.75,15.75,15.25,15.5,3.7293,84700,0.0,1.0
2000-06-15,15.38,15.62,15.31,15.5,3.7293,65200,0.0,1.0
2000-06-16,15.5,15.5,15.25,15.31,3.6836,52500,0.0,1.0
2000-06-19,15.44,15.56,14.94,15.0,3.609,67900,0.0,1.0
2000-06-20,14.94,14.94,14.0,14.0,3.3684,96600,0.0,1.0
2000-06-21,14.0,14.25,13.75,14.0,3.3684,235400,0.0,1.0
2000-06-22,14.12,14.25,13.75,13.81,3.3227,78900,0.0,1.0
2000-06-23,13.94,13.94,13.56,13.56,3.2625,80900,0.0,1.0
2000-06-26,13.69,14.25,13.62,14.25,3.4285,62800,0.0,1.0
2000-06-27,14.5,15.0,14.38,15.0,3.609,102600,0.0,1.0
2000-06-28,15.19,15.19,14.75,14.88,3.5801,82900,0.0,1.0
2000-06-29,14.88,15.0,14.75,14.88,3.5801,41000,0.0,1.0
2000-06-30,14.75,15.0,14.06,15.0,3.609,105700,0.0,1.0
2000-07-03,14.0,14.62,14.0,14.62,3.5176,106600,0.0,1.0
2000-07-05,14.62,14.94,14.62,14.88,3.5801,49900,0.0,1.0
2000-07-06,14.94,15.0,14.5,14.62,3.5176,147300,0.0,1.0
2000-07-07,14.62,14.62,14.25,14.25,3.4285,42500,0.0,1.0
2000-07-10,14.19,14.19,14.0,14.19,3.4141,164200,0.0,1.0
2000-07-11,14.25,15.19,14.06,15.12,3.6379,90700,0.0,1.0
2000-07-12,15.25,15.5,15.12,15.38,3.7004,128700,0.0,1.0
2000-07-13,15.31,15.5,15.06,15.25,3.6691,34700,0.0,1.0
2000-07-14,15.25,15.62,15.12,15.31,3.6836,57700,0.0,1.0
2000-07-17,15.31,15.31,14.81,15.12,3.6379,90900,0.0,1.0
2000-07-18,15.19,15.25,15.0,15.0,3.609,40000,0.0,1.0
2000-07-19,15.12,15.12,14.62,14.62,3.5176,26000,0.0,1.0
2000-07-20,14.5,15.38,14.5,15.31,3.6836,208100,0.0,1.0
2000-07-21,15.12,15.12,14.75,14.88,3.5801,47600,0.0,1.0
2000-07-24,14.88,15.12,14.75,15.0,3.609,35700,0.0,1.0
2000-07-25,15.0,15.0,14.88,14.94,3.5946,71700,0.0,1.0
2000-07-26,14.94,15.19,14.88,15.19,3.6547,98000,0.0,1.0
2000-07-27,15.19,15.25,14.88,15.19,3.6547,154800,0.0,1.0
2000-07-28,15.25,15.44,15.12,15.44,3.7149,135100,0.0,1.0
2000-07-31,15.38,16.5,15.38,16.5,3.9699,142100,0.0,1.0
2000-08-01,16.5,16.62,16.38,16.38,3.941,216400,0.0,1.0
2000-08-02,16.44,17.25,16.44,17.0,4.0902,311200,0.0,1.0
2000-08-03,17.0,17.0,16.59,16.88,4.0613,119900,0.0,1.0
2000-08-04,16.94,16.94,16.75,16.88,4.0613,63200,0.0,1.0
2000-08-07,16.88,17.62,16.75,17.62,4.2394,130600,0.0,1.0
2000-08-08,17.5,17.75,17.38,17.62,4.2394,63700,0.0,1.0
2000-08-09,17.5,17.69,17.44,17.62,4.2394,68200,0.0,1.0
2000-08-10,17.5,17.62,17.38,17.56,4.2249,47000,0.0,1.0
2000-08-11,17.44,17.88,17.44,17.69,4.2562,50500,0.0,1.0
2000-08-14,17.88,17.94,17.5,17.56,4.2249,121800,0.0,1.0
2000-08-15,17.56,17.88,17.25,17.25,4.1503,117500,0.0,1.0
2000-08-16,17.0,17.62,17.0,17.38,4.1816,83500,0.0,1.0
2000-08-17,17.44,17.69,17.31,17.69,4.2562,28000,0.0,1.0
2000-08-18,17.75,17.75,17.12,17.44,4.1961,35500,0.0,1.0
2000-08-21,17.38,17.56,17.25,17.31,4.1648,45500,0.0,1.0
2000-08-22,17.25,18.25,17.25,18.12,4.3597,70300,0.0,1.0
2000-08-23,18.25,18.75,18.25,18.5,4.4511,77900,0.0,1.0
2000-08-24,18.56,18.94,18.25,18.81,4.5257,62600,0.0,1.0
2000-08-25,18.94,19.5,18.81,19.19,4.6171,92700,0.0,1.0
2000-08-28,19.12,19.12,18.5,18.56,4.4655,59800,0.0,1.0
2000-08-29,18.44,18.5,18.06,18.25,4.3909,61100,0.0,1.0
2000-08-30,18.44,18.75,18.12,18.75,4.5112,68600,0.0,1.0
2000-08-31,18.56,18.56,18.12,18.31,4.4054,56500,0.0,1.0
2000-09-01,18.31,18.31,17.0,17.75,4.2706,251400,0.0,1.0
2000-09-05,17.75,17.75,17.25,17.62,4.2394,97200,0.0,1.0
2000-09-06,17.56,17.88,17.56,17.81,4.2851,323300,0.0,1.0
2000-09-07,18.0,18.38,17.88,18.19,4.3765,36200,0.0,1.0
2000-09-08,18.31,18.31,18.0,18.0,4.3308,57900,0.0,1.0
2000-09-11,18.06,18.12,17.5,17.5,4.2105,36400,0.0,1.0
2000-09-12,17.5,18.19,17.44,18.06,4.3452,73300,0.0,1.0
2000-09-13,18.0,18.19,17.88,18.06,4.3452,143900,0.0,1.0
2000-09-14,17.81,18.38,17.81,18.06,4.3452,78100,0.0,1.0
2000-09-15,17.88,17.94,17.75,17.75,4.2706,113400,0.0,1.0
2000-09-18,17.62,17.62,17.0,17.56,4.2249,400200,0.0,1.0
2000-09-19,17.12,17.12,16.0,16.44,3.9555,232600,0.0,1.0
2000-09-20,16.31,16.38,15.94,16.38,3.941,223000,0.0,1.0
2000-09-21,16.25,16.38,15.88,15.88,3.8207,181700,0.0,1.0
2000-09-22,15.88,15.88,15.5,15.56,3.7437,75500,0.0,1.0
2000-09-25,15.5,15.5,14.81,15.0,3.609,207600,0.0,1.0
2000-09-26,14.12,14.12,13.5,13.5,3.2481,560600,0.0,1.0
2000-09-27,13.5,13.56,12.44,12.56,3.0219,371100,0.0,1.0
2000-09-28,12.56,13.5,12.0,13.5,3.2481,216300,0.0,1.0
2000-09-29,13.5,13.5,13.06,13.06,3.1422,54100,0.0,1.0
2000-10-02,13.06,13.31,12.25,12.25,2.9473,198700,0.0,1.0
2000-10-03,12.38,13.0,12.31,12.75,3.0676,127900,0.0,1.0
2000-10-04,12.75,13.75,12.75,13.62,3.277,198900,0.0,1.0
2000-10-05,13.62,13.62,13.25,13.44,3.2337,74800,0.0,1.0
2000-10-06,13.44,13.56,13.12,13.25,3.1879,104700,0.0,1.0
2000-10-09,13.25,13.5,13.25,13.31,3.2024,95000,0.0,1.0
2000-10-10,13.31,13.31,12.75,12.94,3.1134,80200,0.0,1.0
2000-10-11,12.81,13.0,12.31,12.5,3.0075,105600,0.0,1.0
2000-10-12,12.5,12.62,12.06,12.06,2.9016,141600,0.0,1.0
