timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,31.12,31.25,29.69,31.25,22.845,172200,0.0,1.0
2000-01-04,31.12,31.56,30.44,30.56,22.3406,138700,0.0,1.0
2000-01-05,30.75,33.0,30.75,32.44,23.715,167400,0.0,1.0
2000-01-06,32.19,32.75,32.19,32.44,23.715,240400,0.0,1.0
2000-01-07,32.62,33.75,32.62,33.44,24.446,161100,0.0,1.0
2000-01-10,33.38,34.38,33.38,34.38,25.1332,237600,0.0,1.0
2000-01-11,34.25,34.25,33.75,33.88,24.7676,171500,0.0,1.0
2000-01-12,33.81,34.44,33.75,34.0,24.8554,160600,0.0,1.0
2000-01-13,33.88,35.25,33.88,35.06,25.6303,191500,0.0,1.0
2000-01-14,35.31,35.81,35.19,35.25,25.7692,167800,0.0,1.0
2000-01-18,35.5,36.19,34.69,35.81,26.1786,112900,0.0,1.0
2000-01-19,35.69,36.12,35.38,35.5,25.9519,74900,0.0,1.0
2000-01-20,35.62,35.69,34.31,34.62,25.3086,106700,0.0,1.0
2000-01-21,34.56,34.62,33.38,33.5,24.4899,123100,0.0,1.0
2000-01-24,33.44,33.44,32.0,32.31,23.6199,179500,0.0,1.0
2000-01-25,32.31,33.06,32.31,32.94,24.0805,110900,0.0,1.0
2000-01-26,33.0,33.06,31.88,32.19,23.5322,98000,0.0,1.0
2000-01-27,32.0,32.81,32.0,32.12,23.481,179500,0.0,1.0
2000-01-28,32.12,32.25,31.69,32.0,23.3933,189100,0.0,1.0
2000-01-31,31.88,32.0,31.25,31.75,23.2105,80700,0.0,1.0
2000-02-01,31.75,31.81,31.06,31.19,22.8012,177400,0.0,1.0
2000-02-02,30.69,30.69,28.94,30.12,22.0189,504700,0.0,1.0
2000-02-03,30.5,30.94,30.25,30.62,22.3845,175100,0.0,1.0
2000-02-04,30.75,30.81,29.88,30.0,21.9312,82900,0.0,1.0
2000-02-07,30.12,30.31,29.25,29.56,21.6096,162200,0.0,1.0
2000-02-08,29.5,29.94,29.25,29.38,21.478,95200,0.0,1.0
2000-02-09,29.88,29.94,29.06,29.38,21.478,90200,0.0,1.0
2000-02-10,29.62,30.19,29.31,29.56,21.6096,141000,0.0,1.0
2000-02-11,29.44,29.69,28.44,28.62,20.9224,97700,0.0,1.0
2000-02-14,28.81,29.88,28.69,29.5,21.5657,159400,0.0,1.0
2000-02-15,29.5,29.56,28.5,28.62,20.9224,80200,0.0,1.0
2000-02-16,28.5,29.44,28.38,28.81,21.0613,123900,0.0,1.0
2000-02-17,29.06,29.19,28.25,28.56,20.8785,131800,0.0,1.0
2000-02-18,28.56,28.62,28.19,28.5,20.8347,216900,0.0,1.0
2000-02-22,28.75,29.0,28.06,28.25,20.6519,155900,0.0,1.0
2000-02-23,27.94,28.31,27.06,27.75,20.3814,235300,0.13,1.0
2000-02-24,27.62,27.62,26.12,26.94,19.7865,135400,0.0,1.0
2000-02-25,26.81,27.81,26.44,27.19,19.9701,107800,0.0,1.0
2000-02-28,27.44,27.75,26.62,27.12,19.9187,119000,0.0,1.0
2000-02-29,27.06,28.25,27.06,28.25,20.7486,188200,0.0,1.0
2000-03-01,28.0,30.19,28.0,29.44,21.6227,223500,0.0,1.0
2000-03-02,29.44,29.75,28.62,28.75,21.1159,110100,0.0,1.0
2000-03-03,29.12,29.19,28.38,28.44,20.8882,126600,0.0,1.0
2000-03-06,28.19,28.38,27.62,27.88,20.4769,147500,0.0,1.0
2000-03-07,27.75,27.75,27.44,27.56,20.2419,137400,0.0,1.0
2000-03-08,27.62,28.31,27.56,27.88,20.4769,65600,0.0,1.0
2000-03-09,27.75,28.94,27.75,28.62,21.0204,63600,0.0,1.0
2000-03-10,28.56,29.0,28.12,28.75,21.1159,100700,0.0,1.0
2000-03-13,28.88,29.19,27.62,28.62,21.0204,224100,0.0,1.0
2000-03-14,28.62,28.69,27.75,27.88,20.4769,105700,0.0,1.0
2000-03-15,27.94,27.94,27.38,27.75,20.3814,183300,0.0,1.0
2000-03-16,27.88,29.38,27.88,29.38,21.5786,326100,0.0,1.0
2000-03-17,29.12,30.19,29.06,29.81,21.8944,142700,0.0,1.0
2000-03-20,29.94,30.25,29.88,30.12,22.1221,126000,0.0,1.0
2000-03-21,30.06,30.06,29.38,29.69,21.8063,86300,0.0,1.0
2000-03-22,29.94,30.06,29.38,30.0,22.034,136900,0.0,1.0
2000-03-23,30.25,31.19,30.19,30.94,22.7244,126000,0.0,1.0
2000-03-24,30.81,30.81,29.94,30.19,22.1735,173000,0.0,1.0
2000-03-27,29.0,29.62,29.0,29.44,21.6227,197100,0.0,1.0
2000-03-28,29.62,29.88,28.88,29.69,21.8063,154000,0.0,1.0
2000-03-29,29.75,29.75,28.88,29.44,21.6227,75000,0.0,1.0
2000-03-30,29.56,31.69,29.56,31.44,23.0916,198000,0.0,1.0
2000-03-31,31.5,35.5,31.5,35.38,25.9854,397900,0.0,1.0
2000-04-03,35.0,35.0,32.94,33.81,24.8323,200400,0.0,1.0
2000-04-04,33.44,34.62,33.25,33.69,24.7441,166800,0.0,1.0
2000-04-05,33.44,34.44,33.44,34.19,25.1114,114700,0.0,1.0
2000-04-06,34.31,35.19,34.31,34.94,25.6622,75000,0.0,1.0
2000-04-07,34.81,35.5,34.5,34.56,25.3831,50600,0.0,1.0
2000-04-10,34.44,35.25,33.81,34.75,25.5227,93900,0.0,1.0
