timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-07-29,20.0,20.25,20.0,20.0,14.9594,1307930,0.0,1.0
2014-07-30,20.02,20.14,20.02,20.08,15.0192,129612,0.0,1.0
2014-07-31,20.03,20.08,20.01,20.05,14.9968,163353,0.0,1.0
2014-08-01,20.0499,20.05,20.01,20.01,14.9669,55770,0.0,1.0
2014-08-04,20.03,20.0899,20.01,20.04,14.9893,75319,0.0,1.0
2014-08-05,19.95,20.12,19.95,20.04,14.9893,144687,0.0,1.0
2014-08-06,20.05,20.09,20.02,20.06,15.0043,55184,0.0,1.0
2014-08-07,20.06,20.08,20.03,20.04,14.9893,50748,0.0,1.0
2014-08-08,20.08,20.15,20.02,20.1498,15.0714,54862,0.0,1.0
2014-08-11,20.15,20.24,20.08,20.16,15.0791,56034,0.0,1.0
2014-08-12,20.26,20.26,20.1,20.15,15.0716,37248,0.0,1.0
2014-08-13,20.2,20.21,20.1,20.19,15.1015,44394,0.0,1.0
2014-08-14,20.25,20.26,20.15,20.24,15.1389,67643,0.0,1.0
2014-08-15,20.26,20.4,20.2579,20.39,15.2511,54582,0.0,1.0
2014-08-18,20.57,20.57,20.15,20.2199,15.1239,81602,0.0,1.0
2014-08-19,20.29,20.42,20.2201,20.39,15.2511,49835,0.0,1.0
2014-08-20,20.4,20.4,20.3,20.38,15.2436,26269,0.0,1.0
2014-08-21,20.4,20.4,20.2501,20.4,15.2586,52430,0.0,1.0
2014-08-22,20.35,20.4,20.34,20.4,15.2586,42896,0.0,1.0
2014-08-25,20.39,20.5,20.2,20.28,15.1688,44150,0.0,1.0
2014-08-26,20.57,20.57,20.2879,20.54,15.3633,66630,0.0,1.0
2014-08-27,20.05,20.15,20.0,20.0,14.9594,864231,0.0,1.0
2014-08-28,20.01,20.06,20.0,20.0,14.9594,234818,0.0,1.0
2014-08-29,20.04,20.06,20.01,20.06,15.0043,86935,0.0,1.0
2014-09-02,20.01,20.04,20.0,20.0,14.9594,139353,0.0,1.0
2014-09-03,20.04,20.04,20.0,20.0,14.9594,87962,0.0,1.0
2014-09-04,20.01,20.04,20.0,20.0,14.9594,64677,0.0,1.0
2014-09-05,20.0,20.03,20.0,20.0,14.9594,170685,0.0,1.0
2014-09-08,20.0,20.01,20.0,20.0,14.9594,109179,0.0,1.0
2014-09-09,20.0,20.03,20.0,20.0,14.9594,161509,0.0,1.0
2014-09-10,20.0,20.01,20.0,20.0,14.9594,128840,0.0,1.0
2014-09-11,20.02,20.18,20.0,20.05,14.9968,138036,0.0,1.0
2014-09-12,19.96,19.96,19.5,19.62,14.6752,128299,0.0,1.0
2014-09-15,19.74,19.74,19.52,19.6999,14.7349,83428,0.0,1.0
2014-09-16,19.51,19.9,19.51,19.9,14.8846,116343,0.0,1.0
2014-09-17,19.95,19.95,19.68,19.81,14.9014,80082,0.1125,1.0
2014-09-18,19.72,19.85,19.65,19.85,14.9315,70449,0.0,1.0
2014-09-19,19.85,19.85,19.75,19.75,14.8563,65998,0.0,1.0
2014-09-22,19.74,19.839,19.52,19.54,14.6983,85834,0.0,1.0
2014-09-23,19.8,19.8,19.5067,19.6392,14.7729,102373,0.0,1.0
2014-09-24,19.8,19.8,19.58,19.78,14.8789,117169,0.0,1.0
2014-09-25,19.75,19.789,19.39,19.448,14.6291,134657,0.0,1.0
2014-09-26,19.5,19.617,19.19,19.26,14.4877,89226,0.0,1.0
2014-09-29,19.19,19.25,18.89,18.9,14.2169,103640,0.0,1.0
2014-09-30,18.88,19.08,18.75,18.85,14.1793,126752,0.0,1.0
2014-10-01,18.8,19.2,18.75,18.98,14.2771,132332,0.0,1.0
2014-10-02,18.88,18.96,18.55,18.81,14.1492,62177,0.0,1.0
2014-10-03,18.78,19.29,18.76,19.25,14.4802,60956,0.0,1.0
2014-10-06,19.55,19.55,18.86,19.06,14.3373,66025,0.0,1.0
2014-10-07,18.88,19.07,18.68,18.68,14.0514,66500,0.0,1.0
2014-10-08,18.81,18.97,18.67,18.945,14.2508,87081,0.0,1.0
2014-10-09,18.99,19.25,18.62,18.67,14.0439,98903,0.0,1.0
2014-10-10,18.6,18.6,17.61,18.02,13.5549,382375,0.0,1.0
2014-10-13,18.08,18.15,17.7,17.96,13.5098,114046,0.0,1.0
2014-10-14,17.97,18.143,17.75,17.87,13.4421,130929,0.0,1.0
2014-10-15,17.54,17.8499,16.58,17.01,12.7952,309836,0.0,1.0
2014-10-16,17.09,18.0,16.62,18.0,13.5399,202575,0.0,1.0
2014-10-17,18.21,18.997,18.11,18.69,14.1436,100407,0.1125,1.0
2014-10-20,18.7,18.9264,18.13,18.4,13.9241,135479,0.0,1.0
2014-10-21,18.38,18.8871,18.32,18.46,13.9695,180443,0.0,1.0
2014-10-22,18.38,18.59,18.0,18.1694,13.7496,138881,0.0,1.0
2014-10-23,18.26,19.24,18.26,18.98,14.363,226591,0.0,1.0
2014-10-24,18.87,19.49,18.66,19.45,14.7187,133987,0.0,1.0
