timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-10-26,7.68,7.94,7.48,7.7,7.7,335161,0.0,1.0
2015-10-27,7.69,7.7,7.06,7.15,7.15,500370,0.0,1.0
2015-10-28,7.15,7.76,7.1,7.51,7.51,346285,0.0,1.0
2015-10-29,7.51,7.57,7.2201,7.34,7.34,293285,0.0,1.0
2015-10-30,7.34,7.42,7.02,7.27,7.27,262144,0.0,1.0
2015-11-02,7.26,7.85,7.26,7.67,7.67,459529,0.0,1.0
2015-11-03,7.65,7.79,7.594,7.72,7.72,412351,0.0,1.0
2015-11-04,7.72,7.81,7.38,7.81,7.81,386359,0.0,1.0
2015-11-05,7.79,8.175,7.71,7.93,7.93,293618,0.0,1.0
2015-11-06,7.88,8.4,7.7,8.25,8.25,351444,0.0,1.0
2015-11-09,8.19,8.33,8.04,8.09,8.09,221245,0.0,1.0
2015-11-10,8.04,8.1399,7.65,7.76,7.76,276145,0.0,1.0
2015-11-11,7.76,7.89,7.54,7.72,7.72,255867,0.0,1.0
2015-11-12,7.64,7.83,7.36,7.47,7.47,315540,0.0,1.0
2015-11-13,7.38,7.68,7.37,7.61,7.61,165672,0.0,1.0
2015-11-16,7.58,8.08,7.53,8.04,8.04,288199,0.0,1.0
2015-11-17,8.04,8.18,7.77,7.89,7.89,280714,0.0,1.0
2015-11-18,7.92,8.18,7.89,8.08,8.08,279724,0.0,1.0
2015-11-19,7.9,8.225,7.88,8.07,8.07,339608,0.0,1.0
2015-11-20,8.11,8.53,8.1,8.35,8.35,194559,0.0,1.0
2015-11-23,8.16,8.48,8.16,8.38,8.38,223789,0.0,1.0
2015-11-24,8.37,8.5,8.14,8.47,8.47,173346,0.0,1.0
2015-11-25,8.47,8.815,8.27,8.7,8.7,289883,0.0,1.0
2015-11-27,8.76,8.76,8.21,8.35,8.35,156092,0.0,1.0
2015-11-30,8.4,8.84,8.14,8.48,8.48,297596,0.0,1.0
2015-12-01,8.41,8.74,8.31,8.72,8.72,278257,0.0,1.0
2015-12-02,8.61,8.98,8.61,8.83,8.83,524139,0.0,1.0
2015-12-03,8.78,8.975,8.31,8.38,8.38,208739,0.0,1.0
2015-12-04,8.36,8.7,8.25,8.49,8.49,121133,0.0,1.0
2015-12-07,8.39,8.4,7.96,8.12,8.12,320878,0.0,1.0
2015-12-08,7.97,8.41,7.96,8.3,8.3,148814,0.0,1.0
2015-12-09,8.3,8.49,8.28,8.34,8.34,182713,0.0,1.0
2015-12-10,8.26,8.6,8.26,8.5,8.5,259259,0.0,1.0
2015-12-11,8.52,8.85,8.35,8.39,8.39,521558,0.0,1.0
