timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-05-25,24.5,25.6,24.35,24.51,10.0679,2145400,0.0,1.0
2005-05-26,24.58,24.7,23.66,24.01,9.8625,422900,0.0,1.0
2005-05-27,24.0,24.8,23.85,24.4,10.0227,122400,0.0,1.0
2005-05-31,24.5,24.75,24.3,24.55,10.0844,119300,0.0,1.0
2005-06-01,24.5,24.95,24.43,24.8,10.1871,96700,0.0,1.0
2005-06-02,24.78,25.21,24.76,25.05,10.2897,100500,0.0,1.0
2005-06-03,25.1,25.19,24.91,25.0,10.2692,80700,0.0,1.0
2005-06-06,25.05,25.05,24.55,24.85,10.2076,52700,0.0,1.0
2005-06-07,24.95,25.0,24.8,24.9,10.2281,57000,0.0,1.0
2005-06-08,25.0,25.15,24.95,25.0,10.2692,60300,0.0,1.0
2005-06-09,25.0,25.0,24.8,24.95,10.2487,33900,0.0,1.0
2005-06-10,25.0,25.1,24.86,25.0,10.2692,35800,0.0,1.0
2005-06-13,25.05,25.25,24.95,25.25,10.3719,55100,0.0,1.0
2005-06-14,25.29,25.95,25.17,25.75,10.5773,77300,0.0,1.0
2005-06-15,25.7,26.55,25.55,26.35,10.8237,54600,0.0,1.0
2005-06-16,26.34,27.25,26.33,26.85,11.0291,70700,0.0,1.0
2005-06-17,26.85,26.9,26.35,26.4,10.8443,37500,0.0,1.0
2005-06-20,26.5,26.5,25.75,25.75,10.5773,62600,0.0,1.0
2005-06-21,25.95,25.95,25.52,25.7,10.5567,55400,0.0,1.0
2005-06-22,25.65,25.65,25.25,25.4,10.4335,29800,0.0,1.0
2005-06-23,25.29,25.99,25.1,25.66,10.5403,54600,0.0,1.0
2005-06-24,25.6,25.6,25.35,25.5,10.4746,31500,0.0,1.0
2005-06-27,25.4,25.5,25.16,25.5,10.4746,57700,0.0,1.0
2005-06-28,25.4,25.7,25.31,25.55,10.4951,39400,0.0,1.0
2005-06-29,25.53,25.8,25.32,25.35,10.413,57300,0.0,1.0
2005-06-30,25.32,25.55,25.3,25.34,10.4089,41600,0.0,1.0
2005-07-01,25.39,25.9,25.35,25.9,10.6389,24900,0.0,1.0
2005-07-05,26.0,26.45,26.0,26.45,10.8648,63000,0.0,1.0
2005-07-06,26.47,26.9,26.36,26.78,11.0004,56000,0.0,1.0
2005-07-07,26.7,26.85,26.65,26.8,11.0086,39000,0.0,1.0
2005-07-08,26.81,27.85,26.66,27.25,11.1934,71300,0.0,1.0
2005-07-11,27.15,27.25,27.1,27.18,11.1647,20400,0.0,1.0
2005-07-12,27.18,28.05,27.05,28.05,11.522,30100,0.0,1.0
2005-07-13,28.0,28.05,27.8,27.96,11.4851,24600,0.0,1.0
2005-07-14,28.06,28.06,27.65,27.66,11.3618,21300,0.0,1.0
2005-07-15,27.63,27.75,27.45,27.48,11.2879,12200,0.0,1.0
2005-07-18,27.48,27.5,27.12,27.15,11.1524,17100,0.0,1.0
2005-07-19,27.05,27.25,26.9,27.2,11.1729,24000,0.0,1.0
2005-07-20,27.25,27.65,27.25,27.6,11.3372,26500,0.0,1.0
2005-07-21,27.65,27.85,27.5,27.5,11.2961,20200,0.0,1.0
2005-07-22,27.4,27.4,27.0,27.0,11.0907,34800,0.0,1.0
2005-07-25,26.9,26.95,26.75,26.8,11.0086,35300,0.0,1.0
2005-07-26,26.85,27.13,26.84,27.0,11.0907,35600,0.0,1.0
2005-07-27,26.95,27.49,26.95,27.29,11.2715,22800,0.15,1.0
2005-07-28,27.35,27.7,27.35,27.7,11.4408,31100,0.0,1.0
2005-07-29,27.75,27.85,27.66,27.75,11.4615,11400,0.0,1.0
2005-08-01,27.8,28.05,27.8,28.01,11.5689,29300,0.0,1.0
2005-08-02,28.23,28.7,28.15,28.7,11.8538,25400,0.0,1.0
2005-08-03,28.85,29.25,28.55,29.25,12.081,33200,0.0,1.0
2005-08-04,29.4,29.48,29.2,29.35,12.1223,15800,0.0,1.0
2005-08-05,29.4,29.8,29.3,29.35,12.1223,22000,0.0,1.0
2005-08-08,29.25,29.25,28.5,28.81,11.8993,28800,0.0,1.0
2005-08-09,28.71,28.71,27.8,27.85,11.5028,62200,0.0,1.0
2005-08-10,27.8,27.85,27.16,27.29,11.2715,31700,0.0,1.0
2005-08-11,27.15,27.23,27.1,27.2,11.2343,12600,0.0,1.0
2005-08-12,27.2,27.35,27.2,27.35,11.2963,6300,0.0,1.0
2005-08-15,27.35,27.55,27.35,27.55,11.3789,12000,0.0,1.0
2005-08-16,27.58,27.75,27.55,27.62,11.4078,24200,0.0,1.0
2005-08-17,27.57,27.57,27.0,27.01,11.1558,23700,0.0,1.0
2005-08-18,27.01,27.01,25.9,26.37,10.8915,36800,0.0,1.0
2005-08-19,26.45,26.9,26.25,26.9,11.1104,13500,0.0,1.0
2005-08-22,26.95,27.334,26.95,27.31,11.2797,12400,0.0,1.0
2005-08-23,27.36,27.36,26.8,26.92,11.1187,17100,0.0,1.0
2005-08-24,26.82,26.82,26.65,26.75,11.0484,19200,0.0,1.0
2005-08-25,26.85,26.85,26.5,26.84,11.0856,15000,0.0,1.0
2005-08-26,26.82,26.82,26.3,26.3,10.8626,5300,0.0,1.0
2005-08-29,26.4,26.4,25.95,26.01,10.7428,8900,0.0,1.0
2005-08-30,26.01,26.25,25.99,26.0,10.7387,23800,0.0,1.0
2005-08-31,25.95,25.95,25.65,25.9,10.6974,21100,0.0,1.0
2005-09-01,25.8,26.23,25.8,26.17,10.8089,18100,0.0,1.0
2005-09-02,26.24,26.65,26.15,26.55,10.9658,16900,0.0,1.0
2005-09-06,26.65,26.8,26.55,26.75,11.0484,3900,0.0,1.0
2005-09-07,26.8,26.96,26.75,26.96,11.1352,11100,0.0,1.0
2005-09-08,27.0,27.19,26.95,27.01,11.1558,11800,0.0,1.0
2005-09-09,27.1,27.15,26.85,27.15,11.2137,19100,0.0,1.0
2005-09-12,27.05,27.15,26.9,26.93,11.1228,7900,0.0,1.0
2005-09-13,26.98,27.0,26.87,26.9,11.1104,3500,0.0,1.0
2005-09-14,26.9,26.95,26.85,26.9,11.1104,16600,0.0,1.0
2005-09-15,26.75,26.9,26.5,26.9,11.1104,17200,0.0,1.0
2005-09-16,26.95,27.0,26.84,26.96,11.1352,4200,0.0,1.0
2005-09-19,26.9,26.9,26.8,26.9,11.1104,6200,0.0,1.0
2005-09-20,26.9,27.15,26.88,27.15,11.2137,10700,0.0,1.0
2005-09-21,27.15,27.3,27.11,27.25,11.255,12800,0.0,1.0
2005-09-22,27.2,27.2,26.95,27.1,11.193,4700,0.0,1.0
2005-09-23,27.07,27.09,26.95,27.04,11.1682,6300,0.0,1.0
2005-09-26,26.99,27.25,26.6,26.84,11.0856,25100,0.0,1.0
2005-09-27,26.89,27.07,26.84,27.03,11.1641,6800,0.0,1.0
2005-09-28,27.05,27.09,27.0,27.0,11.1517,5400,0.0,1.0
2005-09-29,27.0,27.0,26.8,26.8,11.0691,11400,0.0,1.0
2005-09-30,26.75,26.79,26.7,26.75,11.0484,7600,0.0,1.0
2005-10-03,26.7,26.7,26.53,26.55,10.9658,5100,0.0,1.0
