timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,17.25,18.0,17.12,18.0,5.9703,848,0.0,1.0
2000-01-04,17.12,17.25,17.12,17.25,5.7215,2168,0.0,1.0
2000-01-05,18.0,18.5,18.0,18.5,6.1361,1288,0.0,1.0
2000-01-06,17.5,18.5,17.5,18.0,5.9703,2168,0.0,1.0
2000-01-07,17.5,18.0,17.5,18.0,5.9703,754,0.0,1.0
2000-01-10,17.5,17.5,17.0,17.0,5.6386,1571,0.0,1.0
2000-01-11,18.0,18.25,18.0,18.25,6.0532,1854,0.0,1.0
2000-01-12,18.25,18.25,17.25,17.5,5.8044,660,0.0,1.0
2000-01-13,17.5,17.5,17.5,17.5,5.8044,1288,0.0,1.0
2000-01-14,17.62,18.25,17.62,17.62,5.8442,12159,0.0,1.0
2000-01-18,17.5,17.75,17.0,17.37,5.7613,6064,0.0,1.0
2000-01-19,17.25,17.25,17.0,17.0,5.6386,471,0.0,1.0
2000-01-20,17.0,17.0,17.0,17.0,5.6386,0,0.0,1.0
2000-01-21,17.0,17.0,17.0,17.0,5.6386,0,0.0,1.0
2000-01-24,17.5,17.5,17.5,17.5,5.8044,1194,0.0,1.0
2000-01-25,17.0,17.25,16.0,16.0,5.3069,2671,0.0,1.0
2000-01-26,17.0,17.0,16.5,16.5,5.4727,943,0.0,1.0
2000-01-27,17.25,17.5,17.25,17.5,5.8044,2042,0.0,1.0
2000-01-28,16.75,16.75,16.75,16.75,5.5557,189,0.0,1.0
2000-01-31,16.75,17.0,16.75,16.75,5.5557,283,0.0,1.0
2000-02-01,18.0,18.0,18.0,18.0,5.9703,377,0.0,1.0
2000-02-02,18.0,18.0,18.0,18.0,5.9703,0,0.0,1.0
2000-02-03,16.75,17.25,16.75,17.25,5.7215,377,0.0,1.0
2000-02-04,17.75,17.75,16.75,16.75,5.5557,471,0.0,1.0
2000-02-07,16.75,16.75,16.75,16.75,5.5557,566,0.0,1.0
2000-02-08,17.5,17.5,16.75,16.75,5.5557,2042,0.0,1.0
2000-02-09,16.75,16.75,16.75,16.75,5.5557,0,0.0,1.0
2000-02-10,16.75,17.0,15.0,15.75,5.224,8075,0.0,1.0
2000-02-11,15.75,16.25,15.0,16.25,5.3898,4053,0.0,1.0
2000-02-14,16.25,16.25,16.25,16.25,5.3898,0,0.0,1.0
2000-02-15,15.75,15.75,15.25,15.75,5.224,3268,0.0,1.0
2000-02-16,16.0,16.5,15.0,16.5,5.4727,2168,0.0,1.0
2000-02-17,16.19,16.75,15.62,16.75,5.5557,3959,0.0,1.0
2000-02-18,15.62,16.75,15.5,16.75,5.5557,5781,0.0,1.0
2000-02-22,15.5,16.0,15.5,16.0,5.3069,3770,0.0,1.0
2000-02-23,16.0,16.0,16.0,16.0,5.3069,0,0.0,1.0
2000-02-24,16.0,16.0,16.0,16.0,5.3069,0,0.0,1.0
2000-02-25,16.0,16.0,16.0,16.0,5.3069,0,0.0,1.0
2000-02-28,15.0,15.12,15.0,15.12,5.015,471,0.0,1.0
2000-02-29,15.0,15.75,15.0,15.06,4.9951,2671,0.0,1.0
2000-03-01,15.0,15.0,15.0,15.0,4.9752,943,0.0,1.0
2000-03-02,15.0,15.0,15.0,15.0,4.9752,2859,0.0,1.0
2000-03-03,14.75,15.0,14.75,15.0,4.9752,283,0.0,1.0
2000-03-06,15.75,15.75,15.75,15.75,5.224,94,0.0,1.0
2000-03-07,15.5,15.75,15.5,15.75,5.224,3959,0.0,1.0
2000-03-08,15.0,15.75,14.75,15.0,4.9752,1665,0.0,1.0
2000-03-09,15.0,15.12,15.0,15.12,5.015,471,0.0,1.0
2000-03-10,15.0,15.12,15.0,15.0,4.9752,2859,0.0,1.0
2000-03-13,15.0,15.0,14.75,14.81,4.9122,283,0.0,1.0
