timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2009-07-29,20.0,20.02,20.0,20.0,10.7004,410350,0.0,1.0
2009-07-30,20.0,20.0347,20.0,20.0,10.7004,104700,0.0,1.0
2009-07-31,20.0,20.05,20.0,20.0,10.7004,18700,0.0,1.0
2009-08-03,20.0,20.01,20.0,20.0,10.7004,45593,0.0,1.0
2009-08-04,20.0,20.03,20.0,20.02,10.7111,17635,0.0,1.0
2009-08-05,20.05,20.05,20.0,20.0,10.7004,30078,0.0,1.0
2009-08-06,20.0,20.1,20.0,20.1,10.7539,30900,0.0,1.0
2009-08-07,20.1,20.1,20.0,20.0,10.7004,31900,0.0,1.0
2009-08-10,20.0,20.1,20.0,20.032,10.7176,25600,0.0,1.0
2009-08-11,20.0,20.04,20.0,20.0,10.7004,8415,0.0,1.0
2009-08-12,20.0,20.012,20.0,20.0,10.7004,25900,0.0,1.0
2009-08-13,20.0,20.04,20.0,20.0,10.7004,8400,0.0,1.0
2009-08-14,20.0001,20.04,20.0,20.0085,10.705,16150,0.0,1.0
2009-08-17,20.0,20.01,20.0,20.0,10.7004,10340,0.0,1.0
2009-08-18,20.01,20.04,20.0074,20.01,10.7058,1975,0.0,1.0
2009-08-19,20.0,20.01,19.5,20.0,10.7004,22300,0.0,1.0
2009-08-20,20.0,20.01,20.0,20.01,10.7058,1700,0.0,1.0
2009-08-21,20.01,20.01,20.0,20.01,10.7058,2000,0.0,1.0
2009-08-24,20.0001,20.0074,20.0,20.0,10.7004,15065,0.0,1.0
2009-08-25,20.01,20.1,20.0,20.0,10.7004,13375,0.0,1.0
2009-08-26,20.05,20.05,20.0,20.0,10.7004,5600,0.0,1.0
2009-08-27,20.0,20.005,20.0,20.0,10.7004,4700,0.0,1.0
2009-08-28,20.0,20.01,20.0,20.002,10.7015,1971,0.0,1.0
2009-08-31,20.0,20.0,20.0,20.0,10.7004,48250,0.0,1.0
2009-09-01,20.0001,20.01,20.0,20.0,10.7004,17150,0.0,1.0
2009-09-02,20.0,20.01,20.0,20.0,10.7004,51150,0.0,1.0
2009-09-03,20.0,20.01,20.0,20.0,10.7004,38900,0.0,1.0
2009-09-04,20.1,20.1,20.0,20.0,10.7004,39800,0.0,1.0
2009-09-08,20.0,20.01,20.0,20.0,10.7004,292817,0.0,1.0
2009-09-09,20.0,20.0332,20.0,20.0,10.7004,97326,0.0,1.0
2009-09-10,20.5,20.5,19.5,19.5,10.4329,102505,0.0,1.0
2009-09-11,19.4,19.4955,19.4,19.48,10.4222,20008,0.0,1.0
2009-09-14,19.6,19.6399,18.33,18.654,9.9803,85384,0.0,1.0
2009-09-15,18.67,19.07,18.6578,18.9399,10.1333,42845,0.0,1.0
2009-09-16,19.1,19.3499,19.1,19.3446,10.3498,26830,0.0,1.0
2009-09-17,19.37,19.4978,19.1,19.46,10.4115,21560,0.0,1.0
2009-09-18,19.5,19.6257,19.1,19.6257,10.5002,29128,0.0,1.0
2009-09-21,19.6257,19.6257,19.6257,19.6257,10.5002,29300,0.0,1.0
2009-09-22,19.41,19.42,19.1,19.24,10.3607,28395,0.125,1.0
2009-09-23,19.21,19.247,18.95,18.96,10.2099,32815,0.0,1.0
2009-09-24,19.01,19.01,18.75,18.85,10.1507,12885,0.0,1.0
2009-09-25,18.35,19.09,18.35,18.8,10.1238,47710,0.0,1.0
2009-09-28,18.6,19.01,18.55,18.93,10.1938,31644,0.0,1.0
2009-09-29,18.9,18.9,18.36,18.36,9.8868,85149,0.0,1.0
2009-09-30,18.4,18.612,18.36,18.45,9.9353,93305,0.0,1.0
