timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-04-11,13.66,13.69,13.65,13.65,10.029,4929,0.0,1.0
2006-04-12,13.25,13.3,13.25,13.3,9.7718,411,0.0,1.0
2006-04-13,13.3,13.3,13.29,13.29,9.7645,246,0.0,1.0
2006-04-17,13.5,13.6,11.79,13.03,9.5735,26289,0.0,1.0
2006-04-18,12.63,13.01,12.02,12.79,9.3971,40748,0.0,1.0
2006-04-19,12.9,12.9,12.42,12.77,9.3824,2382,0.0,1.0
2006-04-20,12.75,12.75,12.74,12.75,9.3677,657,0.0,1.0
2006-04-21,12.75,12.75,12.75,12.75,9.3677,0,0.0,1.0
2006-04-24,12.6,12.69,12.46,12.69,9.3236,1150,0.0,1.0
2006-04-25,12.25,12.7,12.25,12.7,9.331,1972,0.0,1.0
2006-04-26,12.5,12.5,12.31,12.5,9.1841,11009,0.0,1.0
2006-04-27,12.5,12.94,12.5,12.51,9.1914,904,0.0,1.0
2006-04-28,12.75,12.75,12.75,12.75,9.3677,82,0.0,1.0
2006-05-01,12.75,12.75,12.75,12.75,9.3677,0,0.0,1.0
2006-05-02,12.85,13.25,12.76,12.99,9.5441,1972,0.0,1.0
2006-05-03,12.99,13.0,12.99,13.0,9.5514,1890,0.0,1.0
2006-05-04,13.0,13.0,12.25,12.28,9.0224,4601,0.0,1.0
2006-05-05,12.3,12.3,11.55,11.66,8.5669,8790,0.0,1.0
2006-05-08,11.99,12.73,11.0,11.0,8.082,5340,0.0,1.0
2006-05-09,11.0,11.05,10.75,10.75,7.8983,3615,0.0,1.0
2006-05-10,10.75,11.0,10.68,10.68,7.8469,1068,0.0,1.0
2006-05-11,10.55,10.7,10.5,10.57,7.766,3368,0.0,1.0
2006-05-12,10.56,10.56,10.35,10.55,7.7513,8955,0.0,1.0
2006-05-15,10.55,11.18,10.35,10.6,7.7881,18895,0.0,1.0
2006-05-16,10.84,11.15,10.82,10.95,8.0452,14541,0.0,1.0
2006-05-17,10.94,11.05,10.93,11.05,8.1187,2136,0.0,1.0
2006-05-18,11.24,11.24,10.84,10.84,7.9644,1232,0.0,1.0
2006-05-19,10.84,10.84,10.28,10.28,7.553,3286,0.0,1.0
2006-05-22,10.35,10.63,10.35,10.63,7.8101,10023,0.0,1.0
2006-05-23,10.85,11.05,10.4,11.05,8.1187,1807,0.0,1.0
2006-05-24,11.05,11.05,11.05,11.05,8.1187,329,0.0,1.0
2006-05-25,11.05,11.05,11.05,11.05,8.1187,0,0.0,1.0
