timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2002-12-16,16.4,18.0,16.4,17.7,0.4777,111300,0.0,1.0
2002-12-17,17.8,18.4,17.4,17.5,0.4723,304600,0.0,1.0
2002-12-18,17.65,17.65,17.45,17.54,0.4734,82700,0.0,1.0
2002-12-19,17.51,18.06,17.5,18.06,0.4875,242300,0.0,1.0
2002-12-20,18.1,19.2,18.1,18.56,0.5009,309800,0.0,1.0
2002-12-23,18.81,19.18,18.81,19.06,0.5144,100300,0.0,1.0
2002-12-24,18.86,19.3,18.86,19.3,0.5209,25200,0.0,1.0
2002-12-26,19.4,19.42,19.1,19.33,0.5217,63400,0.0,1.0
2002-12-27,19.33,19.33,19.09,19.26,0.5198,59600,0.0,1.0
2002-12-30,19.2,19.2,19.0,19.01,0.5131,23900,0.0,1.0
2002-12-31,19.05,19.22,19.05,19.22,0.5188,22200,0.0,1.0
2003-01-02,19.2,19.54,19.2,19.51,0.5266,65700,0.0,1.0
2003-01-03,19.45,19.9,19.35,19.9,0.5371,68800,0.0,1.0
2003-01-06,20.05,20.6,20.0,20.58,0.5555,173200,0.0,1.0
2003-01-07,20.55,21.35,20.5,21.27,0.5741,130300,0.0,1.0
2003-01-08,21.11,22.9,21.05,22.5,0.6073,352200,0.0,1.0
2003-01-09,22.3,23.2,21.65,22.95,0.6194,505700,0.0,1.0
2003-01-10,22.85,22.85,22.4,22.4,0.6046,190000,0.0,1.0
2003-01-13,22.3,22.3,21.8,21.95,0.5924,41000,0.0,1.0
2003-01-14,21.6,21.9,21.52,21.75,0.587,89400,0.0,1.0
2003-01-15,21.7,21.7,21.52,21.68,0.5852,87100,0.0,1.0
2003-01-16,21.69,22.25,21.69,22.24,0.6003,123500,0.0,1.0
2003-01-17,22.0,22.0,21.25,21.31,0.5752,38000,0.0,1.0
2003-01-21,21.32,21.4,20.81,21.1,0.5695,70900,0.0,1.0
2003-01-22,20.75,20.77,20.3,20.5,0.5533,65600,0.0,1.0
2003-01-23,20.54,20.65,20.05,20.2,0.5452,43200,0.0,1.0
2003-01-24,20.2,20.22,19.61,19.69,0.5314,28400,0.0,1.0
2003-01-27,19.7,19.8,19.2,19.3,0.5209,111900,0.0,1.0
2003-01-28,19.3,20.0,19.25,19.5,0.5263,65900,0.0,1.0
2003-01-29,19.5,20.1,19.5,19.81,0.5347,109800,0.0,1.0
2003-01-30,19.53,19.96,19.49,19.75,0.5331,113800,0.0,1.0
2003-01-31,19.75,19.85,19.55,19.6,0.529,156100,0.0,1.0
2003-02-03,19.56,20.8,19.54,20.8,0.5614,81700,0.0,1.0
2003-02-04,20.75,21.05,20.1,20.55,0.5547,197600,0.0,1.0
2003-02-05,20.6,20.65,19.97,20.21,0.5455,139400,0.0,1.0
2003-02-06,20.4,20.4,20.16,20.36,0.5495,87300,0.0,1.0
2003-02-07,20.15,20.4,19.94,20.4,0.5506,63800,0.0,1.0
2003-02-10,20.35,20.35,19.96,20.25,0.5466,112700,0.0,1.0
2003-02-11,20.2,21.06,20.2,21.05,0.5682,306400,0.0,1.0
2003-02-12,20.9,21.51,20.9,21.42,0.5781,284900,0.0,1.0
2003-02-13,21.43,21.66,21.43,21.51,0.5806,181200,0.0,1.0
2003-02-14,21.49,21.49,21.21,21.3,0.5749,180600,0.0,1.0
2003-02-18,21.3,21.69,21.29,21.5,0.5803,130000,0.0,1.0
2003-02-19,21.51,21.8,21.47,21.65,0.5843,218700,0.0,1.0
2003-02-20,21.55,21.73,21.5,21.7,0.5857,69400,0.0,1.0
2003-02-21,21.7,21.92,21.6,21.88,0.5906,126100,0.0,1.0
2003-02-24,21.63,22.1,21.63,22.0,0.5938,208900,0.0,1.0
2003-02-25,21.8,22.0,21.75,22.0,0.5938,102200,0.0,1.0
2003-02-26,22.0,22.24,22.0,22.2,0.5992,126800,0.0,1.0
