timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-12-28,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2006-12-29,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-03,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-04,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-05,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-08,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-09,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-10,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-11,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-12,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-16,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-17,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-18,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-19,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-22,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-23,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-24,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-25,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-26,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-29,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-30,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-01-31,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-02-01,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-02-02,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-02-05,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-02-06,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
2007-02-07,2.34,2.34,2.34,2.34,9.6525,0,0.0,1.0
