timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-10-14,13.66,14.29,12.63,13.26,13.26,5896628,0.0,1.0
2016-10-17,13.2,14.09,13.06,13.87,13.87,882276,0.0,1.0
2016-10-18,13.89,14.04,13.75,13.93,13.93,387535,0.0,1.0
2016-10-19,14.17,14.46,13.9,14.37,14.37,519513,0.0,1.0
2016-10-20,14.36,14.5,14.19,14.33,14.33,325360,0.0,1.0
2016-10-21,14.2,15.0,14.0101,14.39,14.39,485588,0.0,1.0
2016-10-24,14.45,14.6,14.4,14.4,14.4,142006,0.0,1.0
2016-10-25,14.4,14.55,14.3901,14.4,14.4,84437,0.0,1.0
2016-10-26,14.4,14.4,13.93,14.2,14.2,169476,0.0,1.0
2016-10-27,14.25,14.39,14.25,14.28,14.28,124005,0.0,1.0
2016-10-28,14.3,14.545,14.11,14.14,14.14,167511,0.0,1.0
2016-10-31,14.01,14.15,13.48,13.5,13.5,316214,0.0,1.0
2016-11-01,13.5,13.7958,13.38,13.62,13.62,64585,0.0,1.0
2016-11-02,13.61,13.65,12.12,12.48,12.48,277451,0.0,1.0
2016-11-03,12.5,13.06,11.91,12.7,12.7,117922,0.0,1.0
2016-11-04,12.51,13.07,12.51,12.91,12.91,26110,0.0,1.0
2016-11-07,12.88,13.77,12.3027,13.61,13.61,159608,0.0,1.0
2016-11-08,13.3,13.81,12.93,13.47,13.47,65501,0.0,1.0
2016-11-09,13.17,13.77,12.43,13.41,13.41,212806,0.0,1.0
2016-11-10,13.46,13.8584,12.65,13.45,13.45,331807,0.0,1.0
2016-11-11,13.53,14.3545,12.49,13.74,13.74,376106,0.0,1.0
2016-11-14,13.82,14.1899,13.45,13.88,13.88,206598,0.0,1.0
2016-11-15,13.98,14.9299,13.86,14.65,14.65,190717,0.0,1.0
2016-11-16,14.6,14.8654,13.5801,14.28,14.28,126768,0.0,1.0
2016-11-17,14.36,14.82,14.36,14.65,14.65,170279,0.0,1.0
2016-11-18,14.56,14.9,13.9,14.54,14.54,75566,0.0,1.0
2016-11-21,14.48,15.25,13.79,15.09,15.09,312609,0.0,1.0
2016-11-22,15.17,15.3476,14.66,14.93,14.93,99913,0.0,1.0
2016-11-23,15.03,15.14,14.0,15.01,15.01,186477,0.0,1.0
2016-11-25,15.09,15.09,14.2,14.68,14.68,41143,0.0,1.0
2016-11-28,14.61,15.09,14.04,14.96,14.96,155918,0.0,1.0
2016-11-29,14.97,14.98,14.265,14.81,14.81,170318,0.0,1.0
2016-11-30,15.0,16.26,14.6,16.03,16.03,443320,0.0,1.0
2016-12-01,16.07,17.3,16.05,16.28,16.28,281214,0.0,1.0
2016-12-02,16.36,19.05,15.591,16.36,16.36,131591,0.0,1.0
2016-12-05,16.42,17.7,16.1,17.15,17.15,224686,0.0,1.0
2016-12-06,17.15,17.4183,16.5011,17.25,17.25,188915,0.0,1.0
2016-12-07,17.24,17.24,16.7501,16.91,16.91,228342,0.0,1.0
2016-12-08,17.0,17.4438,16.54,16.71,16.71,162642,0.0,1.0
2016-12-09,16.79,17.44,16.5959,17.18,17.18,114141,0.0,1.0
2016-12-12,17.29,17.55,16.03,16.4,16.4,168941,0.0,1.0
2016-12-13,16.29,16.727,14.52,16.08,16.08,133233,0.0,1.0
2016-12-14,15.84,16.105,14.7385,14.9,14.9,148657,0.0,1.0
2016-12-15,14.71,15.61,14.06,14.6,14.6,272222,0.0,1.0
2016-12-16,14.45,15.38,14.04,14.82,14.82,1158082,0.0,1.0
2016-12-19,14.9,15.4,14.665,15.0,15.0,141644,0.0,1.0
2016-12-20,14.97,15.73,14.52,15.45,15.45,110999,0.0,1.0
2016-12-21,15.48,15.94,15.0949,15.46,15.46,58319,0.0,1.0
2016-12-22,16.99,16.99,15.0201,15.46,15.46,242764,0.0,1.0
2016-12-23,15.57,15.78,15.2263,15.74,15.74,64559,0.0,1.0
2016-12-27,15.83,16.02,15.39,15.44,15.44,164625,0.0,1.0
2016-12-28,15.67,15.74,15.065,15.36,15.36,191536,0.0,1.0
2016-12-29,15.5,15.5,14.78,15.01,15.01,132890,0.0,1.0
2016-12-30,15.1,15.47,14.99,15.2,15.2,83803,0.0,1.0
2017-01-03,15.38,15.7,15.07,15.38,15.38,151253,0.0,1.0
2017-01-04,15.44,15.91,15.346,15.9,15.9,180121,0.0,1.0
2017-01-05,15.9,16.58,15.62,16.52,16.52,130998,0.0,1.0
2017-01-06,16.56,17.13,16.38,16.9,16.9,125376,0.0,1.0
2017-01-09,16.79,17.06,16.45,16.86,16.86,92969,0.0,1.0
2017-01-10,16.86,17.19,16.74,17.12,17.12,83667,0.0,1.0
2017-01-11,17.09,17.49,16.82,17.2,17.2,151220,0.0,1.0
2017-01-12,17.34,17.34,16.79,17.23,17.23,77251,0.0,1.0
2017-01-13,17.18,17.44,17.08,17.31,17.31,105400,0.0,1.0
2017-01-17,17.37,17.8099,17.26,17.61,17.61,91956,0.0,1.0
2017-01-18,17.47,19.05,17.47,18.23,18.23,134595,0.0,1.0
2017-01-19,18.23,18.44,17.82,18.04,18.04,80697,0.0,1.0
2017-01-20,18.27,19.87,18.21,18.7,18.7,186555,0.0,1.0
2017-01-23,18.43,18.97,17.79,17.91,17.91,74463,0.0,1.0
2017-01-24,17.96,18.0,17.04,17.78,17.78,89396,0.0,1.0
2017-01-25,17.92,19.369,17.24,17.9,17.9,71520,0.0,1.0
2017-01-26,18.0,18.65,17.851,18.17,18.17,72611,0.0,1.0
2017-01-27,17.98,18.39,17.98,18.11,18.11,33150,0.0,1.0
2017-01-30,17.93,18.02,17.51,17.81,17.81,36468,0.0,1.0
2017-01-31,17.68,18.48,17.5,18.0,18.0,68119,0.0,1.0
2017-02-01,18.06,18.43,17.67,18.2,18.2,84633,0.0,1.0
2017-02-02,18.22,18.65,17.885,18.37,18.37,34432,0.0,1.0
2017-02-03,18.41,18.97,18.3,18.85,18.85,24817,0.0,1.0
2017-02-06,18.75,19.245,18.27,18.4,18.4,67162,0.0,1.0
2017-02-07,18.45,18.76,18.08,18.16,18.16,34207,0.0,1.0
2017-02-08,17.9,18.23,17.7,18.09,18.09,95581,0.0,1.0
2017-02-09,18.14,18.22,18.0,18.06,18.06,48238,0.0,1.0
2017-02-10,18.07,18.8,18.03,18.52,18.52,41288,0.0,1.0
2017-02-13,18.52,18.59,18.23,18.55,18.55,27161,0.0,1.0
2017-02-14,18.65,20.87,18.5,20.3,20.3,185878,0.0,1.0
2017-02-15,20.22,20.469,19.54,19.82,19.82,167573,0.0,1.0
2017-02-16,20.1,20.15,19.61,19.86,19.86,40230,0.0,1.0
2017-02-17,19.94,20.16,19.81,20.12,20.12,112398,0.0,1.0
2017-02-21,20.2,21.55,19.871,21.18,21.18,201358,0.0,1.0
2017-02-22,21.13,21.4,20.81,21.38,21.38,71472,0.0,1.0
2017-02-23,20.47,23.71,20.47,21.53,21.53,222479,0.0,1.0
2017-02-24,22.29,22.78,21.53,21.74,21.74,88954,0.0,1.0
2017-02-27,21.98,22.0,21.81,21.91,21.91,58960,0.0,1.0
2017-02-28,21.8,21.99,21.495,21.5,21.5,168206,0.0,1.0
2017-03-01,21.63,22.827,21.6,22.45,22.45,67537,0.0,1.0
2017-03-02,22.79,24.539,22.21,22.37,22.37,61366,0.0,1.0
2017-03-03,22.77,22.888,21.5,21.55,21.55,74493,0.0,1.0
2017-03-06,21.5,21.935,21.25,21.42,21.42,121790,0.0,1.0
2017-03-07,21.53,21.9,21.38,21.48,21.48,50637,0.0,1.0
2017-03-08,21.4,21.73,19.61,19.92,19.92,118292,0.0,1.0
2017-03-09,19.78,19.835,17.86,18.26,18.26,222646,0.0,1.0
2017-03-10,18.35,19.0,18.33,18.86,18.86,84330,0.0,1.0
2017-03-13,18.91,19.74,18.44,18.73,18.73,61844,0.0,1.0
