timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-09-25,17.69,17.7,16.26,16.4,15.2183,19126104,0.0,1.0
2014-09-26,16.65,16.7,16.02,16.25,15.0791,2945046,0.0,1.0
2014-09-29,16.06,16.57,16.02,16.26,15.0884,1086538,0.0,1.0
2014-09-30,16.33,16.46,16.11,16.46,15.274,695763,0.0,1.0
2014-10-01,16.3,16.3,15.9,16.0,14.8471,1718024,0.0,1.0
2014-10-02,16.25,16.44,15.75,15.75,14.6152,1220055,0.0,1.0
2014-10-03,15.97,16.0999,15.77,15.86,14.7172,373513,0.0,1.0
2014-10-06,15.85,15.99,15.72,15.89,14.7451,371711,0.0,1.0
2014-10-07,15.76,15.95,15.17,15.22,14.1233,661153,0.0,1.0
2014-10-08,15.44,15.53,14.19,14.77,13.7058,1605075,0.0,1.0
2014-10-09,14.31,15.16,14.2,14.48,13.4367,270538,0.0,1.0
2014-10-10,14.39,14.39,13.21,14.0,12.9913,1289645,0.0,1.0
2014-10-13,14.2,14.2,13.47,13.54,12.5644,391558,0.0,1.0
2014-10-14,13.73,13.87,12.56,12.94,12.0076,1160172,0.0,1.0
2014-10-15,12.49,13.18,12.0,12.06,11.191,786671,0.0,1.0
2014-10-16,12.0,12.95,11.86,12.89,11.9612,2253943,0.0,1.0
2014-10-17,13.13,13.54,12.83,13.08,12.1375,455539,0.0,1.0
2014-10-20,12.85,13.5899,12.6,13.33,12.3695,139487,0.0,1.0
2014-10-21,12.97,14.0,12.94,13.95,12.9449,491097,0.0,1.0
2014-10-22,14.07,14.3,13.754,13.87,12.8706,198749,0.0,1.0
2014-10-23,14.18,14.3,13.794,14.11,13.0933,177953,0.0,1.0
2014-10-24,13.91,14.75,13.91,14.36,13.3253,217060,0.0,1.0
2014-10-27,14.21,14.74,14.05,14.68,13.6223,272613,0.0,1.0
2014-10-28,14.62,14.9,14.531,14.87,13.7986,113224,0.0,1.0
2014-10-29,14.84,14.84,14.42,14.6,13.548,53757,0.0,1.0
2014-10-30,14.47,14.79,14.25,14.32,13.2882,240206,0.0,1.0
2014-10-31,14.45,15.1,14.3701,14.45,13.4088,490431,0.0,1.0
2014-11-03,14.4,15.43,13.87,15.32,14.2161,218556,0.0,1.0
2014-11-04,15.1,15.35,14.77,14.97,13.8914,284096,0.0,1.0
2014-11-05,15.01,15.05,14.675,14.94,13.8635,187645,0.0,1.0
2014-11-06,14.93,15.516,14.63,14.96,13.8821,337426,0.0,1.0
2014-11-07,15.43,15.47,15.01,15.4,14.2904,161459,0.0,1.0
2014-11-10,15.44,15.89,15.44,15.8,14.6616,343182,0.0,1.0
2014-11-11,15.8,16.1,15.7,15.72,14.5873,377727,0.0,1.0
2014-11-12,15.54,16.0,15.53,15.86,14.7172,97612,0.0,1.0
2014-11-13,15.74,16.04,15.64,15.94,14.7915,374781,0.0,1.0
2014-11-14,15.94,15.941,15.5196,15.65,14.5224,44164,0.0,1.0
2014-11-17,15.69,16.06,15.69,15.99,14.8379,232550,0.0,1.0
2014-11-18,15.91,16.2,15.91,16.04,14.8843,152420,0.0,1.0
2014-11-19,16.0,16.0,15.52,15.65,14.5224,73074,0.0,1.0
2014-11-20,15.64,15.9,15.436,15.65,14.5224,99386,0.0,1.0
2014-11-21,15.85,16.05,15.59,16.0,14.8471,585033,0.0,1.0
2014-11-24,16.09,16.27,15.82,16.06,14.9028,157081,0.0,1.0
2014-11-25,16.06,16.27,15.98,16.27,15.0977,661788,0.0,1.0
