timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-03-12,5.25,5.25,5.24,5.25,5.25,4501,0.0,1.0
2015-03-13,5.5,6.0,5.5,6.0,6.0,12850,0.0,1.0
2015-03-16,6.0,6.0,6.0,6.0,6.0,6190,0.0,1.0
2015-03-17,6.25,6.25,6.25,6.25,6.25,5000,0.0,1.0
2015-03-18,6.25,6.25,6.25,6.25,6.25,50,0.0,1.0
2015-03-19,6.25,6.25,6.25,6.25,6.25,0,0.0,1.0
2015-03-20,6.5,7.0,6.5,7.0,7.0,14350,0.0,1.0
2015-03-23,6.75,6.75,6.5,6.5,6.5,434,0.0,1.0
2015-03-24,6.5,6.75,6.5,6.7,6.7,7551,0.0,1.0
2015-03-25,6.9,7.0,6.71,7.0,7.0,2797,0.0,1.0
2015-03-26,7.0,7.0,7.0,7.0,7.0,100,0.0,1.0
2015-03-27,6.95,7.0,6.9,6.9,6.9,1214,0.0,1.0
2015-03-30,6.9,6.9,6.9,6.9,6.9,0,0.0,1.0
2015-03-31,6.9,6.9,6.9,6.9,6.9,0,0.0,1.0
2015-04-01,6.9,6.9,6.9,6.9,6.9,0,0.0,1.0
2015-04-02,7.0,7.0,7.0,7.0,7.0,1300,0.0,1.0
2015-04-06,7.0,7.0,7.0,7.0,7.0,897,0.0,1.0
2015-04-07,7.0,7.0,7.0,7.0,7.0,2500,0.0,1.0
2015-04-08,7.0,7.0,7.0,7.0,7.0,500,0.0,1.0
2015-04-09,7.0,7.0,7.0,7.0,7.0,0,0.0,1.0
2015-04-10,7.0,7.0,7.0,7.0,7.0,0,0.0,1.0
2015-04-13,6.9,6.9,6.9,6.9,6.9,100,0.0,1.0
2015-04-14,6.9,6.9,6.9,6.9,6.9,0,0.0,1.0
2015-04-15,6.9,6.9,6.9,6.9,6.9,0,0.0,1.0
2015-04-16,6.9,6.9,6.9,6.9,6.9,227,0.0,1.0
2015-04-17,7.0,7.0,7.0,7.0,7.0,400,0.0,1.0
2015-04-20,7.0,7.25,7.0,7.25,7.25,7490,0.0,1.0
2015-04-21,7.25,7.5,6.9,7.5,7.5,12800,0.0,1.0
2015-04-22,7.5,7.5,7.0,7.0,7.0,2305,0.0,1.0
2015-04-23,7.5,7.5,7.5,7.5,7.5,4827,0.0,1.0
2015-04-24,7.5,7.5,7.5,7.5,7.5,1651,0.0,1.0
2015-04-27,7.5,7.5,7.25,7.25,7.25,813,0.0,1.0
2015-04-28,7.5,7.5,7.5,7.5,7.5,125,0.0,1.0
2015-04-29,7.5,7.5,7.5,7.5,7.5,25,0.0,1.0
2015-04-30,7.5,7.5,7.5,7.5,7.5,64,0.0,1.0
2015-05-01,7.5,7.5,7.5,7.5,7.5,0,0.0,1.0
2015-05-04,7.5,7.5,7.5,7.5,7.5,1500,0.0,1.0
2015-05-05,7.5,7.5,7.5,7.5,7.5,200,0.0,1.0
2015-05-06,7.5,7.5,7.5,7.5,7.5,160,0.0,1.0
2015-05-07,7.5,7.5,7.5,7.5,7.5,170,0.0,1.0
2015-05-08,7.5,7.5,7.5,7.5,7.5,750,0.0,1.0
2015-05-11,7.5,7.5,7.5,7.5,7.5,0,0.0,1.0
2015-05-12,7.5,7.5,7.5,7.5,7.5,5000,0.0,1.0
2015-05-13,7.55,7.55,7.55,7.55,7.55,5000,0.0,1.0
2015-05-14,7.75,7.75,7.75,7.75,7.75,850,0.0,1.0
2015-05-15,7.75,7.75,7.75,7.75,7.75,2560,0.0,1.0
2015-05-18,7.75,7.75,7.75,7.75,7.75,1500,0.0,1.0
2015-05-19,7.75,7.75,7.75,7.75,7.75,250,0.0,1.0
2015-05-20,7.75,7.75,7.75,7.75,7.75,2350,0.0,1.0
2015-05-21,7.75,7.75,7.75,7.75,7.75,0,0.0,1.0
2015-05-22,7.75,7.75,7.75,7.75,7.75,40,0.0,1.0
2015-05-26,8.0,8.0,8.0,8.0,8.0,5000,0.0,1.0
2015-05-27,8.0,8.25,8.0,8.25,8.25,1575,0.0,1.0
2015-05-28,8.25,8.25,8.25,8.25,8.25,800,0.0,1.0
2015-05-29,8.25,8.25,8.25,8.25,8.25,1447,0.0,1.0
2015-06-01,8.25,8.5,8.25,8.5,8.5,3050,0.0,1.0
2015-06-02,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-06-03,8.2,8.2,8.2,8.2,8.2,700,0.0,1.0
2015-06-04,8.0,8.0,8.0,8.0,8.0,110,0.0,1.0
2015-06-05,8.2,8.25,8.2,8.25,8.25,450,0.0,1.0
2015-06-08,8.5,8.5,8.5,8.5,8.5,850,0.0,1.0
2015-06-09,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-06-10,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-06-11,8.25,8.25,7.4,7.4,7.4,400,0.0,1.0
2015-06-12,7.5,7.5,7.41,7.41,7.41,460,0.0,1.0
2015-06-15,7.41,7.41,7.41,7.41,7.41,0,0.0,1.0
2015-06-16,7.75,8.0,7.75,8.0,8.0,215,0.0,1.0
2015-06-17,8.5,8.5,8.5,8.5,8.5,330,0.0,1.0
2015-06-18,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-06-19,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-06-22,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-06-23,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-06-24,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-06-25,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-06-26,8.5,8.5,8.5,8.5,8.5,490,0.0,1.0
2015-06-29,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-06-30,8.5,8.5,8.5,8.5,8.5,30,0.0,1.0
2015-07-01,8.5,8.5,8.5,8.5,8.5,94,0.0,1.0
2015-07-02,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-07-06,8.0,8.0,7.5,7.5,7.5,330,0.0,1.0
2015-07-07,7.5,7.5,7.5,7.5,7.5,35,0.0,1.0
2015-07-08,7.5,7.5,7.5,7.5,7.5,0,0.0,1.0
2015-07-09,7.5,7.5,7.5,7.5,7.5,50,0.0,1.0
2015-07-10,7.5,7.5,7.5,7.5,7.5,0,0.0,1.0
2015-07-13,8.0,8.0,7.75,7.75,7.75,808,0.0,1.0
2015-07-14,7.75,7.75,7.75,7.75,7.75,50,0.0,1.0
2015-07-15,7.75,7.75,7.75,7.75,7.75,0,0.0,1.0
2015-07-16,7.75,7.75,7.75,7.75,7.75,0,0.0,1.0
2015-07-17,8.45,8.5,8.45,8.5,8.5,1750,0.0,1.0
2015-07-20,8.5,8.5,8.5,8.5,8.5,40,0.0,1.0
2015-07-21,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-07-22,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-07-23,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-07-24,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-07-27,8.45,8.45,8.45,8.45,8.45,1000,0.0,1.0
2015-07-28,8.45,8.45,8.45,8.45,8.45,0,0.0,1.0
2015-07-29,8.0,8.0,8.0,8.0,8.0,1100,0.0,1.0
2015-07-30,8.14,8.4,8.11,8.4,8.4,1500,0.0,1.0
2015-07-31,8.45,8.5,8.45,8.5,8.5,2600,0.0,1.0
2015-08-03,8.45,8.5,8.0,8.5,8.5,920,0.0,1.0
2015-08-04,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-08-05,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-08-06,8.5,8.5,8.5,8.5,8.5,1000,0.0,1.0
2015-08-07,8.5,8.5,8.45,8.45,8.45,400,0.0,1.0
2015-08-10,8.45,8.45,8.45,8.45,8.45,0,0.0,1.0
2015-08-11,8.45,8.45,8.45,8.45,8.45,0,0.0,1.0
2015-08-12,8.45,8.45,8.45,8.45,8.45,135,0.0,1.0
2015-08-13,8.5,8.5,8.5,8.5,8.5,650,0.0,1.0
2015-08-14,8.5,8.5,8.5,8.5,8.5,125,0.0,1.0
2015-08-17,8.5,8.5,8.5,8.5,8.5,30,0.0,1.0
2015-08-18,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-08-19,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-08-20,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-08-21,8.5,8.5,8.5,8.5,8.5,100,0.0,1.0
2015-08-24,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-08-25,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-08-26,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-08-27,8.5,8.5,8.5,8.5,8.5,590,0.0,1.0
2015-08-28,8.45,8.45,8.45,8.45,8.45,1000,0.0,1.0
2015-08-31,8.5,8.5,8.5,8.5,8.5,1000,0.0,1.0
2015-09-01,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-09-02,8.5,8.5,8.5,8.5,8.5,50,0.0,1.0
2015-09-03,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-09-04,8.5,8.5,8.5,8.5,8.5,990,0.0,1.0
2015-09-08,8.45,8.45,8.45,8.45,8.45,1000,0.0,1.0
2015-09-09,8.5,8.5,8.5,8.5,8.5,4211,0.0,1.0
2015-09-10,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-09-11,8.45,8.45,8.45,8.45,8.45,325,0.0,1.0
2015-09-14,8.45,8.45,8.45,8.45,8.45,0,0.0,1.0
2015-09-15,8.5,8.5,8.5,8.5,8.5,115,0.0,1.0
2015-09-16,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-09-17,8.25,8.25,8.25,8.25,8.25,100,0.0,1.0
2015-09-18,8.25,8.25,8.25,8.25,8.25,50,0.0,1.0
2015-09-21,8.25,8.25,8.25,8.25,8.25,0,0.0,1.0
2015-09-22,8.25,8.25,8.25,8.25,8.25,0,0.0,1.0
2015-09-23,8.25,8.25,8.25,8.25,8.25,0,0.0,1.0
2015-09-24,8.25,8.25,8.25,8.25,8.25,0,0.0,1.0
2015-09-25,8.0,8.45,8.0,8.45,8.45,630,0.0,1.0
2015-09-28,8.4,8.5,8.4,8.5,8.5,1850,0.0,1.0
2015-09-29,8.4,8.5,8.4,8.5,8.5,362,0.0,1.0
2015-09-30,8.49,8.5,8.4,8.5,8.5,8530,0.0,1.0
2015-10-01,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2015-10-02,8.49,8.5,8.48,8.5,8.5,12342,0.0,1.0
2015-10-05,8.5,8.75,8.475,8.75,8.75,5125,0.0,1.0
2015-10-06,8.75,8.75,8.48,8.48,8.48,700,0.0,1.0
2015-10-07,8.75,8.75,8.72,8.75,8.75,3200,0.0,1.0
2015-10-08,8.75,8.75,8.75,8.75,8.75,200,0.0,1.0
2015-10-09,8.75,8.75,8.75,8.75,8.75,75,0.0,1.0
2015-10-12,8.51,8.51,8.51,8.51,8.51,715,0.0,1.0
2015-10-13,8.51,8.51,8.51,8.51,8.51,0,0.0,1.0
2015-10-14,8.51,8.51,8.51,8.51,8.51,0,0.0,1.0
2015-10-15,8.51,8.51,8.51,8.51,8.51,0,0.0,1.0
2015-10-16,8.75,8.75,8.75,8.75,8.75,1000,0.0,1.0
2015-10-19,8.636,8.8,8.636,8.8,8.8,3300,0.0,1.0
2015-10-20,8.85,8.85,8.85,8.85,8.85,200,0.0,1.0
2015-10-21,9.25,9.25,9.2495,9.2495,9.2495,6950,0.0,1.0
2015-10-22,8.51,10.0,8.51,10.0,10.0,13988,0.0,1.0
2015-10-23,9.99,10.0,9.53,9.53,9.53,3700,0.0,1.0
2015-10-26,9.53,9.53,9.53,9.53,9.53,49,0.0,1.0
2015-10-27,10.0,10.0,10.0,10.0,10.0,100,0.0,1.0
2015-10-28,10.0,10.0,10.0,10.0,10.0,2259,0.0,1.0
2015-10-29,10.0,10.25,10.0,10.25,10.25,1650,0.0,1.0
2015-10-30,10.25,10.25,10.25,10.25,10.25,0,0.0,1.0
2015-11-02,10.25,10.25,10.25,10.25,10.25,1273,0.0,1.0
2015-11-03,10.25,10.25,10.25,10.25,10.25,597,0.0,1.0
2015-11-04,10.25,10.25,10.25,10.25,10.25,5950,0.0,1.0
2015-11-05,10.25,10.25,10.25,10.25,10.25,0,0.0,1.0
2015-11-06,10.25,10.25,10.25,10.25,10.25,2638,0.0,1.0
2015-11-09,10.21,10.5,10.21,10.5,10.5,1900,0.0,1.0
2015-11-10,10.5,10.5,10.5,10.5,10.5,20,0.0,1.0
2015-11-11,10.35,10.35,10.25,10.25,10.25,905,0.0,1.0
2015-11-12,10.25,10.25,10.25,10.25,10.25,0,0.0,1.0
2015-11-13,10.5,10.5,10.475,10.475,10.475,2025,0.0,1.0
2015-11-16,10.45,10.5,10.45,10.5,10.5,2407,0.0,1.0
2015-11-17,10.5,10.5,10.5,10.5,10.5,1200,0.0,1.0
2015-11-18,10.0,10.0,10.0,10.0,10.0,205,0.0,1.0
