timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-06-23,20.2,20.43,19.67,20.05,100.25,98919,0.0,1.0
2015-06-24,20.0,20.07,19.0399,19.15,95.75,119927,0.0,1.0
2015-06-25,19.4,19.52,18.59,18.9,94.5,101927,0.0,1.0
2015-06-26,19.1,19.1,17.9337,18.45,92.25,62804,0.0,1.0
2015-06-29,17.79,18.276,16.7,16.72,83.6,97748,0.0,1.0
2015-06-30,17.48,17.93,17.05,17.83,89.15,219776,0.0,1.0
2015-07-01,18.69,18.69,17.68,17.95,89.75,254795,0.0,1.0
2015-07-02,18.22,18.22,17.683,17.9932,89.966,46645,0.0,1.0
2015-07-06,17.62,18.75,17.49,18.238,91.19,90693,0.0,1.0
2015-07-07,18.45,18.48,17.4,18.41,92.05,77910,0.0,1.0
2015-07-08,17.86,17.9201,16.74,16.85,84.25,135714,0.0,1.0
2015-07-09,17.64,17.77,17.267,17.44,87.2,100780,0.0,1.0
2015-07-10,18.24,18.28,17.54,18.2,91.0,196221,0.0,1.0
2015-07-13,18.8,19.34,18.79,19.21,96.05,261494,0.0,1.0
2015-07-14,19.35,20.64,19.2,20.49,102.45,349383,0.0,1.0
2015-07-15,21.36,21.96,20.74,20.8841,104.4205,462777,0.0,1.0
2015-07-16,21.5,21.89,21.07,21.75,108.75,232073,0.0,1.0
2015-07-17,21.89,22.1,21.31,22.05,110.25,131983,0.0,1.0
2015-07-20,22.36,22.66,22.0,22.17,110.85,195356,0.0,1.0
2015-07-21,22.0,22.2699,21.01,21.74,108.7,128911,0.0,1.0
2015-07-22,20.77,21.75,20.6858,21.62,108.1,139754,0.0,1.0
2015-07-23,21.51,22.05,21.25,21.45,107.25,164754,0.0,1.0
2015-07-24,20.38,20.68,18.74,18.91,94.55,501439,0.0,1.0
2015-07-27,17.9,18.6101,17.76,18.24,91.2,276423,0.0,1.0
2015-07-28,18.84,19.63,18.24,19.56,97.8,587595,0.0,1.0
2015-07-29,19.84,19.94,18.35,18.78,93.9,310047,0.0,1.0
2015-07-30,18.71,19.0695,17.7,18.88,94.4,156342,0.0,1.0
2015-07-31,19.32,19.9,19.08,19.5,97.5,191804,0.0,1.0
2015-08-03,19.66,19.94,18.93,19.43,97.15,119697,0.0,1.0
2015-08-04,19.68,20.1,19.46,19.7,98.5,153283,0.0,1.0
2015-08-05,20.15,20.62,19.97,20.15,100.75,149781,0.0,1.0
2015-08-06,20.16,20.2,17.6979,17.79,88.95,497913,0.0,1.0
2015-08-07,17.82,17.82,16.463,17.2,86.0,309343,0.0,1.0
2015-08-10,17.92,18.4,17.65,17.76,88.8,278103,0.0,1.0
2015-08-11,17.22,17.85,16.69,17.14,85.7,203016,0.0,1.0
2015-08-12,16.54,17.65,15.73,17.58,87.9,471403,0.0,1.0
2015-08-13,17.41,17.85,16.92,17.0,85.0,209538,0.0,1.0
2015-08-14,16.91,17.0799,16.011,16.71,83.55,193410,0.0,1.0
2015-08-17,16.47,17.78,16.16,17.78,88.9,341938,0.0,1.0
2015-08-18,17.75,17.9,17.2,17.2199,86.0995,219596,0.0,1.0
2015-08-19,16.92,17.3,16.34,16.89,84.45,172107,0.0,1.0
2015-08-20,16.31,16.74,14.8193,14.86,74.3,416361,0.0,1.0
2015-08-21,14.07,15.175,13.53,13.53,67.65,403357,0.0,1.0
2015-08-24,9.0,13.435,9.0,11.5801,57.9005,564580,0.0,1.0
2015-08-25,13.31,13.44,11.88,11.89,59.45,396686,0.0,1.0
2015-08-26,12.73,13.53,11.63,13.5,67.5,433472,0.0,1.0
2015-08-27,14.26,14.65,13.66,14.54,72.7,696259,0.0,1.0
2015-08-28,14.28,14.84,14.14,14.84,74.2,341753,0.0,1.0
2015-08-31,14.67,15.0,13.32,13.42,67.1,338539,0.0,1.0
2015-09-01,12.36,13.2301,12.36,12.437,62.185,299765,0.0,1.0
2015-09-02,12.98,13.82,12.42,13.78,68.9,209994,0.0,1.0
2015-09-03,13.81,14.23,12.85,12.92,64.6,254355,0.0,1.0
2015-09-04,12.37,13.21,12.26,12.81,64.05,169077,0.0,1.0
2015-09-08,13.5,14.477,13.35,14.41,72.05,280189,0.0,1.0
2015-09-09,14.84,15.0,13.39,13.46,67.3,346062,0.0,1.0
2015-09-10,13.52,14.46,13.39,14.25,71.25,210707,0.0,1.0
2015-09-11,13.85,14.7501,13.85,14.7501,73.7505,223321,0.0,1.0
2015-09-14,14.71,14.8558,14.1,14.56,72.8,169019,0.0,1.0
2015-09-15,14.63,15.16,14.36,15.01,75.05,206778,0.0,1.0
2015-09-16,15.15,15.345,14.3799,14.85,74.25,249089,0.0,1.0
2015-09-17,14.67,16.21,14.67,15.71,78.55,329053,0.0,1.0
2015-09-18,14.95,15.4392,14.85,14.99,74.95,230228,0.0,1.0
2015-09-21,15.25,15.25,12.5796,12.99,64.95,639695,0.0,1.0
2015-09-22,12.27,12.62,11.64,12.43,62.15,661990,0.0,1.0
2015-09-23,12.21,12.747,11.78,12.13,60.65,320560,0.0,1.0
2015-09-24,11.67,11.92,10.71,11.43,57.15,539276,0.0,1.0
2015-09-25,11.84,11.8599,9.1,9.7,48.5,1284159,0.0,1.0
2015-09-28,9.35,9.47,7.3662,7.88,39.4,1356777,0.0,1.0
2015-09-29,8.0,8.88,7.53,7.8101,39.0505,1362236,0.0,1.0
2015-09-30,8.39,9.01,8.21,8.9,44.5,972190,0.0,1.0
