timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,8.38,8.38,8.25,8.31,2.2751,3200,0.0,1.0
2000-01-04,8.19,8.19,8.19,8.19,2.2422,1100,0.0,1.0
2000-01-05,8.19,8.19,8.19,8.19,2.2422,1200,0.0,1.0
2000-01-06,8.25,8.38,8.25,8.38,2.2943,5200,0.0,1.0
2000-01-07,8.31,8.5,8.25,8.31,2.2751,5200,0.0,1.0
2000-01-10,8.31,8.56,8.31,8.44,2.3107,4700,0.0,1.0
2000-01-11,8.44,8.88,8.44,8.88,2.4312,12100,0.0,1.0
2000-01-12,8.81,8.88,8.81,8.88,2.4312,700,0.0,1.0
2000-01-13,8.88,8.88,8.88,8.88,2.4312,200,0.0,1.0
2000-01-14,8.75,8.75,8.62,8.69,2.3791,1600,0.0,1.0
2000-01-18,8.69,8.75,8.5,8.56,2.3435,4400,0.0,1.0
2000-01-19,8.69,8.75,8.69,8.75,2.3956,4000,0.0,1.0
2000-01-20,8.81,8.88,8.69,8.88,2.4312,2600,0.0,1.0
2000-01-21,8.62,8.75,8.62,8.75,2.3956,5600,0.0,1.0
2000-01-24,8.69,8.75,8.69,8.75,2.3956,4000,0.0,1.0
2000-01-25,8.56,8.69,8.56,8.62,2.36,2500,0.0,1.0
2000-01-26,8.75,8.81,8.75,8.81,2.412,2400,0.0,1.0
2000-01-27,8.81,8.88,8.56,8.56,2.3435,4200,0.0,1.0
2000-01-28,8.5,8.5,8.5,8.5,2.3271,1200,0.0,1.0
2000-01-31,8.38,8.38,8.38,8.38,2.2943,1000,0.0,1.0
2000-02-01,8.38,8.38,8.38,8.38,2.2943,1200,0.0,1.0
2000-02-02,8.25,8.25,8.25,8.25,2.2587,500,0.0,1.0
2000-02-03,8.38,8.5,8.38,8.5,2.3271,600,0.0,1.0
2000-02-04,8.5,8.62,8.5,8.56,2.3435,2500,0.0,1.0
2000-02-07,8.62,8.62,8.5,8.5,2.3271,2000,0.0,1.0
2000-02-08,8.31,8.56,8.31,8.56,2.3435,2700,0.0,1.0
2000-02-09,8.62,8.62,8.62,8.62,2.36,1700,0.0,1.0
2000-02-10,8.5,8.69,8.5,8.69,2.3791,3700,0.0,1.0
2000-02-11,8.38,8.38,8.38,8.38,2.3456,1700,0.1875,1.0
2000-02-14,8.5,8.5,8.5,8.5,2.3792,300,0.0,1.0
2000-02-15,8.5,8.5,8.38,8.38,2.3456,1000,0.0,1.0
2000-02-16,8.38,8.38,8.38,8.38,2.3456,700,0.0,1.0
2000-02-17,8.38,8.38,8.38,8.38,2.3456,1200,0.0,1.0
2000-02-18,8.38,8.5,8.38,8.44,2.3624,1200,0.0,1.0
2000-02-22,8.38,8.38,8.38,8.38,2.3456,200,0.0,1.0
