timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,7.0,7.0,7.0,7.0,5.5308,200,0.0,1.0
2000-01-04,7.0,7.0,6.75,6.75,5.3333,14200,0.0,1.0
2000-01-05,7.0,7.0,7.0,7.0,5.5308,3800,0.0,1.0
2000-01-06,6.75,6.75,6.75,6.75,5.3333,100,0.0,1.0
2000-01-07,6.875,7.063,6.813,7.063,5.5806,10200,0.0,1.0
2000-01-10,7.25,7.25,7.25,7.25,5.7283,4100,0.0,1.0
2000-01-11,7.0,7.0,6.75,6.891,5.4447,12800,0.0,1.0
2000-01-12,6.75,6.875,6.75,6.875,5.432,5000,0.0,1.0
2000-01-13,7.031,7.031,7.031,7.031,5.5553,6100,0.0,1.0
2000-01-14,7.375,7.375,7.156,7.156,5.654,3200,0.0,1.0
2000-01-18,6.938,6.938,6.938,6.938,5.4818,600,0.0,1.0
2000-01-19,6.938,6.938,6.938,6.938,5.4818,200,0.0,1.0
2000-01-20,6.938,7.875,6.938,7.875,6.2221,19000,0.0,1.0
2000-01-21,7.25,7.25,6.938,7.0,5.5308,4500,0.0,1.0
2000-01-24,7.0,7.0,7.0,7.0,5.5308,600,0.0,1.0
2000-01-25,7.0,7.0,6.938,6.938,5.4818,8400,0.0,1.0
2000-01-26,6.938,6.938,6.938,6.938,5.4818,6000,0.0,1.0
2000-01-27,7.0,7.0,7.0,7.0,5.5308,1700,0.0,1.0
2000-01-28,6.875,7.0,6.875,7.0,5.5308,4900,0.0,1.0
2000-01-31,7.0,7.5,6.938,7.5,5.9258,63800,0.0,1.0
2000-02-01,7.75,7.75,7.75,7.75,6.1234,700,0.0,1.0
2000-02-02,7.75,7.75,7.75,7.75,6.1234,700,0.0,1.0
2000-02-03,7.75,7.75,7.75,7.75,6.1234,0,0.0,1.0
2000-02-04,7.0,7.25,7.0,7.25,5.7283,2000,0.0,1.0
2000-02-07,7.25,7.25,7.25,7.25,5.7283,0,0.0,1.0
2000-02-08,7.25,7.25,6.875,6.875,5.432,12900,0.0,1.0
2000-02-09,6.875,6.875,6.875,6.875,5.432,600,0.0,1.0
2000-02-10,6.875,6.875,6.875,6.875,5.432,300,0.0,1.0
2000-02-11,6.875,6.875,6.875,6.875,5.432,1500,0.0,1.0
2000-02-14,6.75,6.75,6.563,6.563,5.1855,6100,0.0,1.0
2000-02-15,6.563,6.563,6.188,6.188,4.8892,3100,0.0,1.0
2000-02-16,6.469,7.0,6.469,7.0,5.5308,7200,0.0,1.0
2000-02-17,6.5,7.0,6.5,7.0,5.5308,3600,0.0,1.0
2000-02-18,6.75,6.875,6.5,6.5,5.1357,5100,0.0,1.0
2000-02-22,6.5,6.813,6.5,6.813,5.383,3400,0.0,1.0
2000-02-23,6.5,6.5,6.5,6.5,5.1357,100,0.0,1.0
2000-02-24,6.75,6.75,6.5,6.5,5.1357,6000,0.0,1.0
2000-02-25,7.25,7.25,7.25,7.25,5.7283,1000,0.0,1.0
2000-02-28,6.5,6.5,6.5,6.5,5.1357,200,0.0,1.0
2000-02-29,6.75,7.0,6.75,7.0,5.5308,1300,0.0,1.0
2000-03-01,6.938,6.938,6.75,6.75,5.3333,90000,0.0,1.0
2000-03-02,6.75,6.938,6.75,6.75,5.3333,11100,0.0,1.0
2000-03-03,7.0,7.0,7.0,7.0,5.5308,1000,0.0,1.0
2000-03-06,6.75,6.813,6.75,6.75,5.3333,3500,0.0,1.0
2000-03-07,6.75,6.75,6.75,6.75,5.3333,0,0.0,1.0
2000-03-08,6.75,6.75,6.5,6.5,5.1357,12000,0.0,1.0
2000-03-09,6.0,6.25,6.0,6.25,4.9382,1200,0.0,1.0
2000-03-10,6.0,6.25,5.5,5.75,4.5431,8000,0.0,1.0
2000-03-13,6.0,6.0,5.375,5.375,4.2469,5400,0.0,1.0
2000-03-14,5.75,5.75,5.5,5.5,4.3456,3200,0.0,1.0
2000-03-15,5.25,5.375,5.25,5.375,4.2469,4900,0.0,1.0
2000-03-16,5.75,6.0,5.5,6.0,4.7407,5700,0.0,1.0
2000-03-17,5.688,5.688,5.688,5.688,4.4942,100,0.0,1.0
2000-03-20,6.0,6.0,5.75,6.0,4.7407,1000,0.0,1.0
2000-03-21,6.0,6.0,5.75,5.75,4.5431,900,0.0,1.0
2000-03-22,5.75,5.75,5.75,5.75,4.5431,2700,0.0,1.0
2000-03-23,5.625,5.75,5.625,5.625,4.4444,5600,0.0,1.0
2000-03-24,5.75,5.75,5.75,5.75,4.5431,1300,0.0,1.0
