timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-10-09,15.8,16.34,15.75,16.0,11.0257,5280399,0.0,1.0
2014-10-10,16.0,17.1,15.9,16.7,11.5081,350221,0.0,1.0
2014-10-13,16.49,16.98,16.49,16.58,11.4254,525282,0.0,1.0
2014-10-14,16.6,16.61,16.2,16.2,11.1635,678446,0.0,1.0
2014-10-15,16.2,16.59,16.2,16.25,11.198,130473,0.0,1.0
2014-10-16,16.2,16.87,16.2,16.64,11.4667,122660,0.0,1.0
2014-10-17,16.92,16.92,16.26,16.47,11.3496,83013,0.0,1.0
2014-10-20,16.4,16.4,16.31,16.38,11.2875,32967,0.0,1.0
2014-10-21,16.41,16.9599,16.4,16.91,11.6528,172847,0.0,1.0
2014-10-22,16.81,17.48,16.6001,17.2,11.8526,137334,0.0,1.0
2014-10-23,17.23,17.37,16.92,17.19,11.8457,175207,0.0,1.0
2014-10-24,17.08,17.22,16.63,17.0,11.7148,131890,0.0,1.0
2014-10-27,16.99,17.16,16.75,16.93,11.6666,59618,0.0,1.0
2014-10-28,16.84,17.18,16.84,16.92,11.6597,81231,0.0,1.0
2014-10-29,16.96,16.96,16.2705,16.39,11.2944,44364,0.0,1.0
2014-10-30,16.42,16.5,16.22,16.24,11.1911,40960,0.0,1.0
2014-10-31,16.32,16.7,16.25,16.62,11.4529,36822,0.0,1.0
2014-11-03,16.47,16.95,16.23,16.7005,11.5084,33895,0.0,1.0
2014-11-04,16.62,16.9497,16.43,16.7,11.5081,67999,0.0,1.0
2014-11-05,16.6,16.75,16.4,16.75,11.5425,70352,0.0,1.0
2014-11-06,16.68,16.75,16.3,16.6,11.4392,44869,0.0,1.0
2014-11-07,16.5,16.75,16.47,16.74,11.5356,57222,0.0,1.0
2014-11-10,16.75,16.9,16.51,16.75,11.5425,108366,0.0,1.0
2014-11-11,16.68,17.0,16.65,16.75,11.5425,48903,0.0,1.0
2014-11-12,16.66,16.75,16.51,16.6,11.4392,38408,0.0,1.0
2014-11-13,16.53,16.75,16.16,16.45,11.3358,129234,0.0,1.0
2014-11-14,16.63,16.73,16.3401,16.43,11.322,29084,0.0,1.0
2014-11-17,16.42,16.82,16.32,16.6,11.4392,23118,0.0,1.0
2014-11-18,16.5401,16.68,16.4005,16.42,11.3151,41757,0.0,1.0
2014-11-19,16.4501,16.6,16.21,16.47,11.3496,365327,0.0,1.0
2014-11-20,16.31,16.56,16.31,16.5,11.3702,19395,0.0,1.0
2014-11-21,16.4528,16.692,16.36,16.5,11.3702,50107,0.0,1.0
2014-11-24,16.38,16.44,16.15,16.15,11.1291,26023,0.0,1.0
2014-11-25,16.1,16.64,15.9901,16.45,11.3358,58786,0.0,1.0
2014-11-26,16.27,16.27,16.133,16.18,11.1497,7473,0.0,1.0
2014-11-28,16.08,16.09,14.6801,14.93,10.2883,57528,0.0,1.0
2014-12-01,14.93,15.2,12.11,12.14,8.3657,112937,0.0,1.0
2014-12-02,12.14,13.53,12.14,12.32,8.4898,153282,0.0,1.0
2014-12-03,12.37,13.23,12.32,12.65,8.7172,113392,0.0,1.0
2014-12-04,12.56,12.98,12.1,12.77,8.7999,101927,0.0,1.0
2014-12-05,13.02,13.02,12.61,12.66,8.7241,29129,0.0,1.0
2014-12-08,12.81,12.88,12.11,12.45,8.5794,45627,0.0,1.0
2014-12-09,12.3,14.78,12.14,14.25,9.8198,125061,0.0,1.0
2014-12-10,14.22,14.91,13.19,13.29,9.1582,260581,0.0,1.0
2014-12-11,13.3,14.25,13.18,13.94,9.6061,187020,0.0,1.0
2014-12-12,13.69,13.69,13.19,13.2,9.0962,20642,0.0,1.0
2014-12-15,13.26,13.53,12.59,12.74,8.7792,64742,0.0,1.0
2014-12-16,12.9,13.25,12.78,13.25,9.1306,64962,0.0,1.0
2014-12-17,13.3,13.3,12.86,13.23,9.1169,236231,0.0,1.0
2014-12-18,13.51,13.71,13.18,13.42,9.2478,212382,0.0,1.0
2014-12-19,12.95,13.3095,12.57,12.67,8.731,79288,0.0,1.0
2014-12-22,12.7,13.114,12.6,12.83,8.8412,39890,0.0,1.0
2014-12-23,13.06,14.1,13.0035,13.55,9.3374,100702,0.0,1.0
2014-12-24,13.22,13.6,13.22,13.6,9.3718,6034,0.0,1.0
2014-12-26,13.5593,14.07,13.5593,13.86,9.551,6288,0.0,1.0
2014-12-29,14.0,14.21,13.74,14.19,9.7784,48367,0.0,1.0
2014-12-30,14.05,14.14,14.05,14.14,9.744,6087,0.0,1.0
2014-12-31,14.11,14.74,14.03,14.17,9.7646,305723,0.0,1.0
2015-01-02,14.06,14.57,14.0,14.41,9.93,10414,0.0,1.0
2015-01-05,14.65,14.89,14.2,14.2,9.7853,14741,0.0,1.0
2015-01-06,14.38,14.49,14.01,14.08,9.7026,121005,0.0,1.0
2015-01-07,14.07,14.47,13.25,13.3,9.1651,143600,0.0,1.0
2015-01-08,13.31,14.35,13.31,14.0,9.6475,54836,0.0,1.0
2015-01-09,14.212,14.8295,13.73,14.03,9.6681,110145,0.0,1.0
2015-01-12,14.38,14.88,13.95,14.7,10.1299,31750,0.0,1.0
2015-01-13,14.91,14.91,14.03,14.45,9.9576,18761,0.0,1.0
2015-01-14,14.45,14.5,13.58,14.01,9.6544,61315,0.0,1.0
2015-01-15,14.23,15.06,13.98,14.26,9.8266,39102,0.0,1.0
2015-01-16,14.4601,14.5499,13.57,14.45,9.9576,58166,0.0,1.0
2015-01-20,14.39,14.39,13.78,13.97,9.6268,29329,0.0,1.0
2015-01-21,14.31,14.61,13.79,13.79,9.5028,14831,0.0,1.0
2015-01-22,13.79,14.0,13.5901,13.96,9.6199,15150,0.0,1.0
2015-01-23,13.73,13.98,13.66,13.98,9.6337,14121,0.0,1.0
2015-01-26,13.77,14.08,13.61,13.79,9.5028,10395,0.0,1.0
2015-01-27,13.6,14.3099,13.58,13.58,9.3581,29581,0.0,1.0
2015-01-28,13.864,13.98,13.0,13.0,8.9584,28608,0.0,1.0
2015-01-29,13.26,13.99,13.0,13.02,8.9722,10754,0.0,1.0
2015-01-30,13.26,13.56,13.01,13.06,8.9997,14491,0.0,1.0
2015-02-02,13.51,13.56,13.05,13.06,8.9997,10350,0.0,1.0
2015-02-03,13.38,13.4,12.96,13.0,8.9584,60200,0.0,1.0
2015-02-04,12.82,13.18,12.7408,12.83,8.8412,20933,0.0,1.0
2015-02-05,12.99,13.52,12.56,12.89,9.0807,22864,0.2875,1.0
2015-02-06,13.0,13.31,12.8,12.97,9.137,31520,0.0,1.0
2015-02-09,12.93,13.3905,12.58,12.58,8.8623,9083,0.0,1.0
2015-02-10,12.61,12.92,12.61,12.87,9.0666,11230,0.0,1.0
2015-02-11,12.67,13.385,12.56,13.21,9.3061,13019,0.0,1.0
2015-02-12,13.68,13.68,12.76,13.09,9.2216,12790,0.0,1.0
2015-02-13,13.13,13.13,12.78,12.78,9.0032,50404,0.0,1.0
2015-02-17,12.87,13.25,12.68,12.89,9.0807,25081,0.0,1.0
2015-02-18,12.9,12.9,12.77,12.83,9.0384,22653,0.0,1.0
2015-02-19,12.9,12.9,12.83,12.9,9.0877,1873,0.0,1.0
2015-02-20,12.9,13.19,12.8,13.19,9.292,24593,0.0,1.0
2015-02-23,13.23,13.23,12.78,12.89,9.0807,15722,0.0,1.0
2015-02-24,12.71,13.0001,12.61,12.89,9.0807,17850,0.0,1.0
2015-02-25,13.04,13.04,12.51,12.51,8.813,37988,0.0,1.0
