timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-09-16,22.0,22.39,20.66,21.54,21.54,22228,0.0,1.0
2014-09-17,22.0,22.2,22.0,22.0,22.0,29260,0.0,1.0
2014-09-18,22.5,23.3,22.02,23.1,23.1,48441,0.0,1.0
2014-09-19,23.55,23.55,22.04,23.0,23.0,27136,0.0,1.0
2014-09-22,23.09,23.44,22.82,23.44,23.44,101198,0.0,1.0
2014-09-23,23.05,24.25,23.04,23.9,23.9,109400,0.0,1.0
2014-09-24,24.26,26.25,22.93,24.0,24.0,144796,0.0,1.0
2014-09-25,23.55,23.75,22.5,22.6,22.6,135417,0.0,1.0
2014-09-26,22.5,22.61,21.5,21.75,21.75,913410,0.0,1.0
2014-09-29,21.4,21.4,19.51,19.65,19.65,762277,0.0,1.0
2014-09-30,19.85,20.2,19.49,19.53,19.53,645435,0.0,1.0
2014-10-01,19.5,19.73,19.22,19.44,19.44,610414,0.0,1.0
2014-10-02,19.72,21.86,19.45,21.71,21.71,1175200,0.0,1.0
2014-10-03,21.56,23.28,21.25,21.75,21.75,1999406,0.0,1.0
2014-10-06,21.88,22.0,20.21,20.5,20.5,410257,0.0,1.0
2014-10-07,20.79,21.9995,19.7,19.72,19.72,923139,0.0,1.0
2014-10-08,19.88,20.138,19.61,19.77,19.77,462811,0.0,1.0
2014-10-09,19.64,21.74,19.6,21.35,21.35,609162,0.0,1.0
2014-10-10,21.35,21.56,19.7,20.62,20.62,344915,0.0,1.0
2014-10-13,20.96,21.29,19.7,20.25,20.25,316170,0.0,1.0
2014-10-14,20.74,20.86,19.935,20.46,20.46,271321,0.0,1.0
2014-10-15,20.1,21.48,19.88,20.66,20.66,250948,0.0,1.0
2014-10-16,20.27,20.756,19.9,20.51,20.51,404104,0.0,1.0
2014-10-17,20.45,22.08,20.45,21.76,21.76,491519,0.0,1.0
2014-10-20,21.5,21.69,19.34,20.06,20.06,773383,0.0,1.0
2014-10-21,20.23,20.55,19.7,19.85,19.85,231033,0.0,1.0
2014-10-22,19.85,20.97,19.72,20.66,20.66,214728,0.0,1.0
2014-10-23,21.25,21.8,21.0,21.66,21.66,171011,0.0,1.0
2014-10-24,21.59,22.336,21.585,21.83,21.83,105881,0.0,1.0
2014-10-27,21.61,22.01,21.39,21.86,21.86,101687,0.0,1.0
2014-10-28,21.9,22.8599,21.86,22.5,22.5,82545,0.0,1.0
2014-10-29,22.5,22.99,22.06,22.63,22.63,49551,0.0,1.0
2014-10-30,24.81,25.8,24.72,25.47,25.47,88784,0.0,1.0
2014-10-31,23.5,27.68,23.17,24.44,24.44,173195,0.0,1.0
2014-11-03,24.73,24.9,22.44,23.39,23.39,159918,0.0,1.0
2014-11-04,23.4,23.4,22.53,22.76,22.76,87568,0.0,1.0
2014-11-05,23.0,24.02,21.9,23.5,23.5,249841,0.0,1.0
2014-11-06,23.67,25.42,23.43,24.54,24.54,68155,0.0,1.0
2014-11-07,24.19,25.025,23.39,24.68,24.68,54992,0.0,1.0
2014-11-10,24.97,25.0,23.817,24.59,24.59,114248,0.0,1.0
2014-11-11,25.0,26.49,24.4,25.95,25.95,251178,0.0,1.0
2014-11-12,25.82,25.96,24.4,24.66,24.66,108797,0.0,1.0
2014-11-13,24.81,25.8,24.72,25.47,25.47,88784,0.0,1.0
2014-11-14,25.5,25.75,25.0,25.5,25.5,170148,0.0,1.0
2014-11-17,25.93,26.34,25.58,25.67,25.67,220835,0.0,1.0
2014-11-18,25.89,27.08,25.5,26.87,26.87,216979,0.0,1.0
2014-11-19,26.78,26.78,25.92,26.0,26.0,74720,0.0,1.0
2014-11-20,26.17,27.359,26.0001,26.82,26.82,186092,0.0,1.0
2014-11-21,26.83,27.139,26.7601,26.87,26.87,113245,0.0,1.0
2014-11-24,26.89,27.555,26.51,27.22,27.22,177435,0.0,1.0
2014-11-25,27.2,27.85,27.115,27.44,27.44,218703,0.0,1.0
2014-11-26,27.6,28.52,27.2,27.83,27.83,215540,0.0,1.0
2014-11-28,28.17,29.31,27.79,28.26,28.26,99392,0.0,1.0
2014-12-01,28.26,28.8966,28.26,28.31,28.31,96151,0.0,1.0
2014-12-02,28.39,29.07,28.01,28.44,28.44,105377,0.0,1.0
2014-12-03,28.71,29.86,28.56,29.65,29.65,105620,0.0,1.0
2014-12-04,29.48,29.725,29.14,29.53,29.53,89597,0.0,1.0
2014-12-05,29.6,30.665,29.6,30.65,30.65,91331,0.0,1.0
2014-12-08,30.65,31.122,29.26,29.71,29.71,98054,0.0,1.0
2014-12-09,29.55,29.81,28.9,29.39,29.39,87053,0.0,1.0
2014-12-10,29.18,29.95,28.9,29.58,29.58,63314,0.0,1.0
2014-12-11,29.57,31.005,29.44,30.58,30.58,63354,0.0,1.0
2014-12-12,29.91,31.0,29.91,30.83,30.83,56590,0.0,1.0
2014-12-15,31.23,32.34,30.82,31.27,31.27,146007,0.0,1.0
2014-12-16,31.06,31.768,31.0,31.24,31.24,76090,0.0,1.0
2014-12-17,31.12,31.23,29.72,29.78,29.78,130674,0.0,1.0
2014-12-18,29.84,30.11,28.48,29.75,29.75,94798,0.0,1.0
2014-12-19,29.69,29.84,28.92,29.42,29.42,111041,0.0,1.0
2014-12-22,29.6,29.915,28.7,29.34,29.34,63355,0.0,1.0
2014-12-23,29.28,29.69,28.7,29.64,29.64,45284,0.0,1.0
2014-12-24,29.78,30.31,29.5,29.96,29.96,40375,0.0,1.0
2014-12-26,30.01,30.285,28.405,28.71,28.71,65903,0.0,1.0
2014-12-29,28.87,28.87,27.6952,28.1,28.1,99989,0.0,1.0
2014-12-30,27.9,27.9,26.67,26.99,26.99,104095,0.0,1.0
2014-12-31,27.02,28.53,27.02,27.4,27.4,101184,0.0,1.0
2015-01-02,27.5,27.81,26.835,27.39,27.39,96041,0.0,1.0
2015-01-05,26.81,26.8975,24.57,25.03,25.03,380546,0.0,1.0
