timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,1.22,1.25,1.0,1.12,0.9581,9500,0.0,1.0
2000-01-04,1.0,1.03,0.94,0.94,0.8041,47700,0.0,1.0
2000-01-05,0.88,1.09,0.88,1.09,0.9324,3700,0.0,1.0
2000-01-06,0.88,1.16,0.88,1.16,0.9923,19600,0.0,1.0
2000-01-07,1.0,1.16,1.0,1.0,0.8554,17000,0.0,1.0
2000-01-10,0.88,1.06,0.88,1.06,0.9068,10500,0.0,1.0
2000-01-11,0.88,1.06,0.88,1.06,0.9068,3500,0.0,1.0
2000-01-12,1.06,1.16,0.88,0.88,0.7528,3500,0.0,1.0
2000-01-13,1.12,1.12,1.12,1.12,0.9581,2000,0.0,1.0
2000-01-14,0.88,1.03,0.88,1.03,0.8811,3900,0.0,1.0
2000-01-18,0.88,1.03,0.88,0.94,0.8041,6700,0.0,1.0
2000-01-19,0.94,1.0,0.88,1.0,0.8554,8600,0.0,1.0
2000-01-20,0.88,1.0,0.88,1.0,0.8554,7300,0.0,1.0
2000-01-21,1.0,1.12,1.0,1.12,0.9581,19500,0.0,1.0
2000-01-24,1.12,1.12,1.12,1.12,0.9581,6500,0.0,1.0
2000-01-25,1.03,1.03,1.03,1.03,0.8811,12600,0.0,1.0
2000-01-26,1.03,1.09,0.94,0.94,0.8041,9400,0.0,1.0
2000-01-27,0.94,1.06,0.94,1.06,0.9068,400,0.0,1.0
2000-01-28,0.94,1.06,0.94,0.94,0.8041,7200,0.0,1.0
2000-01-31,0.94,0.94,0.91,0.91,0.7784,5000,0.0,1.0
2000-02-01,0.88,1.03,0.88,1.03,0.8811,7200,0.0,1.0
2000-02-02,0.88,0.88,0.88,0.88,0.7528,500,0.0,1.0
2000-02-03,1.03,1.03,0.88,0.94,0.8041,22000,0.0,1.0
2000-02-04,0.94,1.06,0.94,1.06,0.9068,19500,0.0,1.0
2000-02-07,0.91,1.06,0.91,0.91,0.7784,1700,0.0,1.0
2000-02-08,0.91,0.94,0.88,0.94,0.8041,23000,0.0,1.0
2000-02-09,0.88,1.06,0.88,1.06,0.9068,300,0.0,1.0
2000-02-10,0.88,1.0,0.88,1.0,0.8554,8800,0.0,1.0
