timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-10-17,18.55,18.55,18.55,18.55,18.55,100000,0.0,1.0
2017-10-18,18.5,18.52,18.5,18.5,18.5,8227502,0.0,1.0
2017-10-19,18.5,18.57,18.5,18.5,18.5,550484,0.0,1.0
2017-10-20,18.25,19.0,18.0,18.0,18.0,155577,0.0,1.0
2017-10-23,18.0,18.0,18.0,18.0,18.0,349,0.0,1.0
2017-10-24,18.7,18.7,18.65,18.65,18.65,287571,0.0,1.0
2017-10-25,18.6,18.65,18.6,18.65,18.65,100127,0.0,1.0
2017-10-26,18.6,18.65,18.5,18.5,18.5,160091,0.0,1.0
2017-10-27,18.0,18.585,18.0,18.54,18.54,2133104,0.0,1.0
2017-10-30,18.54,18.54,18.54,18.54,18.54,0,0.0,1.0
2017-10-31,18.5,18.5,18.4,18.5,18.5,43330,0.0,1.0
2017-11-01,18.25,18.5,18.25,18.5,18.5,57558,0.0,1.0
2017-11-02,18.5,18.5,18.25,18.5,18.5,14760,0.0,1.0
2017-11-03,18.52,18.54,18.52,18.54,18.54,370000,0.0,1.0
2017-11-06,18.55,18.55,18.52,18.55,18.55,2745114,0.0,1.0
2017-11-07,18.5,18.61,18.5,18.58,18.58,410946,0.0,1.0
2017-11-08,18.55,18.6,18.5,18.55,18.55,24316,0.0,1.0
2017-11-09,18.55,18.55,18.55,18.55,18.55,679,0.0,1.0
2017-11-10,18.5,18.75,18.45,18.5,18.5,3621672,0.0,1.0
2017-11-13,18.45,18.75,18.45,18.5,18.5,76362,0.0,1.0
2017-11-14,18.5,18.5,18.35,18.35,18.35,218457,0.0,1.0
2017-11-15,18.25,18.5,18.25,18.5,18.5,677508,0.0,1.0
2017-11-16,18.5,18.6,18.5,18.5,18.5,152501,0.0,1.0
2017-11-17,18.65,18.7,18.5,18.55,18.55,373494,0.0,1.0
2017-11-20,18.65,18.65,18.55,18.6,18.6,312873,0.0,1.0
2017-11-21,18.75,18.75,18.65,18.75,18.75,872552,0.0,1.0
2017-11-22,18.65,18.75,18.65,18.75,18.75,1140544,0.0,1.0
2017-11-27,18.75,18.8,18.75,18.8,18.8,6972,0.0,1.0
2017-11-28,18.8,19.0,18.8,19.0,19.0,874646,0.0,1.0
2017-11-29,19.05,19.05,19.05,19.05,19.05,230115,0.0,1.0
2017-11-30,19.0,19.75,19.0,19.75,19.75,317469,0.0,1.0
2017-12-01,19.75,20.5,19.75,19.78,19.78,600841,0.0,1.0
2017-12-04,20.0,20.75,19.5,20.0,20.0,633824,0.0,1.0
2017-12-05,20.05,21.0,19.85,21.0,21.0,301513,0.0,1.0
2017-12-06,19.85,19.92,19.85,19.85,19.85,1035005,0.0,1.0
2017-12-07,20.0,20.0,19.65,19.8,19.8,591002,0.0,1.0
2017-12-08,19.8,19.88,19.8,19.8,19.8,385096,0.0,1.0
2017-12-11,19.8,19.81,19.75,19.81,19.81,347860,0.0,1.0
2017-12-12,19.75,19.81,19.75,19.81,19.81,144448,0.0,1.0
2017-12-13,19.82,19.85,19.7,19.85,19.85,29863,0.0,1.0
2017-12-14,19.9,20.0,19.85,20.0,20.0,343450,0.0,1.0
2017-12-15,19.95,20.0,19.95,20.0,20.0,18468,0.0,1.0
2017-12-18,20.0,20.1,19.95,20.0,20.0,15757,0.0,1.0
2017-12-19,19.95,20.0,19.95,19.975,19.975,15001,0.0,1.0
2017-12-20,20.0,20.4,20.0,20.0,20.0,29359,0.0,1.0
2017-12-21,20.0,20.5,20.0,20.5,20.5,5647,0.0,1.0
2017-12-22,20.5,20.75,20.0,20.2,20.2,26936,0.0,1.0
2017-12-26,20.0,20.0,20.0,20.0,20.0,1096,0.0,1.0
2017-12-27,20.5,20.5,20.5,20.5,20.5,120,0.0,1.0
2017-12-29,20.5,21.0,19.95,20.5,20.5,48885,0.0,1.0
2018-01-02,20.0,20.6,19.95,20.1,20.1,427922,0.0,1.0
2018-01-03,20.5,20.6,20.0,20.16,20.16,231268,0.0,1.0
2018-01-04,20.5,20.5,20.1,20.2,20.2,447786,0.0,1.0
2018-01-05,20.2,20.2,20.15,20.2,20.2,78258,0.0,1.0
