timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,29.94,29.94,29.94,29.94,299.4,278300,0.0,1.0
2000-01-04,30.0,30.0,26.5,26.81,268.1,170900,0.0,1.0
2000-01-05,27.31,29.5,27.0,28.25,282.5,139100,0.0,1.0
2000-01-06,28.25,29.0,27.31,28.0,280.0,66800,0.0,1.0
2000-01-07,27.0,27.81,25.75,26.5,265.0,209900,0.0,1.0
2000-01-10,27.25,35.25,26.63,34.63,346.3,457000,0.0,1.0
2000-01-11,34.69,35.13,30.63,32.0,320.0,408000,0.0,1.0
2000-01-12,32.0,32.31,30.88,30.88,308.8,283900,0.0,1.0
2000-01-13,30.5,32.63,30.44,32.38,323.8,980100,0.0,1.0
2000-01-14,32.13,33.75,31.75,33.0,330.0,618600,0.0,1.0
2000-01-18,33.75,36.38,32.88,35.77,357.7,388400,0.0,1.0
2000-01-19,36.25,39.0,36.0,37.0,370.0,268200,0.0,1.0
2000-01-20,37.69,39.25,36.56,37.5,375.0,369000,0.0,1.0
2000-01-21,38.0,40.44,37.56,39.5,395.0,3064300,0.0,1.0
2000-01-24,40.06,43.19,39.75,42.44,424.4,1681800,0.0,1.0
2000-01-25,43.5,43.56,41.5,42.63,426.3,380300,0.0,1.0
2000-01-26,41.75,41.88,39.25,39.25,392.5,401700,0.0,1.0
2000-01-27,40.0,41.81,39.25,40.0,400.0,326800,0.0,1.0
2000-01-28,39.44,39.94,35.0,36.88,368.8,502000,0.0,1.0
2000-01-31,36.75,38.81,36.75,38.5,385.0,347000,0.0,1.0
2000-02-01,39.0,43.56,39.0,43.25,432.5,328300,0.0,1.0
2000-02-02,43.5,48.0,42.19,43.25,432.5,351600,0.0,1.0
2000-02-03,43.44,45.25,43.44,45.06,450.6,233900,0.0,1.0
2000-02-04,44.94,53.38,44.88,50.88,508.8,541200,0.0,1.0
2000-02-07,49.06,52.13,47.0,49.81,498.1,316500,0.0,1.0
2000-02-08,49.25,53.75,48.5,51.5,515.0,297100,0.0,1.0
2000-02-09,52.0,52.25,49.0,49.75,497.5,265600,0.0,1.0
2000-02-10,49.75,51.38,49.5,51.06,510.6,267200,0.0,1.0
2000-02-11,50.25,52.38,48.94,49.75,497.5,166400,0.0,1.0
2000-02-14,50.06,52.0,49.81,51.69,516.9,313900,0.0,1.0
2000-02-15,51.75,52.25,48.5,50.88,508.8,230900,0.0,1.0
2000-02-16,50.56,62.5,50.5,62.25,622.5,388600,0.0,1.0
2000-02-17,62.0,73.25,60.0,69.0,690.0,487600,0.0,1.0
2000-02-18,70.0,70.5,56.75,59.63,596.3,362400,0.0,1.0
2000-02-22,58.63,60.0,45.13,56.25,562.5,792400,0.0,1.0
2000-02-23,55.69,57.13,49.25,55.88,558.8,380500,0.0,1.0
2000-02-24,54.88,57.75,51.63,57.25,572.5,355700,0.0,1.0
2000-02-25,73.0,73.5,60.0,61.5,615.0,1016100,0.0,1.0
2000-02-28,65.0,65.0,60.63,64.0,640.0,830600,0.0,1.0
2000-02-29,64.41,65.0,59.0,59.06,590.6,531600,0.0,1.0
2000-03-01,59.59,68.0,58.13,67.75,677.5,437500,0.0,1.0
2000-03-02,66.0,66.69,59.38,62.56,625.6,291700,0.0,1.0
2000-03-03,62.78,63.5,60.0,60.56,605.6,200400,0.0,1.0
2000-03-06,60.25,63.0,59.75,62.5,625.0,241300,0.0,1.0
