timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-04-16,23.0,23.67,21.99,22.18,19.2448,15680086,0.0,1.0
2015-04-17,22.45,23.95,22.29,22.66,19.6613,3868850,0.0,1.0
2015-04-20,24.1,24.25,22.86,22.96,19.9216,1960780,0.0,1.0
2015-04-21,23.0,23.27,22.05,22.35,19.3923,1242621,0.0,1.0
2015-04-22,22.5,22.691,21.44,21.81,18.9238,936362,0.0,1.0
2015-04-23,21.8,22.65,21.62,22.6,19.6092,447842,0.0,1.0
2015-04-24,22.88,22.92,22.15,22.155,19.2231,747597,0.0,1.0
2015-04-27,22.4,22.4,21.0301,21.25,18.4379,1184686,0.0,1.0
2015-04-28,21.27,21.78,20.75,21.68,18.811,722075,0.0,1.0
2015-04-29,21.32,22.0246,21.16,21.31,18.4899,293777,0.0,1.0
2015-04-30,21.43,21.93,21.0276,21.39,18.5593,434281,0.0,1.0
2015-05-01,21.6,21.67,21.3,21.4,18.568,306536,0.0,1.0
2015-05-04,21.44,21.6814,21.03,21.15,18.3511,660189,0.0,1.0
2015-05-05,21.39,21.85,21.27,21.79,18.9064,457724,0.0,1.0
2015-05-06,22.34,22.5,21.85,22.14,19.2101,844104,0.0,1.0
2015-05-07,22.45,22.45,22.3,22.39,19.427,469971,0.0,1.0
2015-05-08,22.47,22.95,22.26,22.3,19.3489,673559,0.0,1.0
2015-05-11,21.94,22.78,21.69,22.52,19.5398,762673,0.0,1.0
2015-05-12,22.55,22.69,22.21,22.32,19.3663,259771,0.0,1.0
2015-05-13,22.31,22.47,21.75,21.84,18.9498,521173,0.0,1.0
2015-05-14,22.23,22.23,21.61,21.97,19.0626,545429,0.0,1.0
2015-05-15,21.86,22.35,21.85,22.25,19.3055,282244,0.0,1.0
2015-05-18,22.03,22.19,21.6,22.04,19.1233,454234,0.0,1.0
2015-05-19,21.81,22.37,21.81,22.22,19.2795,304800,0.0,1.0
2015-05-20,22.08,22.3,22.01,22.29,19.3402,251663,0.0,1.0
