timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,24.0,24.5,22.69,22.88,4.9724,1019900,0.0,1.0
2000-01-04,21.5,22.12,20.28,20.31,4.6779,3364600,1.2148,1.0
2000-01-05,20.31,22.38,20.31,22.0,5.0671,1530700,0.0,1.0
2000-01-06,21.38,21.38,19.75,20.0,4.8413,1136100,1.0193,1.0
2000-01-07,20.75,22.0,20.69,22.0,5.3254,1103100,0.0,1.0
2000-01-10,23.0,24.44,23.0,24.06,5.824,2150700,0.0,1.0
2000-01-11,23.69,24.12,23.44,23.5,5.6885,1686600,0.0,1.0
2000-01-12,23.38,24.69,23.38,24.5,5.9305,1812800,0.0,1.0
2000-01-13,28.5,31.5,27.06,29.06,7.0343,7825800,0.0,1.0
2000-01-14,29.25,29.75,29.0,29.62,7.1699,5288200,0.0,1.0
2000-01-18,30.62,30.62,29.69,30.44,7.3684,3441600,0.0,1.0
2000-01-19,30.31,30.56,29.38,29.88,7.2328,3202400,0.0,1.0
2000-01-20,29.62,30.25,28.56,29.5,7.1408,3222900,0.0,1.0
2000-01-21,29.12,29.5,29.12,29.44,7.1263,2866400,0.0,1.0
2000-01-24,29.75,29.88,28.0,28.75,6.9593,1822300,0.0,1.0
2000-01-25,28.81,29.0,27.69,28.62,6.9278,1548300,0.0,1.0
2000-01-26,29.44,30.25,29.06,30.0,7.2619,1993300,0.0,1.0
2000-01-27,31.0,31.25,29.25,30.44,7.3684,3299500,0.0,1.0
2000-01-28,30.0,30.12,28.75,29.0,7.0198,1796500,0.0,1.0
2000-01-31,28.75,29.12,28.31,28.75,6.9593,1914000,0.0,1.0
2000-02-01,29.38,30.12,29.38,29.94,7.2474,1676300,0.0,1.0
2000-02-02,30.5,30.81,30.0,30.0,7.2619,2391300,0.0,1.0
2000-02-03,31.44,32.5,31.25,32.25,7.8065,4370600,0.0,1.0
2000-02-04,33.25,33.94,32.75,33.19,8.0341,3782800,0.0,1.0
2000-02-07,33.06,33.75,32.12,33.56,8.1236,920400,0.0,1.0
2000-02-08,33.56,34.5,33.19,33.88,8.2011,827500,0.0,1.0
2000-02-09,35.0,35.5,33.75,34.44,8.3366,1852900,0.0,1.0
2000-02-10,34.19,36.12,34.19,36.12,8.7433,1341500,0.0,1.0
2000-02-11,36.12,36.44,35.25,35.98,8.7094,2201000,0.0,1.0
2000-02-14,35.75,36.25,35.75,36.25,8.7748,1248900,0.0,1.0
2000-02-15,35.12,35.75,34.62,35.5,8.5932,1951600,0.0,1.0
2000-02-16,34.25,34.81,34.06,34.62,8.3802,1582200,0.0,1.0
2000-02-17,34.5,34.88,34.44,34.62,8.3802,1640600,0.0,1.0
2000-02-18,34.38,34.5,33.06,33.75,8.1696,1538800,0.0,1.0
2000-02-22,33.5,33.75,33.0,33.19,8.0341,1949100,0.0,1.0
2000-02-23,33.44,34.69,33.0,34.38,8.3221,1361400,0.0,1.0
2000-02-24,34.88,35.19,34.38,35.12,8.5012,1563200,0.0,1.0
2000-02-25,34.75,35.25,34.5,34.62,8.3802,1226400,0.0,1.0
2000-02-28,33.5,34.0,33.31,33.69,8.1551,1706500,0.0,1.0
2000-02-29,33.56,34.38,33.56,34.19,8.2761,2098000,0.0,1.0
2000-03-01,33.94,34.62,33.81,34.44,8.3366,1593000,0.0,1.0
2000-03-02,35.0,36.0,34.62,35.88,8.6852,2490900,0.0,1.0
2000-03-03,36.75,37.19,36.38,37.12,8.9854,690500,0.0,1.0
2000-03-06,37.88,37.88,37.0,37.06,8.9708,435900,0.0,1.0
2000-03-07,37.12,37.12,34.25,35.0,8.4722,920500,0.0,1.0
2000-03-08,34.25,34.62,34.12,34.25,8.2906,1113200,0.0,1.0
2000-03-09,34.5,35.06,34.12,34.56,8.3844,533900,0.0775,1.0
2000-03-10,34.38,34.94,33.12,33.56,8.1418,634600,0.0,1.0
2000-03-13,32.62,33.31,32.0,32.75,7.9453,1453200,0.0,1.0
2000-03-14,33.38,33.62,32.0,32.19,7.8095,1857400,0.0,1.0
2000-03-15,32.06,32.25,31.31,32.02,7.7682,2051700,0.0,1.0
2000-03-16,31.94,32.31,31.31,31.62,7.6712,1616200,0.0,1.0
2000-03-17,31.62,31.62,30.38,30.75,7.4601,1643900,0.0,1.0
2000-03-20,31.88,32.38,31.38,32.06,7.7779,1239100,0.0,1.0
2000-03-21,32.06,32.5,31.62,32.38,7.8556,1705200,0.0,1.0
2000-03-22,32.38,32.44,31.69,32.25,7.824,697300,0.0,1.0
2000-03-23,32.0,33.0,31.56,33.0,8.006,832200,0.0,1.0
2000-03-24,32.25,32.5,31.94,32.38,7.8556,669100,0.0,1.0
2000-03-27,32.12,32.94,31.81,32.12,7.7925,675000,0.0,1.0
2000-03-28,31.69,32.12,30.81,31.0,7.5208,1371200,0.0,1.0
2000-03-29,31.0,31.0,30.06,30.38,7.3704,740600,0.0,1.0
2000-03-30,30.38,30.38,28.5,29.38,7.1277,742100,0.0,1.0
2000-03-31,30.25,30.25,29.12,29.69,7.203,2300500,0.0,1.0
2000-04-03,28.38,29.06,27.88,28.88,7.0064,1272100,0.0,1.0
2000-04-04,28.75,28.75,26.12,27.88,6.7638,1864000,0.0,1.0
2000-04-05,27.62,28.0,27.0,27.44,6.6571,2249000,0.0,1.0
2000-04-06,28.38,29.0,27.81,29.0,7.0356,2561600,0.0,1.0
2000-04-07,29.0,30.0,29.0,30.0,7.2782,2002500,0.0,1.0
2000-04-10,30.12,30.38,28.75,28.75,6.9749,1295300,0.0,1.0
2000-04-11,28.5,28.75,27.75,28.31,6.8682,1212200,0.0,1.0
