timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-09-22,51.81,51.81,51.81,51.81,46.7172,10000,0.0,1.0
2010-09-23,51.93,52.05,51.93,51.95,46.8434,16300,0.0,1.0
2010-09-24,52.62,52.658,52.59,52.59,47.4205,17600,0.0,1.0
2010-09-27,52.58,52.75,52.47,52.75,47.5648,11700,0.0,1.0
2010-09-28,52.75,52.75,52.75,52.75,47.5648,0,0.0,1.0
2010-09-29,52.69,52.8,52.69,52.709,47.5278,21700,0.0,1.0
2010-09-30,52.97,52.97,52.41,52.41,47.2582,9650,0.0,1.0
2010-10-01,52.41,52.41,52.41,52.41,47.2582,0,0.0,1.0
2010-10-04,52.71,52.71,52.01,52.19,47.0598,19547,0.0,1.0
2010-10-05,52.87,52.87,52.87,52.87,47.673,1000,0.0,1.0
2010-10-06,53.3,53.3,53.0,53.1,47.8804,5000,0.0,1.0
2010-10-07,53.1,53.14,52.88,53.14,47.9164,44000,0.0,1.0
2010-10-08,53.18,53.54,53.06,53.45,48.1959,10200,0.0,1.0
2010-10-11,53.62,53.72,53.62,53.63,48.3583,5522,0.0,1.0
2010-10-12,53.37,53.83,53.14,53.83,48.5386,7300,0.0,1.0
2010-10-13,54.08,54.44,53.98,54.34,48.9985,4300,0.0,1.0
2010-10-14,54.29,54.31,54.06,54.14,48.8181,33955,0.0,1.0
2010-10-15,54.65,54.65,54.42,54.53,49.1698,6100,0.0,1.0
2010-10-18,54.66,54.66,54.6,54.6,49.2329,500,0.0,1.0
2010-10-19,53.97,53.99,53.58,53.58,48.3132,1300,0.0,1.0
2010-10-20,53.58,53.58,53.58,53.58,48.3132,0,0.0,1.0
2010-10-21,54.61,54.61,54.36,54.36,49.0165,400,0.0,1.0
2010-10-22,54.81,54.82,54.81,54.82,49.4313,10440,0.0,1.0
2010-10-25,55.24,55.31,55.04,55.04,49.6297,4640,0.0,1.0
2010-10-26,54.79,55.16,54.63,55.14,49.7198,101500,0.0,1.0
2010-10-27,54.77,55.0,54.66,55.0,49.5936,64520,0.0,1.0
2010-10-28,54.97,54.97,54.97,54.97,49.5665,1000,0.0,1.0
2010-10-29,55.14,55.15,54.98,55.07,49.6567,7865,0.0,1.0
2010-11-01,55.24,55.24,55.086,55.086,49.6711,1400,0.0,1.0
2010-11-02,55.57,55.65,55.57,55.65,50.1797,800,0.0,1.0
2010-11-03,55.43,55.63,55.43,55.63,50.1617,2000,0.0,1.0
2010-11-04,56.77,56.77,56.77,56.77,51.1896,1000,0.0,1.0
2010-11-05,56.95,56.97,56.79,56.83,51.2437,7576,0.0,1.0
2010-11-08,56.7,56.95,56.7,56.95,51.3519,6100,0.0,1.0
2010-11-09,57.15,57.26,56.6,56.63,51.0634,4373,0.0,1.0
2010-11-10,56.74,56.89,56.47,56.78,51.1986,12300,0.0,1.0
2010-11-11,56.43,56.66,56.22,56.66,51.0904,2900,0.0,1.0
2010-11-12,56.44,56.51,55.74,55.93,50.4322,1700,0.0,1.0
2010-11-15,56.04,56.06,55.86,55.946,50.4466,1835,0.0,1.0
2010-11-16,55.44,55.51,54.69,54.69,49.3141,2700,0.0,1.0
2010-11-17,54.93,55.09,54.93,55.07,49.6567,39400,0.0,1.0
2010-11-18,55.71,56.09,55.68,55.89,50.3961,6991,0.0,1.0
2010-11-19,56.06,56.11,56.03,56.05,50.5404,1100,0.0,1.0
2010-11-22,56.07,56.23,55.71,56.16,50.6396,9724,0.0,1.0
2010-11-23,55.49,55.68,55.35,55.44,49.9903,1600,0.0,1.0
2010-11-24,56.12,56.45,56.12,56.45,50.9011,1500,0.0,1.0
2010-11-26,55.98,56.28,55.98,56.28,50.7478,4800,0.0,1.0
2010-11-29,55.4,56.02,55.4,56.02,50.5133,10840,0.0,1.0
2010-11-30,55.43,55.83,55.43,55.83,50.342,5500,0.0,1.0
2010-12-01,56.68,57.01,56.61,56.89,51.2978,4300,0.0,1.0
2010-12-02,57.09,57.5,57.09,57.5,51.8478,2735,0.0,1.0
2010-12-03,57.41,57.58,57.41,57.57,51.911,4048,0.0,1.0
2010-12-06,57.55,57.66,57.55,57.66,51.9921,900,0.0,1.0
2010-12-07,58.2,58.22,57.67,57.67,52.0011,4300,0.0,1.0
2010-12-08,57.57,57.71,57.4,57.71,52.0372,1500,0.0,1.0
2010-12-09,58.13,58.13,57.65,57.65,51.9831,5054,0.0,1.0
2010-12-10,57.95,58.14,57.86,58.14,52.4249,8221,0.0,1.0
2010-12-13,58.41,58.41,58.29,58.35,52.6143,3414,0.0,1.0
2010-12-14,58.13,58.358,58.12,58.358,52.6215,3100,0.0,1.0
2010-12-15,58.09,58.31,57.88,58.03,52.3257,6100,0.0,1.0
2010-12-16,57.83,57.86,57.83,57.86,52.1725,1400,0.0,1.0
2010-12-17,58.32,58.52,58.32,58.42,52.6774,2853,0.0,1.0
2010-12-20,58.3,58.564,58.2999,58.51,52.7586,9139,0.0,1.0
2010-12-21,58.66,58.79,58.65,58.79,53.011,2000,0.0,1.0
2010-12-22,58.8,58.8,58.69,58.74,53.0444,57300,0.087,1.0
2010-12-23,58.74,58.74,58.7334,58.74,53.0444,1045,0.0,1.0
2010-12-27,58.45,58.7299,58.38,58.69,52.9992,5293,0.0,1.0
2010-12-28,58.64,58.67,58.62,58.67,52.9812,1761,0.0,1.0
2010-12-29,58.86,58.93,58.86,58.88,53.1708,6675,0.0,1.0
2010-12-30,58.77,58.91,58.71,58.77,53.0715,9600,0.0,1.0
2010-12-31,58.7,58.71,58.54,58.68,52.9902,12979,0.0,1.0
2011-01-03,59.32,59.44,59.23,59.23,53.4869,7117,0.0,1.0
2011-01-04,59.1557,59.1557,58.76,58.98,53.2611,2777,0.0,1.0
2011-01-05,58.8824,59.31,58.8824,59.31,53.5591,1590,0.0,1.0
2011-01-06,59.451,59.46,59.16,59.1699,53.4326,966,0.0,1.0
2011-01-07,59.48,59.48,59.47,59.47,53.7036,630,0.0,1.0
2011-01-10,59.11,59.29,59.11,59.29,53.5411,914,0.0,1.0
2011-01-11,59.59,59.62,59.5185,59.53,53.7578,2550,0.0,1.0
2011-01-12,59.9938,59.9938,59.9938,59.9938,54.1766,175,0.0,1.0
2011-01-13,60.13,60.13,59.96,60.01,54.1913,800,0.0,1.0
2011-01-14,60.02,60.02,60.02,60.02,54.2003,200,0.0,1.0
2011-01-18,60.39,60.6291,60.39,60.609,54.7322,2012,0.0,1.0
2011-01-19,60.6,60.6,60.07,60.07,54.2454,3170,0.0,1.0
2011-01-20,59.5621,59.5621,59.5,59.5,53.7307,800,0.0,1.0
2011-01-21,60.18,60.2,59.75,59.75,53.9565,3100,0.0,1.0
2011-01-24,59.77,60.19,59.77,60.1,54.2725,10024,0.0,1.0
2011-01-25,60.0459,60.19,59.98,60.19,54.3538,21045,0.0,1.0
2011-01-26,60.58,60.74,60.58,60.7399,54.8504,460,0.0,1.0
2011-01-27,60.84,60.84,60.84,60.84,54.9408,600,0.0,1.0
2011-01-28,60.83,60.83,59.657,59.657,53.8725,5062,0.0,1.0
2011-01-31,59.83,60.15,59.83,60.14,54.3086,5121,0.0,1.0
2011-02-01,60.92,61.14,60.92,61.14,55.2117,1941,0.0,1.0
2011-02-02,61.1,61.1,61.1,61.1,55.1756,100,0.0,1.0
2011-02-03,60.924,61.04,60.62,61.04,55.1214,875,0.0,1.0
2011-02-04,61.35,61.39,61.35,61.39,55.4374,2445,0.0,1.0
2011-02-07,61.66,61.98,61.66,61.98,55.9702,815,0.0,1.0
2011-02-08,61.88,61.9724,61.88,61.9724,55.9634,975,0.0,1.0
2011-02-09,61.99,61.99,61.92,61.92,55.9161,163325,0.0,1.0
2011-02-10,61.54,62.0179,61.54,61.88,55.8799,1275,0.0,1.0
2011-02-11,61.85,62.449,61.85,62.449,56.3938,837,0.0,1.0
2011-02-14,62.53,62.63,62.5299,62.63,56.5572,2100,0.0,1.0
2011-02-15,62.57,62.57,62.33,62.33,56.2863,14043,0.0,1.0
2011-02-16,62.89,62.89,62.82,62.82,56.7288,6605,0.0,1.0
2011-02-17,62.76,62.9,62.59,62.8999,56.8009,15318,0.0,1.0
2011-02-18,63.11,63.14,63.11,63.14,57.0178,625,0.0,1.0
2011-02-22,62.31,62.492,61.79,61.79,55.7987,2455,0.0,1.0
2011-02-23,61.15,61.29,61.15,61.29,55.3471,3975,0.0,1.0
2011-02-24,61.26,61.85,61.26,61.267,55.3264,1525317,0.0,1.0
2011-02-25,61.63,61.95,61.63,61.95,55.9431,3172,0.0,1.0
2011-02-28,62.33,62.33,61.91,62.17,56.1418,799767,0.0,1.0
2011-03-01,62.33,62.33,61.15,61.19,55.2568,3565,0.0,1.0
2011-03-02,61.04,61.5799,61.04,61.3,55.3562,5742,0.0,1.0
2011-03-03,62.19,62.477,62.19,62.45,56.3947,1354,0.0,1.0
2011-03-04,62.48,62.48,61.61,62.01,55.9973,1325701,0.0,1.0
2011-03-07,62.31,62.31,61.07,61.32,55.3742,1312512,0.0,1.0
2011-03-08,61.43,61.9999,61.21,61.64,55.6632,1436296,0.0,1.0
2011-03-09,61.6,61.74,61.39,61.59,55.6181,2900,0.0,1.0
2011-03-10,60.53,60.78,60.48,60.505,54.6383,192210,0.0,1.0
2011-03-11,60.31,61.04,60.24,61.04,55.1214,4965,0.0,1.0
2011-03-14,60.55,60.55,59.8201,60.55,54.6789,200,0.0,1.0
2011-03-15,59.4101,59.999,59.4101,59.999,54.1813,1236,0.0,1.0
2011-03-16,59.72,59.72,58.5,58.77,53.0715,3961,0.0,1.0
2011-03-17,59.6,59.728,59.41,59.41,53.6494,7846,0.0,1.0
2011-03-18,59.79,59.79,59.52,59.52,53.7488,936,0.0,1.0
2011-03-21,60.56,60.56,60.4088,60.51,54.6428,2912,0.0,1.0
2011-03-22,60.3675,60.3675,60.2997,60.31,54.4622,3449,0.0,1.0
2011-03-23,60.3296,60.71,60.31,60.58,54.706,5164,0.0,1.0
2011-03-24,60.8799,61.1598,60.778,61.08,55.1575,1564,0.0,1.0
2011-03-25,61.25,61.5398,61.2,61.37,55.563,3720,0.159,1.0
2011-03-28,61.45,61.47,61.36,61.36,55.5539,16085,0.0,1.0
2011-03-29,61.44,61.6,61.4343,61.596,55.7676,1334,0.0,1.0
2011-03-30,61.97,62.1196,61.97,62.05,56.1786,1510,0.0,1.0
2011-03-31,61.98,62.1,61.98,62.03,56.1605,867,0.0,1.0
2011-04-01,62.52,62.52,62.28,62.28,56.3869,1054,0.0,1.0
2011-04-04,62.36,62.36,62.217,62.25,56.3597,9865,0.0,1.0
2011-04-05,62.3,62.62,62.272,62.36,56.4593,7426,0.0,1.0
2011-04-06,62.6458,62.65,62.23,62.45,56.5408,16144,0.0,1.0
2011-04-07,62.139,62.33,62.11,62.29,56.3959,1162,0.0,1.0
2011-04-08,62.44,62.44,61.97,61.97,56.1062,1267,0.0,1.0
2011-04-11,61.93,61.93,61.76,61.8444,55.9925,666,0.0,1.0
2011-04-12,61.48,61.55,61.2824,61.36,55.5539,3887,0.0,1.0
2011-04-13,61.3275,61.69,61.3275,61.59,55.7622,6263,0.0,1.0
2011-04-14,61.2,61.4438,61.2,61.4438,55.6298,1740,0.0,1.0
2011-04-15,61.68,61.788,61.68,61.77,55.9251,2538,0.0,1.0
2011-04-18,61.18,61.19,60.7053,61.19,55.4,1652,0.0,1.0
2011-04-19,61.25,61.45,61.09,61.45,55.6354,2987,0.0,1.0
2011-04-20,62.6,62.61,62.45,62.56,56.6404,8318,0.0,1.0
2011-04-21,62.9,63.04,62.8943,63.0268,57.063,2026,0.0,1.0
2011-04-25,62.98,62.98,62.71,62.92,56.9663,7007,0.0,1.0
2011-04-26,63.12,63.58,63.12,63.45,57.4462,2939,0.0,1.0
2011-04-27,63.53,63.87,63.2,63.87,57.8264,12481,0.0,1.0
2011-04-28,63.76,63.77,63.7499,63.7499,57.7177,2314,0.0,1.0
2011-04-29,63.95,64.12,63.86,64.051,57.9903,11756,0.0,1.0
2011-05-02,64.36,64.36,63.79,63.79,57.754,5802,0.0,1.0
2011-05-03,63.81,63.86,63.28,63.514,57.5041,10413,0.0,1.0
2011-05-04,63.47,63.47,63.19,63.19,57.2108,600,0.0,1.0
2011-05-05,62.82,63.34,62.74,62.84,56.8939,347286,0.0,1.0
2011-05-06,63.28,63.62,62.84,62.84,56.8939,3295,0.0,1.0
2011-05-09,63.427,63.43,63.36,63.36,57.3647,884,0.0,1.0
2011-05-10,63.51,63.86,63.51,63.85,57.8083,5408,0.0,1.0
2011-05-11,63.6072,63.6072,63.0,63.25,57.2651,2795,0.0,1.0
2011-05-12,63.0,63.62,63.0,63.56,57.5457,3095,0.0,1.0
2011-05-13,63.59,63.59,63.162,63.162,57.1854,723,0.0,1.0
2011-05-16,62.7524,62.78,62.65,62.72,56.7852,1050,0.0,1.0
2011-05-17,62.47,62.48,62.0,62.3425,56.4434,4754,0.0,1.0
2011-05-18,62.364,62.77,62.364,62.76,56.8214,2414,0.0,1.0
2011-05-19,63.24,63.26,63.24,63.26,57.2741,254,0.0,1.0
2011-05-20,62.68,63.05,62.54,63.05,57.084,1518,0.0,1.0
2011-05-23,61.87,62.14,61.8348,61.99,56.1243,4475,0.0,1.0
2011-05-24,62.07,62.07,61.93,61.97,56.1062,2484,0.0,1.0
2011-05-25,62.07,62.36,62.07,62.23,56.3416,2729,0.0,1.0
2011-05-26,62.14,62.56,62.1275,62.56,56.6404,1537,0.0,1.0
2011-05-27,62.63,62.81,62.63,62.68,56.749,1211,0.0,1.0
2011-05-31,63.34,63.34,63.01,63.09,57.1202,2981,0.0,1.0
2011-06-01,63.29,63.29,61.93,61.99,56.1243,27810,0.0,1.0
2011-06-02,62.05,62.1287,61.88,61.9,56.0428,3082,0.0,1.0
2011-06-03,61.45,61.6639,61.171,61.23,55.4362,5244,0.0,1.0
2011-06-06,61.05,61.23,60.65,60.67,54.9292,1343,0.0,1.0
2011-06-07,60.8,61.149,60.73,60.73,54.9835,500,0.0,1.0
2011-06-08,60.47,60.5999,60.23,60.46,54.7391,1675,0.0,1.0
2011-06-09,60.37,60.81,60.37,60.81,55.056,1295,0.0,1.0
2011-06-10,60.32,60.32,59.78,59.78,54.1234,3540,0.0,1.0
2011-06-13,59.85,59.95,59.6175,59.63,53.9876,2287,0.0,1.0
2011-06-14,60.26,60.66,60.26,60.51,54.7843,18800,0.0,1.0
2011-06-15,60.0,60.12,59.45,59.45,53.8246,3541,0.0,1.0
2011-06-16,59.7,59.78,59.21,59.5,53.8699,12547,0.0,1.0
2011-06-17,59.95,59.97,59.49,59.51,53.879,13367,0.0,1.0
2011-06-20,60.01,60.01,59.83,59.98,54.3045,2758,0.0,1.0
2011-06-21,60.25,60.8,60.25,60.8,55.0469,152850,0.0,1.0
2011-06-22,60.95,60.99,60.73,60.73,54.9835,6346,0.0,1.0
2011-06-23,59.88,60.32,59.53,60.32,54.6123,1925,0.0,1.0
2011-06-24,60.32,60.33,59.67,59.67,54.1931,11371,0.187,1.0
2011-06-27,59.61,60.29,59.5,60.22,54.6926,178267,0.0,1.0
2011-06-28,60.42,61.12,60.42,61.11,55.501,66043,0.0,1.0
2011-06-29,61.37,61.6291,61.1,61.52,55.8733,7520,0.0,1.0
2011-06-30,61.91,62.24,61.9,62.16,56.4546,83385,0.0,1.0
2011-07-01,62.27,63.1,62.27,63.1,57.3083,29350,0.0,1.0
2011-07-05,63.04,63.29,63.04,63.08,57.2901,27025,0.0,1.0
2011-07-06,63.24,63.52,63.24,63.51,57.6807,13195,0.0,1.0
2011-07-07,64.04,64.33,64.01,64.2199,58.3254,13207,0.0,1.0
2011-07-08,63.61,63.76,63.54,63.72,57.8714,7347,0.0,1.0
2011-07-11,63.23,63.23,62.77,62.7825,57.0199,1383,0.0,1.0
2011-07-12,62.76,62.78,62.45,62.45,56.718,1385,0.0,1.0
2011-07-13,63.0,63.3,62.59,62.59,56.8451,8097,0.0,1.0
2011-07-14,62.6585,62.6585,62.0908,62.0908,56.3917,4774,0.0,1.0
2011-07-15,62.47,62.7,62.27,62.7,56.945,12140,0.0,1.0
2011-07-18,62.07,62.23,62.07,62.23,56.5182,1113,0.0,1.0
2011-07-19,63.14,63.6,63.14,63.49,57.6625,6303,0.0,1.0
2011-07-20,63.78,63.78,63.19,63.31,57.499,6635,0.0,1.0
2011-07-21,63.53,64.0,63.53,63.97,58.0985,10500,0.0,1.0
2011-07-22,63.8305,64.1201,63.8305,64.09,58.2074,962,0.0,1.0
2011-07-25,63.61,64.1,63.61,63.98,58.1075,5887,0.0,1.0
2011-07-26,63.77,63.77,63.52,63.52,57.6898,44992,0.0,1.0
2011-07-27,62.99,62.99,62.1,62.11,56.4092,21436,0.0,1.0
2011-07-28,62.34,62.63,61.87,61.93,56.2457,2170,0.0,1.0
2011-07-29,61.38,61.93,61.09,61.6,55.946,9265,0.0,1.0
2011-08-01,62.26,62.26,60.78,61.26,55.6372,8928,0.0,1.0
2011-08-02,61.28,61.28,59.7204,59.7204,54.2389,7424,0.0,1.0
2011-08-03,59.84,60.07,59.5,60.06,54.5473,1874,0.0,1.0
2011-08-04,59.0,59.0,57.1583,57.2487,51.9941,3307,0.0,1.0
2011-08-05,57.91,58.12,55.7,56.8371,51.6203,8546,0.0,1.0
2011-08-08,55.57,55.93,53.45,53.45,48.544,24383,0.0,1.0
2011-08-09,54.22,55.79,53.206,55.79,50.6693,10153,0.0,1.0
2011-08-10,54.69,55.37,53.69,53.69,48.762,24194,0.0,1.0
2011-08-11,54.1286,56.52,54.05,56.52,51.3323,4498,0.0,1.0
2011-08-12,56.4,56.5357,56.08,56.4215,51.2428,4215,0.0,1.0
2011-08-15,56.81,57.42,56.73,57.42,52.1497,19887,0.0,1.0
2011-08-16,56.71,57.019,56.71,57.019,51.7855,1082,0.0,1.0
2011-08-17,56.71,56.81,56.5299,56.81,51.5956,1228,0.0,1.0
2011-08-18,54.5,54.5,54.09,54.1376,49.1685,2663,0.0,1.0
2011-08-19,53.93,53.93,53.26,53.26,48.3715,488,0.0,1.0
2011-08-22,53.55,53.65,53.29,53.3,48.4078,2068,0.0,1.0
2011-08-23,53.74,55.32,53.74,55.31,50.2333,4348,0.0,1.0
2011-08-24,55.21,55.58,55.21,55.58,50.4785,3100,0.0,1.0
2011-08-25,56.19,56.19,55.0684,55.2,50.1334,3456,0.0,1.0
2011-08-26,54.75,56.0245,54.42,56.006,50.8654,3128,0.0,1.0
2011-08-29,57.23,57.69,57.08,57.69,52.3949,2597,0.0,1.0
2011-08-30,57.56,57.838,57.4715,57.74,52.4403,1140,0.0,1.0
2011-08-31,58.5,58.86,58.06,58.06,52.7309,6117,0.0,1.0
