timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,4.25,4.25,4.0,4.0,1.1735,17100,0.0,1.0
2000-01-04,4.0,4.0,3.938,4.0,1.1735,39800,0.0,1.0
2000-01-05,3.938,4.063,3.938,4.0,1.1735,30400,0.0,1.0
2000-01-06,3.938,4.125,3.938,4.0,1.1735,27500,0.0,1.0
2000-01-07,3.938,4.0,3.875,3.938,1.1553,84500,0.0,1.0
2000-01-10,3.938,4.125,3.938,4.0,1.1735,54100,0.0,1.0
2000-01-11,3.875,3.938,3.875,3.938,1.1553,52300,0.0,1.0
2000-01-12,3.875,3.938,3.875,3.875,1.1368,15600,0.0,1.0
2000-01-13,3.875,4.063,3.875,3.938,1.1553,31000,0.0,1.0
2000-01-14,3.938,4.0,3.938,4.0,1.1735,36200,0.0,1.0
2000-01-18,4.0,4.063,3.938,4.063,1.192,20600,0.0,1.0
2000-01-19,4.0,4.063,3.938,4.063,1.192,28300,0.0,1.0
2000-01-20,4.063,4.063,4.0,4.0,1.1735,32100,0.0,1.0
2000-01-21,4.0,4.0,3.938,3.938,1.1553,40600,0.0,1.0
2000-01-24,3.938,4.0,3.688,3.688,1.082,104500,0.0,1.0
2000-01-25,3.75,3.75,3.438,3.5,1.0268,357600,0.0,1.0
2000-01-26,3.438,3.625,3.375,3.5,1.0268,74100,0.0,1.0
2000-01-27,3.5,3.625,3.375,3.5,1.0268,108200,0.0,1.0
2000-01-28,3.438,3.5,3.375,3.438,1.0086,126200,0.0,1.0
2000-01-31,3.5,3.75,3.375,3.625,1.0635,226600,0.0,1.0
2000-02-01,3.625,3.75,3.563,3.688,1.082,91500,0.0,1.0
2000-02-02,3.625,3.813,3.625,3.75,1.1002,39100,0.0,1.0
2000-02-03,3.688,3.875,3.625,3.688,1.082,175400,0.0,1.0
2000-02-04,3.625,3.625,3.5,3.5,1.0268,125700,0.0,1.0
2000-02-07,3.75,3.813,3.563,3.688,1.082,40900,0.0,1.0
2000-02-08,3.625,3.813,3.375,3.5,1.0268,62800,0.0,1.0
2000-02-09,3.5,3.563,3.5,3.5,1.0268,60400,0.0,1.0
2000-02-10,3.5,3.5,3.438,3.438,1.0086,124800,0.0,1.0
2000-02-11,3.375,3.438,3.188,3.25,0.9535,125000,0.0,1.0
2000-02-14,3.25,3.25,3.125,3.188,0.9353,65900,0.0,1.0
2000-02-15,3.125,3.188,3.125,3.188,0.9353,68100,0.0,1.0
2000-02-16,3.125,3.313,3.125,3.313,0.972,63400,0.0,1.0
2000-02-17,3.25,3.438,3.25,3.313,0.972,41500,0.0,1.0
2000-02-18,3.375,3.375,3.313,3.313,0.972,12400,0.0,1.0
2000-02-22,3.313,3.375,3.313,3.313,0.972,25000,0.0,1.0
2000-02-23,3.313,3.313,3.313,3.313,0.972,9800,0.0,1.0
2000-02-24,3.313,3.375,3.25,3.313,0.972,29300,0.0,1.0
2000-02-25,3.25,3.5,3.25,3.375,0.9902,101300,0.0,1.0
2000-02-28,3.375,3.438,3.375,3.438,1.0086,14100,0.0,1.0
2000-02-29,3.438,3.563,3.375,3.375,0.9902,624000,0.0,1.0
2000-03-01,3.375,3.5,3.313,3.313,0.972,218700,0.0,1.0
2000-03-02,3.313,3.375,3.313,3.375,0.9902,96300,0.0,1.0
2000-03-03,3.438,3.688,3.438,3.563,1.0453,60900,0.0,1.0
2000-03-06,3.438,3.625,3.313,3.563,1.0453,42300,0.0,1.0
2000-03-07,3.5,3.625,3.375,3.5,1.0268,303300,0.0,1.0
2000-03-08,3.5,3.5,3.375,3.375,0.9902,21300,0.0,1.0
2000-03-09,3.375,3.375,3.125,3.25,0.9535,141000,0.0,1.0
2000-03-10,3.313,3.313,3.125,3.188,0.9353,71800,0.0,1.0
2000-03-13,3.188,3.375,3.188,3.375,0.9902,49400,0.0,1.0
2000-03-14,3.313,3.313,3.125,3.125,0.9168,73200,0.0,1.0
2000-03-15,3.125,3.125,2.813,2.813,0.8253,207300,0.0,1.0
2000-03-16,2.75,3.188,2.75,3.125,0.9168,149100,0.0,1.0
2000-03-17,3.0,3.063,2.875,2.938,0.8619,80000,0.0,1.0
2000-03-20,2.938,2.938,2.875,2.938,0.8619,37200,0.0,1.0
2000-03-21,3.0,3.5,3.0,3.438,1.0086,313200,0.0,1.0
2000-03-22,3.563,3.938,3.563,3.75,1.1002,162900,0.0,1.0
2000-03-23,3.75,3.875,3.125,3.25,0.9535,227000,0.0,1.0
2000-03-24,3.25,3.5,3.25,3.25,0.9535,57700,0.0,1.0
2000-03-27,3.25,3.313,3.188,3.188,0.9353,49100,0.0,1.0
2000-03-28,3.188,3.25,3.125,3.125,0.9168,78100,0.0,1.0
2000-03-29,3.25,3.25,3.125,3.188,0.9353,21000,0.0,1.0
2000-03-30,3.125,3.313,3.0,3.313,0.972,104900,0.0,1.0
2000-03-31,3.375,3.375,3.125,3.313,0.972,70100,0.0,1.0
2000-04-03,3.313,3.313,3.25,3.313,0.972,14100,0.0,1.0
2000-04-04,3.313,3.438,3.313,3.438,1.0086,82500,0.0,1.0
2000-04-05,3.375,3.5,3.375,3.375,0.9902,24600,0.0,1.0
2000-04-06,3.25,3.563,3.25,3.438,1.0086,27600,0.0,1.0
2000-04-07,3.438,3.563,3.313,3.563,1.0453,49900,0.0,1.0
2000-04-10,3.438,3.75,3.438,3.688,1.082,51700,0.0,1.0
2000-04-11,3.75,3.813,3.75,3.75,1.1002,15300,0.0,1.0
2000-04-12,3.75,3.938,3.75,3.875,1.1368,23200,0.0,1.0
2000-04-13,3.813,3.938,3.813,3.813,1.1187,50900,0.0,1.0
2000-04-14,3.75,3.813,3.5,3.563,1.0453,61800,0.0,1.0
2000-04-17,3.563,3.688,3.563,3.688,1.082,92800,0.0,1.0
2000-04-18,3.625,3.813,3.625,3.75,1.1002,24200,0.0,1.0
2000-04-19,3.75,3.875,3.75,3.813,1.1187,11100,0.0,1.0
2000-04-20,3.875,3.875,3.813,3.813,1.1187,10700,0.0,1.0
2000-04-24,3.813,3.875,3.75,3.75,1.1002,18100,0.0,1.0
2000-04-25,3.875,3.875,3.75,3.875,1.1368,19300,0.0,1.0
2000-04-26,3.875,3.938,3.75,3.875,1.1368,42600,0.0,1.0
2000-04-27,3.813,3.875,3.813,3.875,1.1368,7900,0.0,1.0
2000-04-28,3.813,4.0,3.813,3.938,1.1553,24100,0.0,1.0
2000-05-01,4.0,4.188,4.0,4.125,1.2102,60700,0.0,1.0
2000-05-02,4.125,4.188,4.0,4.125,1.2102,36100,0.0,1.0
2000-05-03,4.125,4.188,4.063,4.125,1.2102,28200,0.0,1.0
2000-05-04,4.188,4.25,4.0,4.125,1.2102,124800,0.0,1.0
2000-05-05,4.188,4.25,4.063,4.063,1.192,20100,0.0,1.0
2000-05-08,4.125,4.125,4.063,4.063,1.192,6500,0.0,1.0
2000-05-09,4.063,4.063,3.875,3.875,1.1368,32900,0.0,1.0
2000-05-10,3.875,3.938,3.875,3.875,1.1368,13400,0.0,1.0
2000-05-11,3.938,3.938,3.813,3.875,1.1368,24300,0.0,1.0
2000-05-12,3.688,3.938,3.688,3.875,1.1368,53000,0.0,1.0
