timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-12-29,6.5,7.34,6.5,7.3392,7.3392,900,0.0,1.0
2016-12-30,6.98,7.0,5.5,5.5,5.5,8323,0.0,1.0
2017-01-03,5.9,7.08,4.2,4.22,4.22,55208,0.0,1.0
2017-01-04,4.22,4.5,3.9892,4.2959,4.2959,67898,0.0,1.0
2017-01-05,4.22,4.41,4.22,4.4,4.4,34360,0.0,1.0
2017-01-06,4.5,5.96,4.48,5.6899,5.6899,48384,0.0,1.0
2017-01-09,5.3,5.68,4.58,4.58,4.58,28083,0.0,1.0
2017-01-10,4.65,5.4,4.65,5.09,5.09,9395,0.0,1.0
2017-01-11,4.8642,5.1,4.8642,5.01,5.01,3735,0.0,1.0
2017-01-12,5.1,5.2601,5.1,5.26,5.26,2036,0.0,1.0
2017-01-13,5.03,5.0792,4.98,5.02,5.02,13510,0.0,1.0
2017-01-17,5.02,5.02,5.02,5.02,5.02,0,0.0,1.0
2017-01-18,5.197,5.2,5.07,5.08,5.08,1876,0.0,1.0
2017-01-19,5.36,5.4,5.3,5.3468,5.3468,6633,0.0,1.0
2017-01-20,5.3481,5.5,5.21,5.21,5.21,14409,0.0,1.0
2017-01-23,5.21,5.33,5.21,5.26,5.26,2643,0.0,1.0
2017-01-24,5.12,5.183,5.12,5.1808,5.1808,735,0.0,1.0
2017-01-25,5.12,5.1678,5.12,5.14,5.14,3769,0.0,1.0
2017-01-26,5.04,5.0551,4.89,4.92,4.92,3504,0.0,1.0
2017-01-27,4.8001,5.0,4.76,4.76,4.76,6134,0.0,1.0
2017-01-30,4.72,4.72,4.65,4.65,4.65,666,0.0,1.0
2017-01-31,4.9999,5.2,4.9999,5.1992,5.1992,11808,0.0,1.0
2017-02-01,5.31,5.31,5.31,5.31,5.31,393,0.0,1.0
2017-02-02,5.2,5.2,5.192,5.192,5.192,300,0.0,1.0
2017-02-03,5.192,5.192,5.192,5.192,5.192,3,0.0,1.0
2017-02-06,5.192,5.192,5.192,5.192,5.192,115,0.0,1.0
2017-02-07,5.05,5.05,5.05,5.05,5.05,289,0.0,1.0
2017-02-08,5.13,5.13,4.738,4.738,4.738,1563,0.0,1.0
2017-02-09,4.738,4.738,4.738,4.738,4.738,100,0.0,1.0
2017-02-10,4.855,5.15,4.855,5.0,5.0,1257,0.0,1.0
2017-02-13,4.97,4.97,4.9,4.9,4.9,1210,0.0,1.0
2017-02-14,4.9,4.9,4.9,4.9,4.9,5,0.0,1.0
2017-02-15,5.02,5.02,5.02,5.02,5.02,128,0.0,1.0
2017-02-16,4.9,4.9,4.86,4.86,4.86,699,0.0,1.0
2017-02-17,4.86,4.86,4.86,4.86,4.86,2,0.0,1.0
2017-02-21,4.86,4.86,4.86,4.86,4.86,172,0.0,1.0
2017-02-22,4.86,4.86,4.86,4.86,4.86,64,0.0,1.0
2017-02-23,4.607,4.607,4.6,4.6,4.6,406,0.0,1.0
2017-02-24,4.95,5.332,4.927,5.01,5.01,6381,0.0,1.0
2017-02-27,4.8,5.01,4.8,4.907,4.907,4878,0.0,1.0
2017-02-28,4.9,4.92,4.9,4.92,4.92,917,0.0,1.0
2017-03-01,5.01,5.01,5.01,5.01,5.01,250,0.0,1.0
2017-03-02,4.85,4.85,4.85,4.85,4.85,2052,0.0,1.0
2017-03-03,4.998,4.998,4.998,4.998,4.998,343,0.0,1.0
2017-03-06,4.998,4.998,4.998,4.998,4.998,12,0.0,1.0
2017-03-07,4.85,4.85,4.775,4.775,4.775,1000,0.0,1.0
2017-03-08,4.847,4.87,4.82,4.85,4.85,2600,0.0,1.0
2017-03-09,4.6,4.6,4.32,4.32,4.32,3919,0.0,1.0
2017-03-10,4.327,4.42,4.296,4.296,4.296,3842,0.0,1.0
2017-03-13,4.75,4.75,4.75,4.75,4.75,100,0.0,1.0
2017-03-14,4.49,4.5,4.49,4.5,4.5,3290,0.0,1.0
2017-03-15,4.5,4.5,4.5,4.5,4.5,0,0.0,1.0
2017-03-16,4.5,4.5,4.5,4.5,4.5,50,0.0,1.0
2017-03-17,4.668,4.668,4.668,4.668,4.668,151,0.0,1.0
2017-03-20,4.55,4.55,4.48,4.48,4.48,4050,0.0,1.0
2017-03-21,4.38,4.4,4.12,4.399,4.399,2009,0.0,1.0
2017-03-22,4.399,4.399,4.399,4.399,4.399,0,0.0,1.0
2017-03-23,4.397,4.397,4.39,4.39,4.39,2925,0.0,1.0
2017-03-24,4.39,4.39,4.39,4.39,4.39,0,0.0,1.0
2017-03-27,4.0,4.27,4.0,4.1,4.1,1490,0.0,1.0
2017-03-28,4.52,4.52,4.52,4.52,4.52,500,0.0,1.0
2017-03-29,4.52,4.52,4.52,4.52,4.52,0,0.0,1.0
2017-03-30,4.5,4.5,4.22,4.5,4.5,131128,0.0,1.0
2017-03-31,4.5,4.519,4.5,4.5,4.5,449,0.0,1.0
2017-04-03,4.5,4.5,4.5,4.5,4.5,5,0.0,1.0
2017-04-04,4.52,4.52,4.46,4.5,4.5,1222,0.0,1.0
2017-04-05,4.5,4.5,4.5,4.5,4.5,14,0.0,1.0
2017-04-06,4.5,4.5,4.5,4.5,4.5,0,0.0,1.0
2017-04-07,4.5,4.5,4.5,4.5,4.5,10,0.0,1.0
2017-04-10,4.5,4.5,4.5,4.5,4.5,0,0.0,1.0
2017-04-11,4.5,4.5,4.5,4.5,4.5,35,0.0,1.0
2017-04-12,4.5,4.5,4.5,4.5,4.5,0,0.0,1.0
2017-04-13,4.5,4.5,4.5,4.5,4.5,2,0.0,1.0
2017-04-17,4.5,4.5,4.5,4.5,4.5,0,0.0,1.0
2017-04-18,4.73,4.73,4.2,4.2,4.2,4259,0.0,1.0
2017-04-19,4.214,4.44,4.214,4.3,4.3,12843,0.0,1.0
2017-04-20,4.3,4.3,4.2,4.2,4.2,4978,0.0,1.0
2017-04-21,4.2,4.2,4.2,4.2,4.2,229,0.0,1.0
2017-04-24,4.01,4.09,4.01,4.09,4.09,200,0.0,1.0
2017-04-25,4.48,4.48,4.48,4.48,4.48,677,0.0,1.0
2017-04-26,4.2,4.2,4.0,4.0,4.0,1513,0.0,1.0
2017-04-27,4.0,4.0,4.0,4.0,4.0,3,0.0,1.0
2017-04-28,3.56,4.003,3.2,4.003,4.003,7665,0.0,1.0
2017-05-01,4.003,4.003,4.003,4.003,4.003,10,0.0,1.0
2017-05-02,4.0,4.02,4.0,4.0,4.0,12000,0.0,1.0
2017-05-03,3.64,3.64,3.29,3.51,3.51,29228,0.0,1.0
2017-05-04,3.94,3.96,3.66,3.88,3.88,14715,0.0,1.0
2017-05-05,4.0,4.0,3.9,4.0,4.0,7099,0.0,1.0
2017-05-08,3.9,3.9,3.41,3.788,3.788,8348,0.0,1.0
2017-05-09,3.86,3.86,3.69,3.74,3.74,8267,0.0,1.0
2017-05-10,3.7,3.7,3.7,3.7,3.7,722,0.0,1.0
2017-05-11,3.62,3.62,3.62,3.62,3.62,3001,0.0,1.0
2017-05-12,3.53,3.86,3.53,3.856,3.856,3139,0.0,1.0
2017-05-15,3.65,3.84,3.65,3.84,3.84,8850,0.0,1.0
2017-05-16,3.745,3.745,3.55,3.69,3.69,7314,0.0,1.0
2017-05-17,3.72,3.72,3.69,3.69,3.69,502,0.0,1.0
2017-05-18,3.69,3.69,3.69,3.69,3.69,28,0.0,1.0
2017-05-19,3.8,3.8,3.8,3.8,3.8,8003,0.0,1.0
2017-05-22,3.74,3.78,3.74,3.78,3.78,5423,0.0,1.0
2017-05-23,3.78,3.78,3.78,3.78,3.78,5,0.0,1.0
2017-05-24,3.85,3.85,3.85,3.85,3.85,3395,0.0,1.0
2017-05-25,3.758,3.758,3.7,3.7,3.7,6125,0.0,1.0
2017-05-26,3.7,3.7,3.7,3.7,3.7,0,0.0,1.0
2017-05-30,3.7,3.7,3.7,3.7,3.7,0,0.0,1.0
2017-05-31,3.651,3.679,3.32,3.49,3.49,24900,0.0,1.0
2017-06-01,3.45,3.45,3.45,3.45,3.45,288,0.0,1.0
2017-06-02,3.45,3.45,3.45,3.45,3.45,11,0.0,1.0
2017-06-05,3.45,3.45,3.45,3.45,3.45,10,0.0,1.0
2017-06-06,3.0,3.31,2.8,3.31,3.31,1715,0.0,1.0
2017-06-07,3.3,3.3,3.3,3.3,3.3,206,0.0,1.0
2017-06-08,2.97,3.27,2.97,3.239,3.239,8975,0.0,1.0
2017-06-09,3.3,3.3,3.27,3.27,3.27,5901,0.0,1.0
2017-06-12,3.25,3.25,3.21,3.221,3.221,2986,0.0,1.0
2017-06-13,3.21,3.21,3.21,3.21,3.21,3492,0.0,1.0
2017-06-14,3.2,3.3,2.946,3.3,3.3,2844,0.0,1.0
2017-06-15,3.3,3.3,3.3,3.3,3.3,25,0.0,1.0
2017-06-16,3.24,3.3,3.23,3.3,3.3,5375,0.0,1.0
2017-06-19,3.4,3.41,3.3,3.4,3.4,4401,0.0,1.0
2017-06-20,3.391,3.391,3.391,3.391,3.391,405,0.0,1.0
2017-06-21,3.35,3.39,3.147,3.3,3.3,6100,0.0,1.0
2017-06-22,2.9,3.43,2.9,3.43,3.43,9311,0.0,1.0
2017-06-23,3.42,3.67,3.18,3.45,3.45,4610,0.0,1.0
2017-06-26,3.465,3.63,3.465,3.63,3.63,9885,0.0,1.0
2017-06-27,3.7,3.7,3.57,3.59,3.59,7100,0.0,1.0
2017-06-28,3.74,3.79,3.6,3.7,3.7,9650,0.0,1.0
2017-06-29,3.9,3.9,3.9,3.9,3.9,152,0.0,1.0
2017-06-30,4.0,4.72,3.38,3.82,3.82,35152,0.0,1.0
2017-07-03,3.82,3.82,3.82,3.82,3.82,18,0.0,1.0
2017-07-05,3.5,4.017,3.38,3.97,3.97,4733,0.0,1.0
2017-07-06,3.8536,3.87,3.6,3.75,3.75,7020,0.0,1.0
2017-07-07,3.74,3.95,3.68,3.95,3.95,27922,0.0,1.0
2017-07-10,3.9,3.959,3.89,3.95,3.95,4160,0.0,1.0
2017-07-11,3.87,3.87,3.86,3.862,3.862,1295,0.0,1.0
2017-07-12,3.75,3.83,3.75,3.83,3.83,350,0.0,1.0
2017-07-13,3.92,4.0,3.8382,3.85,3.85,3277,0.0,1.0
2017-07-14,4.07,4.07,3.76,3.98,3.98,3702,0.0,1.0
2017-07-17,3.98,3.98,3.98,3.98,3.98,100,0.0,1.0
2017-07-18,3.8,3.85,3.5,3.6,3.6,8263,0.0,1.0
2017-07-19,3.6,3.6,3.6,3.6,3.6,329,0.0,1.0
2017-07-20,3.65,3.68,3.65,3.68,3.68,755,0.0,1.0
2017-07-21,3.74,3.74,3.74,3.74,3.74,100,0.0,1.0
2017-07-24,3.78,3.85,3.675,3.675,3.675,3714,0.0,1.0
2017-07-25,3.74,3.74,3.55,3.55,3.55,402,0.0,1.0
2017-07-26,3.81,3.81,3.57,3.57,3.57,807,0.0,1.0
2017-07-27,3.8,3.8,3.78,3.78,3.78,4200,0.0,1.0
2017-07-28,3.8,3.81,3.6,3.75,3.75,6437,0.0,1.0
2017-07-31,3.4,3.62,3.4,3.52,3.52,13448,0.0,1.0
2017-08-01,3.52,3.52,3.52,3.52,3.52,60,0.0,1.0
2017-08-02,3.57,3.57,3.5,3.5,3.5,266,0.0,1.0
2017-08-03,3.5,3.5,3.5,3.5,3.5,0,0.0,1.0
2017-08-04,3.771,3.771,3.771,3.771,3.771,119,0.0,1.0
2017-08-07,3.69,3.69,3.59,3.59,3.59,3701,0.0,1.0
2017-08-08,3.55,3.73,3.389,3.471,3.471,8283,0.0,1.0
2017-08-09,3.378,3.62,3.378,3.5,3.5,3095,0.0,1.0
2017-08-10,3.59,3.65,3.47,3.65,3.65,2603,0.0,1.0
2017-08-11,3.65,3.695,3.56,3.695,3.695,3600,0.0,1.0
2017-08-14,3.7,3.7,3.63,3.63,3.63,994,0.0,1.0
2017-08-15,3.51,3.72,3.51,3.72,3.72,2552,0.0,1.0
