timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,8.125,8.188,8.063,8.125,2.1109,436800,0.0,1.0
2000-01-04,8.188,8.313,8.125,8.188,2.1273,469700,0.0,1.0
2000-01-05,8.313,8.5,8.25,8.5,2.2084,611300,0.0,1.0
2000-01-06,8.438,8.563,8.438,8.563,2.2247,617800,0.0,1.0
2000-01-07,8.563,8.625,8.5,8.5,2.2084,408400,0.0,1.0
2000-01-10,8.5,8.563,8.375,8.438,2.1923,579700,0.0,1.0
2000-01-11,8.438,8.625,8.438,8.438,2.1923,586100,0.0,1.0
2000-01-12,8.438,8.5,8.375,8.5,2.2084,445400,0.0,1.0
2000-01-13,8.438,8.5,8.438,8.5,2.2084,300000,0.0,1.0
2000-01-14,8.438,8.5,8.375,8.5,2.2084,369900,0.0,1.0
2000-01-18,8.5,8.5,8.375,8.375,2.1759,392200,0.0,1.0
2000-01-19,8.375,8.5,8.375,8.5,2.2084,336600,0.0,1.0
2000-01-20,8.5,8.5,8.375,8.438,2.1923,382500,0.0,1.0
2000-01-21,8.438,8.5,8.438,8.438,2.1923,485100,0.0,1.0
2000-01-24,8.5,8.5,8.438,8.438,2.1923,363100,0.0,1.0
2000-01-25,8.5,8.5,8.375,8.375,2.1759,560800,0.0,1.0
2000-01-26,8.438,8.438,8.375,8.375,2.1759,516800,0.0,1.0
2000-01-27,8.375,8.5,8.375,8.5,2.2084,355300,0.0,1.0
2000-01-28,8.438,8.5,8.438,8.438,2.1923,232800,0.0,1.0
2000-01-31,8.5,8.5,8.438,8.438,2.1923,408700,0.0,1.0
2000-02-01,8.5,8.5,8.438,8.438,2.1923,497200,0.0,1.0
2000-02-02,8.438,8.5,8.375,8.438,2.1923,400900,0.0,1.0
2000-02-03,8.5,8.5,8.438,8.5,2.2084,462100,0.0,1.0
2000-02-04,8.44,8.5,8.44,8.5,2.2084,364700,0.0,1.0
2000-02-07,8.438,8.5,8.438,8.438,2.1923,501900,0.0,1.0
2000-02-08,8.438,8.5,8.375,8.438,2.1923,532200,0.0,1.0
2000-02-09,8.438,8.5,8.375,8.438,2.1923,358900,0.0,1.0
2000-02-10,8.438,8.5,8.375,8.438,2.1923,571600,0.0,1.0
2000-02-11,8.438,8.438,8.313,8.313,2.1772,384100,0.067,1.0
2000-02-14,8.375,8.375,8.313,8.313,2.1772,448200,0.0,1.0
2000-02-15,8.375,8.438,8.313,8.438,2.2099,415100,0.0,1.0
2000-02-16,8.438,8.438,8.375,8.438,2.2099,428000,0.0,1.0
2000-02-17,8.438,8.438,8.375,8.438,2.2099,397700,0.0,1.0
2000-02-18,8.375,8.438,8.313,8.375,2.1934,533600,0.0,1.0
2000-02-22,8.375,8.375,8.313,8.313,2.1772,353200,0.0,1.0
2000-02-23,8.375,8.375,8.25,8.313,2.1772,305000,0.0,1.0
2000-02-24,8.313,8.313,8.188,8.188,2.1444,485800,0.0,1.0
2000-02-25,8.188,8.25,8.125,8.125,2.1279,457200,0.0,1.0
2000-02-28,8.313,8.313,8.125,8.313,2.1772,503000,0.0,1.0
2000-02-29,8.313,8.313,8.188,8.188,2.1444,282700,0.0,1.0
2000-03-01,8.25,8.25,8.188,8.188,2.1444,315200,0.0,1.0
2000-03-02,8.25,8.25,8.125,8.125,2.1279,419400,0.0,1.0
2000-03-03,8.125,8.188,8.063,8.063,2.1117,491100,0.0,1.0
2000-03-06,8.188,8.25,8.063,8.063,2.1117,456300,0.0,1.0
2000-03-07,8.125,8.125,8.063,8.125,2.1279,389500,0.0,1.0
2000-03-08,8.125,8.125,8.063,8.063,2.1117,288600,0.0,1.0
2000-03-09,8.125,8.125,8.063,8.063,2.1117,366400,0.0,1.0
2000-03-10,8.063,8.125,8.0,8.063,2.1117,462200,0.0,1.0
2000-03-13,8.0,8.063,7.938,8.0,2.1135,588300,0.07,1.0
2000-03-14,8.0,8.0,7.875,7.938,2.0972,532800,0.0,1.0
2000-03-15,8.0,8.0,7.875,8.0,2.1135,357200,0.0,1.0
