timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-03-02,51.7299,51.8999,51.6,51.8999,48.9478,417,0.0,1.0
2016-03-03,52.97,52.97,52.03,52.7493,49.7489,9411,0.0,1.0
2016-03-04,53.28,53.538,52.8,53.25,50.2211,17439,0.0,1.0
2016-03-07,53.09,53.48,52.76,53.25,50.2211,20439,0.0,1.0
2016-03-08,53.3,53.3,52.52,52.52,49.5327,10637,0.0,1.0
2016-03-09,52.83,53.21,52.83,52.9501,49.9383,7488,0.0,1.0
2016-03-10,53.62,53.62,52.6085,52.9,49.8911,16383,0.0,1.0
2016-03-11,54.08,54.3,53.8116,54.3,51.2114,10170,0.0,1.0
2016-03-14,54.28,54.28,53.86,54.039,50.9653,4488,0.0,1.0
2016-03-15,53.39,53.39,53.094,53.2568,50.2276,12287,0.0,1.0
2016-03-16,53.27,54.1,53.1,54.09,51.0134,7594,0.0,1.0
2016-03-17,54.4,54.99,54.22,54.91,51.7867,18616,0.0,1.0
2016-03-18,55.24,55.24,54.72,54.82,51.7018,20324,0.0,1.0
2016-03-21,55.26,55.26,54.36,54.6,51.5745,18649,0.085,1.0
2016-03-22,53.78,54.41,53.78,54.3,51.2911,21245,0.0,1.0
2016-03-23,54.44,54.44,53.65,53.65,50.6772,37510,0.0,1.0
2016-03-24,53.2,53.2,52.82,53.1229,50.1793,10244,0.0,1.0
2016-03-28,53.52,53.5362,52.86,53.5357,50.5692,24505,0.0,1.0
2016-03-29,53.36,54.0382,53.01,53.995,51.003,13680,0.0,1.0
2016-03-30,54.66,54.8326,54.4952,54.56,51.5367,11293,0.0,1.0
2016-03-31,54.57,54.57,54.11,54.13,51.1306,17494,0.0,1.0
2016-04-01,53.49,53.7544,53.063,53.7544,50.7758,10215,0.0,1.0
2016-04-04,53.85,53.85,53.4108,53.4108,50.4512,13957,0.0,1.0
2016-04-05,52.72,52.72,52.2894,52.3,49.402,25074,0.0,1.0
2016-04-06,52.59,53.08,52.2767,53.05,50.1104,6212,0.0,1.0
2016-04-07,52.74,52.74,52.0754,52.1317,49.243,10685,0.0,1.0
