timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2002-06-13,13.48,16.24,13.24,16.24,8.0877,20400,0.0,1.0
2002-06-14,16.24,16.24,16.24,16.24,8.0877,0,0.0,1.0
2002-06-17,16.24,16.24,16.24,16.24,8.0877,0,0.0,1.0
2002-06-18,16.24,16.24,16.24,16.24,8.0877,2000,0.0,1.0
2002-06-19,16.24,16.48,16.24,16.24,8.0877,18400,0.0,1.0
2002-06-20,16.0,16.0,15.4,15.4,7.6694,6900,0.0,1.0
2002-06-21,15.64,15.64,15.4,15.4,7.6694,5400,0.0,1.0
2002-06-24,15.24,15.48,15.24,15.48,7.7092,1700,0.0,1.0
2002-06-25,15.64,15.88,15.64,15.72,7.8288,19800,0.0,1.0
2002-06-26,15.24,15.72,15.24,15.24,7.5897,3000,0.0,1.0
2002-06-27,15.0,15.0,14.72,14.72,7.3308,2200,0.0,1.0
2002-06-28,14.88,15.0,14.0,14.0,6.9722,70900,0.0,1.0
2002-07-01,14.0,14.0,13.1,13.1,6.524,52100,0.0,1.0
2002-07-02,13.0,13.15,12.9,12.9,6.4244,99800,0.0,1.0
2002-07-03,12.9,13.05,12.6,12.6,6.275,60200,0.0,1.0
2002-07-05,12.7,12.7,12.43,12.59,6.27,49900,0.0,1.0
2002-07-08,12.65,12.95,12.55,12.6,6.275,140500,0.0,1.0
2002-07-09,12.55,12.7,12.4,12.4,6.1754,62300,0.0,1.0
2002-07-10,12.5,12.5,11.45,11.71,5.8317,72700,0.0,1.0
2002-07-11,11.7,11.95,11.7,11.7,5.8268,31500,0.0,1.0
2002-07-12,11.7,11.7,11.4,11.6,5.777,114000,0.0,1.0
2002-07-15,11.6,11.95,11.55,11.95,5.9513,171300,0.0,1.0
2002-07-16,12.2,12.65,12.1,12.55,6.2501,50300,0.0,1.0
2002-07-17,12.62,13.45,12.62,13.0,6.4742,109800,0.0,1.0
2002-07-18,12.98,13.25,12.8,12.9,6.4244,30100,0.0,1.0
2002-07-19,12.9,14.35,12.9,14.35,7.1465,22300,0.0,1.0
2002-07-22,14.25,14.45,13.7,13.7,6.8228,27800,0.0,1.0
2002-07-23,13.65,13.76,12.31,12.34,6.1455,29900,0.0,1.0
2002-07-24,12.44,12.6,12.1,12.45,6.2003,119900,0.0,1.0
2002-07-25,12.45,13.45,12.35,13.45,6.6983,19800,0.0,1.0
2002-07-26,13.45,13.45,13.15,13.45,6.6983,26300,0.0,1.0
2002-07-29,13.5,13.55,13.19,13.33,6.6385,82100,0.0,1.0
2002-07-30,13.3,13.5,13.06,13.39,6.6684,17900,0.0,1.0
2002-07-31,13.4,13.57,13.4,13.41,6.6784,13600,0.0,1.0
2002-08-01,13.4,13.45,13.24,13.28,6.6136,7400,0.0,1.0
2002-08-02,13.22,13.23,12.8,13.0,6.4742,12000,0.0,1.0
2002-08-05,13.0,13.4,12.79,13.4,6.6734,39900,0.0,1.0
2002-08-06,13.4,13.45,13.3,13.45,6.6983,16400,0.0,1.0
2002-08-07,13.46,13.8,13.35,13.77,6.8576,20500,0.0,1.0
2002-08-08,14.0,14.78,13.9,14.7,7.3208,16300,0.0,1.0
2002-08-09,14.7,15.3,14.65,15.3,7.6196,15000,0.0,1.0
2002-08-12,15.5,17.27,15.5,16.85,8.3915,58200,0.0,1.0
2002-08-13,16.85,16.9,16.5,16.5,8.2172,45900,0.0,1.0
2002-08-14,16.5,16.5,16.1,16.1,8.018,9000,0.0,1.0
2002-08-15,16.1,16.5,16.1,16.5,8.2172,81400,0.0,1.0
2002-08-16,16.4,16.4,16.0,16.0,7.9682,38600,0.0,1.0
2002-08-19,15.9,15.9,15.45,15.75,7.8437,20300,0.0,1.0
2002-08-20,15.75,15.85,15.45,15.49,7.7142,26300,0.0,1.0
2002-08-21,15.5,15.5,15.25,15.25,7.5947,22300,0.0,1.0
2002-08-22,15.27,15.31,14.8,14.8,7.3706,19200,0.0,1.0
2002-08-23,14.7,14.7,14.6,14.6,7.271,1300,0.0,1.0
2002-08-26,14.6,14.6,14.32,14.5,7.2212,19500,0.0,1.0
2002-08-27,14.45,14.8,14.4,14.7,7.3208,9400,0.0,1.0
2002-08-28,14.65,14.65,14.4,14.4,7.1714,9400,0.0,1.0
2002-08-29,14.35,14.45,14.25,14.25,7.0967,6400,0.0,1.0
2002-08-30,14.25,14.5,14.25,14.5,7.2212,6000,0.0,1.0
2002-09-03,14.4,14.5,14.3,14.4,7.1714,13000,0.0,1.0
2002-09-04,14.38,14.4,14.17,14.23,7.0867,48500,0.0,1.0
2002-09-05,14.01,14.15,14.01,14.05,6.9971,23000,0.0,1.0
2002-09-06,14.02,14.41,14.01,14.4,7.1714,11200,0.0,1.0
2002-09-09,14.3,14.56,14.15,14.56,7.2511,25800,0.0,1.0
2002-09-10,14.65,14.82,14.6,14.6,7.271,4900,0.0,1.0
2002-09-11,14.6,14.85,14.6,14.85,7.3955,4200,0.0,1.0
2002-09-12,14.95,14.95,14.8,14.94,7.4503,3500,0.02,1.0
2002-09-13,14.99,14.99,14.86,14.86,7.4104,6100,0.0,1.0
2002-09-16,14.9,14.95,14.8,14.95,7.4553,3300,0.0,1.0
2002-09-17,14.95,14.95,14.67,14.72,7.3406,2600,0.0,1.0
2002-09-18,14.62,14.62,14.45,14.45,7.2059,1700,0.0,1.0
2002-09-19,14.4,14.4,14.25,14.25,7.1062,9000,0.0,1.0
2002-09-20,14.15,14.2,13.8,14.15,7.0563,20000,0.0,1.0
2002-09-23,14.1,14.1,14.0,14.0,6.9815,16900,0.0,1.0
2002-09-24,13.91,14.05,13.91,14.01,6.9865,2400,0.0,1.0
2002-09-25,14.01,14.01,14.0,14.0,6.9815,3000,0.0,1.0
2002-09-26,14.0,14.2,14.0,14.15,7.0563,1600,0.0,1.0
2002-09-27,14.25,14.25,14.1,14.1,7.0314,1900,0.0,1.0
2002-09-30,14.09,14.25,13.95,14.24,7.1012,8700,0.0,1.0
2002-10-01,14.16,14.2,14.0,14.05,7.0065,27700,0.0,1.0
2002-10-02,14.04,14.15,13.99,13.99,6.9765,103800,0.0,1.0
2002-10-03,13.99,14.1,13.9,14.05,7.0065,44500,0.0,1.0
2002-10-04,14.0,14.15,14.0,14.0,6.9815,4300,0.0,1.0
2002-10-07,13.95,14.09,13.9,14.05,7.0065,6300,0.0,1.0
2002-10-08,13.98,14.08,13.93,14.03,6.9965,4600,0.0,1.0
2002-10-09,14.0,14.0,13.85,13.86,6.9117,3000,0.0,1.0
2002-10-10,13.86,13.98,13.86,13.95,6.9566,9500,0.0,1.0
2002-10-11,13.9,13.91,13.85,13.9,6.9317,12900,0.0,1.0
2002-10-14,13.85,14.2,13.85,14.15,7.0563,3300,0.0,1.0
2002-10-15,14.3,14.3,14.05,14.05,7.0065,2800,0.0,1.0
2002-10-16,13.95,14.15,13.95,14.15,7.0563,600,0.0,1.0
2002-10-17,14.2,14.25,14.0,14.01,6.9865,3200,0.0,1.0
2002-10-18,14.0,14.0,13.91,13.91,6.9366,3200,0.0,1.0
2002-10-21,13.9,13.9,13.85,13.9,6.9317,10500,0.0,1.0
2002-10-22,13.85,13.85,13.81,13.81,6.8868,400,0.0,1.0
2002-10-23,13.9,13.9,13.7,13.7,6.8319,2300,0.0,1.0
2002-10-24,13.8,13.8,13.7,13.8,6.8818,14300,0.0,1.0
2002-10-25,13.75,13.75,13.65,13.65,6.807,1000,0.0,1.0
2002-10-28,13.65,13.65,13.5,13.5,6.7322,19800,0.0,1.0
2002-10-29,13.5,13.6,13.41,13.5,6.7322,42000,0.0,1.0
2002-10-30,13.55,13.65,13.55,13.65,6.807,10600,0.0,1.0
2002-10-31,13.64,13.7,13.55,13.7,6.8319,41800,0.0,1.0
2002-11-01,13.68,13.79,13.64,13.64,6.802,3700,0.0,1.0
