timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-08-07,0.1001,0.1001,0.1001,0.1001,0.1001,35000,0.0,1.0
2014-08-08,0.101,0.101,0.101,0.101,0.101,4500,0.0,1.0
2014-08-11,0.101,0.101,0.101,0.101,0.101,0,0.0,1.0
2014-08-12,0.0851,0.0851,0.0851,0.0851,0.0851,7605,0.0,1.0
2014-08-13,0.0851,0.0851,0.0851,0.0851,0.0851,0,0.0,1.0
2014-08-14,0.095,0.1,0.095,0.1,0.1,52963,0.0,1.0
2014-08-18,0.095,0.1,0.095,0.1,0.1,0,0.0,1.0
2014-08-19,0.095,0.1,0.095,0.1,0.1,0,0.0,1.0
2014-08-20,0.095,0.1,0.095,0.1,0.1,0,0.0,1.0
2014-08-21,0.095,0.1,0.095,0.1,0.1,0,0.0,1.0
2014-08-22,0.125,0.125,0.1225,0.1225,0.1225,8900,0.0,1.0
2014-08-25,0.125,0.125,0.1225,0.1225,0.1225,0,0.0,1.0
2014-08-26,0.12,0.135,0.12,0.135,0.135,129389,0.0,1.0
2014-08-27,0.125,0.125,0.125,0.125,0.125,13000,0.0,1.0
2014-08-28,0.135,0.14,0.125,0.125,0.125,114814,0.0,1.0
2014-08-29,0.135,0.14,0.125,0.125,0.125,0,0.0,1.0
2014-09-02,0.135,0.14,0.125,0.125,0.125,0,0.0,1.0
2014-09-03,0.14,0.17,0.13,0.165,0.165,587461,0.0,1.0
2014-09-04,0.14,0.17,0.13,0.165,0.165,0,0.0,1.0
2014-09-05,0.249,0.295,0.249,0.255,0.255,933096,0.0,1.0
2014-09-08,0.249,0.295,0.249,0.255,0.255,0,0.0,1.0
2014-09-11,0.25,0.25,0.21,0.22,0.22,75300,0.0,1.0
2014-09-12,0.25,0.25,0.21,0.22,0.22,0,0.0,1.0
2014-09-17,0.25,0.25,0.21,0.22,0.22,0,0.0,1.0
2014-09-18,0.25,0.25,0.21,0.22,0.22,0,0.0,1.0
2014-09-19,0.1901,0.2199,0.1901,0.215,0.215,22063,0.0,1.0
2014-09-22,0.1901,0.2199,0.1901,0.215,0.215,0,0.0,1.0
2014-09-23,0.1901,0.2199,0.1901,0.215,0.215,0,0.0,1.0
2014-09-24,0.1901,0.2199,0.1901,0.215,0.215,0,0.0,1.0
2014-09-25,0.2,0.2,0.19,0.2,0.2,22500,0.0,1.0
2014-09-26,0.2,0.2,0.19,0.2,0.2,0,0.0,1.0
2014-09-29,0.2002,0.23,0.2002,0.23,0.23,27368,0.0,1.0
2014-09-30,0.23,0.23,0.195,0.2,0.2,24310,0.0,1.0
2014-10-01,0.2199,0.2199,0.1902,0.2,0.2,73951,0.0,1.0
2014-10-02,0.2,0.2,0.2,0.2,0.2,19194,0.0,1.0
2014-10-03,0.2,0.2,0.2,0.2,0.2,0,0.0,1.0
2014-10-06,0.2,0.2,0.2,0.2,0.2,0,0.0,1.0
2014-10-07,0.2,0.2,0.2,0.2,0.2,0,0.0,1.0
2014-10-08,0.2,0.2,0.2,0.2,0.2,0,0.0,1.0
2014-10-09,0.2,0.2,0.2,0.2,0.2,0,0.0,1.0
2014-10-10,0.2,0.2,0.2,0.2,0.2,0,0.0,1.0
2014-10-13,0.19,0.19,0.17,0.17,0.17,25446,0.0,1.0
2014-10-14,0.173,0.173,0.173,0.173,0.173,17000,0.0,1.0
2014-10-15,0.173,0.173,0.16,0.17,0.17,50500,0.0,1.0
2014-10-16,0.173,0.173,0.16,0.17,0.17,0,0.0,1.0
2014-10-17,0.173,0.173,0.16,0.17,0.17,0,0.0,1.0
2014-10-20,0.17,0.17,0.17,0.17,0.17,5000,0.0,1.0
2014-10-21,0.1799,0.1799,0.1694,0.1699,0.1699,26660,0.0,1.0
2014-10-22,0.1651,0.1651,0.1551,0.1551,0.1551,30481,0.0,1.0
2014-10-23,0.1651,0.1651,0.1551,0.1551,0.1551,0,0.0,1.0
2014-10-24,0.1651,0.1651,0.1551,0.1551,0.1551,0,0.0,1.0
2014-10-27,0.1651,0.1651,0.1551,0.1551,0.1551,0,0.0,1.0
2014-10-28,0.1651,0.1651,0.1551,0.1551,0.1551,0,0.0,1.0
2014-10-29,0.1651,0.1651,0.1551,0.1551,0.1551,0,0.0,1.0
2014-10-30,0.1401,0.17,0.1401,0.15,0.15,26157,0.0,1.0
