timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-05-25,16.0,17.2,16.0,16.5,16.5,8612687,0.0,1.0
2017-05-26,16.5,18.0,16.5,17.55,17.55,1730486,0.0,1.0
2017-05-30,17.46,18.0,17.25,17.77,17.77,962955,0.0,1.0
2017-05-31,17.84,18.38,17.51,18.37,18.37,768062,0.0,1.0
2017-06-01,18.4,18.83,17.89,18.08,18.08,1167621,0.0,1.0
2017-06-02,18.38,18.465,17.84,18.0,18.0,824977,0.0,1.0
2017-06-05,17.95,18.0,17.26,17.75,17.75,315534,0.0,1.0
2017-06-06,17.7,17.7,17.11,17.15,17.15,173021,0.0,1.0
2017-06-07,17.11,17.2,16.71,16.74,16.74,370511,0.0,1.0
2017-06-08,16.72,17.38,16.57,17.1,17.1,260234,0.0,1.0
2017-06-09,17.06,17.1,16.71,16.91,16.91,109358,0.0,1.0
2017-06-12,16.84,17.0,16.8,16.96,16.96,297717,0.0,1.0
2017-06-13,17.03,17.2,16.57,17.13,17.13,266371,0.0,1.0
2017-06-14,17.06,17.2,17.02,17.14,17.14,219773,0.0,1.0
2017-06-15,17.03,17.185,16.84,17.12,17.12,140829,0.0,1.0
2017-06-16,17.15,17.59,17.02,17.59,17.59,217925,0.0,1.0
2017-06-19,17.7,17.86,17.08,17.83,17.83,704474,0.0,1.0
2017-06-20,17.83,17.87,17.16,17.34,17.34,489528,0.0,1.0
2017-06-21,17.35,17.35,17.01,17.21,17.21,264609,0.0,1.0
2017-06-22,17.15,17.465,17.06,17.15,17.15,499353,0.0,1.0
2017-06-23,17.09,17.5,17.01,17.42,17.42,299372,0.0,1.0
2017-06-26,17.5,17.59,17.03,17.36,17.36,523091,0.0,1.0
2017-06-27,17.3,17.79,17.16,17.49,17.49,442910,0.0,1.0
2017-06-28,17.43,17.6,17.21,17.4,17.4,302951,0.0,1.0
2017-06-29,17.46,17.52,16.655,17.15,17.15,360305,0.0,1.0
2017-06-30,17.06,17.68,17.06,17.4,17.4,836797,0.0,1.0
2017-07-03,17.48,17.885,17.37,17.42,17.42,302286,0.0,1.0
2017-07-05,17.49,17.68,17.18,17.45,17.45,308565,0.0,1.0
2017-07-06,17.46,17.5,17.03,17.39,17.39,322338,0.0,1.0
2017-07-07,17.49,17.5,17.21,17.37,17.37,381311,0.0,1.0
2017-07-10,17.34,17.45,17.075,17.29,17.29,138914,0.0,1.0
2017-07-11,17.3,17.3,16.91,17.09,17.09,128540,0.0,1.0
2017-07-12,17.24,17.24,16.88,16.96,16.96,188212,0.0,1.0
