timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,10.06,10.12,10.0,10.0,6.2358,138800,0.0,1.0
2000-01-04,9.94,10.0,9.81,9.94,6.1984,220400,0.0,1.0
2000-01-05,9.75,10.0,9.75,9.88,6.348,110800,0.3,1.0
2000-01-06,9.88,10.0,9.81,9.94,6.3866,108800,0.0,1.0
2000-01-07,10.06,10.06,9.94,9.94,6.3866,128400,0.0,1.0
2000-01-10,10.06,10.12,9.94,10.06,6.4637,220800,0.0,1.0
2000-01-11,10.06,10.31,10.06,10.06,6.4637,321600,0.0,1.0
2000-01-12,10.06,10.19,10.06,10.06,6.4637,200000,0.0,1.0
2000-01-13,10.06,10.19,10.0,10.12,6.5022,120400,0.0,1.0
2000-01-14,10.25,10.38,10.19,10.31,6.6243,205200,0.0,1.0
2000-01-18,10.31,10.44,10.25,10.44,6.7078,150400,0.0,1.0
2000-01-19,10.38,10.44,10.25,10.25,6.5858,89200,0.0,1.0
2000-01-20,10.25,10.31,10.12,10.12,6.5022,84400,0.0,1.0
2000-01-21,10.12,10.19,9.94,10.0,6.4251,116400,0.0,1.0
2000-01-24,9.94,10.0,9.69,9.75,6.2645,185200,0.0,1.0
2000-01-25,9.75,9.94,9.75,9.75,6.2645,96800,0.0,1.0
2000-01-26,9.81,9.81,9.62,9.62,6.181,76000,0.0,1.0
2000-01-27,9.62,9.75,9.62,9.75,6.2645,128400,0.0,1.0
2000-01-28,9.75,9.75,9.56,9.62,6.181,84000,0.0,1.0
2000-01-31,9.62,9.69,9.5,9.56,6.1424,77600,0.0,1.0
2000-02-01,9.56,9.69,9.56,9.62,6.181,70400,0.0,1.0
2000-02-02,9.62,9.69,9.5,9.5,6.1039,109200,0.0,1.0
2000-02-03,9.62,9.69,9.56,9.69,6.2259,75600,0.0,1.0
2000-02-04,9.62,9.75,9.56,9.62,6.181,94400,0.0,1.0
2000-02-07,9.62,9.69,9.56,9.69,6.2259,88400,0.0,1.0
2000-02-08,9.62,9.69,9.62,9.69,6.2259,141200,0.0,1.0
2000-02-09,9.62,9.69,9.56,9.62,6.181,98000,0.0,1.0
2000-02-10,9.62,9.69,9.5,9.56,6.1424,110000,0.0,1.0
2000-02-11,9.56,9.62,9.5,9.5,6.1039,87600,0.0,1.0
2000-02-14,9.56,9.62,9.5,9.56,6.1424,84000,0.0,1.0
2000-02-15,9.5,9.62,9.5,9.62,6.181,82400,0.0,1.0
2000-02-16,9.56,9.62,9.5,9.56,6.1424,53600,0.0,1.0
2000-02-17,9.56,9.62,9.5,9.56,6.1424,95200,0.0,1.0
2000-02-18,9.5,9.56,9.5,9.56,6.1424,87600,0.0,1.0
2000-02-22,9.44,9.5,9.25,9.44,6.0653,174800,0.0,1.0
2000-02-23,9.44,9.44,9.31,9.44,6.0653,69600,0.0,1.0
2000-02-24,9.44,9.44,9.25,9.31,5.9818,78400,0.0,1.0
2000-02-25,9.31,9.38,9.25,9.31,5.9818,74800,0.0,1.0
2000-02-28,9.25,9.31,9.12,9.31,5.9818,112000,0.0,1.0
2000-02-29,9.31,9.38,9.25,9.31,5.9818,114000,0.0,1.0
2000-03-01,9.25,9.31,9.25,9.25,5.9432,173600,0.0,1.0
2000-03-02,9.25,9.31,9.19,9.19,5.9047,151200,0.0,1.0
2000-03-03,9.31,9.38,9.31,9.31,5.9818,144800,0.0,1.0
2000-03-06,9.31,9.38,9.25,9.25,5.9432,84000,0.0,1.0
2000-03-07,9.31,9.38,9.25,9.31,5.9818,107600,0.0,1.0
2000-03-08,9.31,9.38,9.19,9.31,5.9818,88800,0.0,1.0
2000-03-09,9.25,9.31,9.19,9.25,5.9432,88400,0.0,1.0
2000-03-10,9.19,9.31,9.19,9.19,5.9047,93600,0.0,1.0
2000-03-13,9.19,9.25,9.06,9.12,5.8597,204000,0.0,1.0
2000-03-14,9.12,9.19,9.06,9.19,5.9047,94000,0.0,1.0
2000-03-15,9.12,9.31,9.06,9.25,5.9432,140000,0.0,1.0
2000-03-16,9.31,9.44,9.25,9.44,6.0653,161200,0.0,1.0
2000-03-17,9.44,9.56,9.31,9.44,6.0653,134400,0.0,1.0
2000-03-20,9.56,9.69,9.56,9.69,6.2259,99200,0.0,1.0
2000-03-21,9.69,9.81,9.62,9.81,6.3031,184000,0.0,1.0
2000-03-22,9.81,9.94,9.75,9.75,6.2645,141600,0.0,1.0
2000-03-23,9.75,10.0,9.75,9.94,6.3866,104800,0.0,1.0
2000-03-24,10.0,10.0,9.88,9.94,6.3866,88400,0.0,1.0
2000-03-27,9.88,10.0,9.81,10.0,6.4251,135600,0.0,1.0
2000-03-28,9.94,10.0,9.88,10.0,6.4251,85200,0.0,1.0
2000-03-29,10.0,10.0,9.81,9.88,6.348,67600,0.0,1.0
2000-03-30,9.81,9.94,9.75,9.94,6.3866,139600,0.0,1.0
2000-03-31,9.94,10.0,9.81,10.0,6.4251,84000,0.0,1.0
2000-04-03,9.94,10.06,9.94,10.0,6.4251,141200,0.0,1.0
2000-04-04,10.06,10.06,9.75,9.88,6.348,234400,0.0,1.0
2000-04-05,10.0,10.06,9.81,10.0,6.4251,140400,0.0,1.0
2000-04-06,9.81,9.94,9.75,9.75,6.4573,113600,0.3,1.0
2000-04-07,9.75,9.88,9.69,9.75,6.4573,62800,0.0,1.0
2000-04-10,9.81,9.88,9.75,9.81,6.497,75600,0.0,1.0
2000-04-11,9.75,9.94,9.69,9.88,6.5434,158000,0.0,1.0
2000-04-12,9.88,10.06,9.88,9.94,6.5831,244400,0.0,1.0
2000-04-13,9.94,10.06,9.81,9.81,6.497,100400,0.0,1.0
2000-04-14,9.81,9.81,9.62,9.62,6.3712,96400,0.0,1.0
2000-04-17,9.62,9.75,9.5,9.62,6.3712,89200,0.0,1.0
2000-04-18,9.62,9.69,9.62,9.69,6.4175,66800,0.0,1.0
2000-04-19,9.69,9.69,9.62,9.62,6.3712,53600,0.0,1.0
2000-04-20,9.69,9.81,9.62,9.69,6.4175,79600,0.0,1.0
2000-04-24,9.69,9.75,9.62,9.75,6.4573,69600,0.0,1.0
2000-04-25,9.69,9.81,9.69,9.75,6.4573,68400,0.0,1.0
2000-04-26,9.94,10.0,9.69,9.75,6.4573,238400,0.0,1.0
2000-04-27,9.69,9.81,9.69,9.81,6.497,185600,0.0,1.0
2000-04-28,9.81,9.88,9.75,9.81,6.497,45200,0.0,1.0
2000-05-01,9.81,9.88,9.75,9.81,6.497,40400,0.0,1.0
2000-05-02,9.81,9.94,9.75,9.94,6.5831,62000,0.0,1.0
2000-05-03,9.94,9.94,9.75,9.81,6.497,90400,0.0,1.0
2000-05-04,9.88,9.94,9.81,9.94,6.5831,138400,0.0,1.0
2000-05-05,9.94,9.94,9.88,9.94,6.5831,48400,0.0,1.0
2000-05-08,9.94,9.94,9.88,9.94,6.5831,42400,0.0,1.0
2000-05-09,9.94,9.94,9.88,9.88,6.5434,41600,0.0,1.0
2000-05-10,9.88,9.94,9.81,9.81,6.497,90000,0.0,1.0
2000-05-11,9.88,9.88,9.75,9.81,6.497,47200,0.0,1.0
2000-05-12,9.75,9.88,9.75,9.75,6.4573,45200,0.0,1.0
2000-05-15,9.75,9.81,9.69,9.75,6.4573,88800,0.0,1.0
2000-05-16,9.75,9.88,9.69,9.69,6.4175,74400,0.0,1.0
2000-05-17,9.62,9.75,9.44,9.5,6.2917,102400,0.0,1.0
2000-05-18,9.5,9.62,9.44,9.5,6.2917,56800,0.0,1.0
2000-05-19,9.44,9.44,9.25,9.25,6.1261,62800,0.0,1.0
2000-05-22,9.25,9.38,9.25,9.25,6.1261,60000,0.0,1.0
2000-05-23,9.25,9.38,9.25,9.25,6.1261,99600,0.0,1.0
2000-05-24,9.31,9.44,9.25,9.38,6.2122,74400,0.0,1.0
2000-05-25,9.38,9.44,9.31,9.38,6.2122,60000,0.0,1.0
2000-05-26,9.44,9.5,9.31,9.5,6.2917,42400,0.0,1.0
2000-05-30,9.5,9.62,9.5,9.5,6.2917,49200,0.0,1.0
2000-05-31,9.5,9.56,9.44,9.44,6.2519,45600,0.0,1.0
2000-06-01,9.5,9.62,9.5,9.56,6.3314,56000,0.0,1.0
2000-06-02,9.62,9.81,9.56,9.62,6.3712,87600,0.0,1.0
2000-06-05,9.62,9.88,9.62,9.75,6.4573,58000,0.0,1.0
2000-06-06,9.75,9.81,9.69,9.75,6.4573,78000,0.0,1.0
2000-06-07,9.88,9.94,9.75,9.81,6.497,50400,0.0,1.0
2000-06-08,9.81,9.94,9.69,9.75,6.4573,127600,0.0,1.0
2000-06-09,9.81,9.94,9.75,9.81,6.497,74400,0.0,1.0
2000-06-12,9.88,9.88,9.69,9.81,6.497,122400,0.0,1.0
2000-06-13,9.81,9.88,9.69,9.75,6.4573,97600,0.0,1.0
2000-06-14,9.81,9.88,9.75,9.75,6.4573,59200,0.0,1.0
2000-06-15,9.75,9.81,9.69,9.75,6.4573,130000,0.0,1.0
2000-06-16,9.81,9.81,9.69,9.75,6.4573,62400,0.0,1.0
2000-06-19,9.75,9.88,9.69,9.81,6.497,83200,0.0,1.0
2000-06-20,9.81,9.88,9.75,9.75,6.4573,85200,0.0,1.0
2000-06-21,9.75,9.88,9.75,9.81,6.497,87600,0.0,1.0
2000-06-22,9.81,9.88,9.75,9.88,6.5434,43200,0.0,1.0
2000-06-23,9.81,9.94,9.81,9.88,6.5434,55200,0.0,1.0
2000-06-26,9.81,9.94,9.81,9.94,6.5831,73600,0.0,1.0
2000-06-27,9.94,10.0,9.88,9.94,6.5831,82400,0.0,1.0
2000-06-28,9.94,10.0,9.88,10.0,6.6228,56000,0.0,1.0
2000-06-29,9.88,10.0,9.88,9.88,6.5434,36000,0.0,1.0
2000-06-30,9.94,10.0,9.88,10.0,6.6228,33200,0.0,1.0
2000-07-03,10.0,10.06,9.94,10.0,6.6228,56800,0.0,1.0
