timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-09-01,7.61,8.68,7.5,8.45,8.45,300344,0.0,1.0
2017-09-05,9.16,9.65,8.8,9.485,9.485,149436,0.0,1.0
2017-09-06,9.94,10.5,9.5,10.27,10.27,171520,0.0,1.0
2017-09-07,10.45,10.5,8.5,8.86,8.86,176800,0.0,1.0
2017-09-08,8.88,8.88,8.1701,8.32,8.32,65657,0.0,1.0
2017-09-11,8.4,8.94,7.78,7.92,7.92,47404,0.0,1.0
2017-09-12,7.85,8.11,7.85,7.91,7.91,29664,0.0,1.0
2017-09-13,8.0,8.24,8.0,8.0,8.0,36706,0.0,1.0
2017-09-14,8.0101,8.2,7.92,7.92,7.92,33613,0.0,1.0
2017-09-15,8.17,8.17,7.9,8.15,8.15,47174,0.0,1.0
2017-09-18,8.16,8.17,7.95,8.1,8.1,24184,0.0,1.0
2017-09-19,8.07,8.26,7.95,8.26,8.26,24535,0.0,1.0
2017-09-20,8.37,8.97,8.34,8.49,8.49,51196,0.0,1.0
2017-09-21,8.54,8.54,8.4,8.48,8.48,9061,0.0,1.0
2017-09-22,8.54,8.6,8.318,8.35,8.35,25589,0.0,1.0
2017-09-25,8.49,8.62,8.26,8.42,8.42,32668,0.0,1.0
2017-09-26,8.46,8.46,8.26,8.37,8.37,6801,0.0,1.0
2017-09-27,8.29,8.754,8.27,8.57,8.57,42794,0.0,1.0
2017-09-28,8.7,8.7,8.53,8.62,8.62,6032,0.0,1.0
2017-09-29,8.6,8.68,8.6,8.68,8.68,5305,0.0,1.0
2017-10-02,8.76,8.78,8.62,8.65,8.65,10643,0.0,1.0
2017-10-03,8.651,8.75,8.4,8.5,8.5,18805,0.0,1.0
2017-10-04,8.51,8.59,8.41,8.44,8.44,15394,0.0,1.0
2017-10-05,8.4,8.579,8.4,8.5,8.5,7927,0.0,1.0
2017-10-06,8.59,8.77,8.5,8.69,8.69,25923,0.0,1.0
2017-10-09,8.78,8.97,8.6,8.73,8.73,71500,0.0,1.0
