timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-08-05,18.0,22.25,15.5,16.25,16.25,1534917,0.0,1.0
2015-08-06,16.48,19.5,16.46,19.32,19.32,331792,0.0,1.0
2015-08-07,19.31,24.9,19.31,24.54,24.54,269397,0.0,1.0
2015-08-10,29.7,42.85,27.5,35.14,35.14,539255,0.0,1.0
2015-08-11,35.98,37.6882,28.16,29.73,29.73,243632,0.0,1.0
2015-08-12,28.91,36.0,28.0,32.05,32.05,238014,0.0,1.0
2015-08-13,35.0,43.0,32.52,36.49,36.49,407807,0.0,1.0
2015-08-14,37.98,39.4999,33.6797,34.84,34.84,233090,0.0,1.0
2015-08-17,35.42,36.3,32.04,34.11,34.11,124093,0.0,1.0
2015-08-18,34.72,34.72,31.45,32.22,32.22,141591,0.0,1.0
2015-08-19,31.6,31.69,29.38,31.28,31.28,119814,0.0,1.0
2015-08-20,30.43,31.0,28.005,28.18,28.18,156474,0.0,1.0
2015-08-21,27.23,27.94,25.27,27.39,27.39,140695,0.0,1.0
2015-08-24,25.72,27.55,22.09,26.8,26.8,52600,0.0,1.0
2015-08-25,27.0,27.0,23.031,23.07,23.07,64648,0.0,1.0
2015-08-26,24.0,26.1412,22.0501,22.75,22.75,113266,0.0,1.0
2015-08-27,22.75,28.0,22.5,25.67,25.67,145750,0.0,1.0
2015-08-28,25.11,29.1,24.53,27.4,27.4,61751,0.0,1.0
2015-08-31,27.61,30.08,27.39,28.11,28.11,175419,0.0,1.0
2015-09-01,27.12,28.94,26.6238,28.75,28.75,19640,0.0,1.0
2015-09-02,29.0,32.0,27.0,30.04,30.04,80185,0.0,1.0
2015-09-03,30.0,33.06,28.2501,28.78,28.78,87294,0.0,1.0
2015-09-04,27.93,29.4999,27.13,28.8,28.8,81054,0.0,1.0
2015-09-08,29.76,30.21,27.31,27.89,27.89,64522,0.0,1.0
2015-09-09,28.3,29.03,25.0,26.11,26.11,64808,0.0,1.0
2015-09-10,25.55,25.97,23.21,23.99,23.99,81153,0.0,1.0
2015-09-11,23.9,23.9,19.2,20.8,20.8,311308,0.0,1.0
2015-09-14,21.22,21.22,20.01,20.73,20.73,84905,0.0,1.0
2015-09-15,21.65,23.63,20.8,21.02,21.02,169416,0.0,1.0
2015-09-16,20.61,21.46,20.25,20.59,20.59,115794,0.0,1.0
2015-09-17,20.48,20.5835,18.21,20.0,20.0,143848,0.0,1.0
2015-09-18,19.73,20.86,19.01,19.51,19.51,124883,0.0,1.0
2015-09-21,19.31,20.25,18.43,18.58,18.58,111388,0.0,1.0
2015-09-22,18.12,18.91,17.67,17.99,17.99,61914,0.0,1.0
2015-09-23,18.03,18.62,17.7,18.58,18.58,36651,0.0,1.0
2015-09-24,18.22,19.0,16.4994,17.25,17.25,141917,0.0,1.0
2015-09-25,17.6,18.15,15.54,16.08,16.08,132354,0.0,1.0
2015-09-28,15.92,15.92,12.16,14.03,14.03,217077,0.0,1.0
2015-09-29,14.52,14.72,12.0,12.66,12.66,143403,0.0,1.0
2015-09-30,12.8,14.714,12.8,14.31,14.31,331087,0.0,1.0
2015-10-01,14.8,14.8,12.235,13.26,13.26,148313,0.0,1.0
2015-10-02,12.93,13.38,12.2,13.03,13.03,115862,0.0,1.0
2015-10-05,13.13,14.58,12.57,14.46,14.46,87636,0.0,1.0
2015-10-06,14.61,14.75,13.39,14.09,14.09,58412,0.0,1.0
2015-10-07,14.36,14.36,13.23,13.52,13.52,141039,0.0,1.0
2015-10-08,13.33,14.69,13.05,14.52,14.52,70466,0.0,1.0
2015-10-09,14.5,14.711,13.78,14.38,14.38,89808,0.0,1.0
2015-10-12,14.19,14.84,13.6601,14.68,14.68,51439,0.0,1.0
2015-10-13,14.47,14.55,14.16,14.36,14.36,52322,0.0,1.0
2015-10-14,14.23,15.7,14.2,15.23,15.23,93437,0.0,1.0
2015-10-15,15.25,17.8187,15.25,17.32,17.32,135661,0.0,1.0
2015-10-16,17.4,18.25,15.824,16.02,16.02,98668,0.0,1.0
2015-10-19,16.14,16.95,15.5505,16.04,16.04,140628,0.0,1.0
2015-10-20,15.85,16.17,14.6,15.12,15.12,121901,0.0,1.0
2015-10-21,15.05,15.99,13.8666,14.1,14.1,199515,0.0,1.0
2015-10-22,14.34,15.25,12.75,12.84,12.84,185631,0.0,1.0
2015-10-23,13.12,13.72,12.3472,12.78,12.78,141906,0.0,1.0
2015-10-26,12.62,13.07,12.16,12.84,12.84,47959,0.0,1.0
2015-10-27,12.84,12.84,12.41,12.51,12.51,84894,0.0,1.0
2015-10-28,12.59,13.76,12.51,12.77,12.77,100294,0.0,1.0
2015-10-29,12.81,13.5,12.47,12.59,12.59,101834,0.0,1.0
2015-10-30,12.6,13.136,12.36,12.59,12.59,54962,0.0,1.0
2015-11-02,12.67,13.3,12.67,13.12,13.12,60195,0.0,1.0
2015-11-03,13.04,14.31,12.94,13.96,13.96,33983,0.0,1.0
2015-11-04,14.08,14.41,13.49,13.66,13.66,77851,0.0,1.0
2015-11-05,13.5,14.77,13.5,14.29,14.29,96477,0.0,1.0
2015-11-06,14.12,14.45,13.34,14.11,14.11,106782,0.0,1.0
2015-11-09,14.09,14.27,13.14,13.37,13.37,110888,0.0,1.0
2015-11-10,13.28,13.55,12.8,12.8,12.8,66323,0.0,1.0
2015-11-11,12.91,13.22,12.76,13.05,13.05,72611,0.0,1.0
2015-11-12,12.6,13.47,12.33,12.71,12.71,103509,0.0,1.0
2015-11-13,12.71,13.56,12.67,12.96,12.96,64121,0.0,1.0
2015-11-16,12.87,14.05,12.66,13.25,13.25,124167,0.0,1.0
2015-11-17,13.26,13.84,13.1,13.59,13.59,65503,0.0,1.0
2015-11-18,13.59,13.93,13.12,13.3,13.3,80073,0.0,1.0
2015-11-19,13.25,13.7,12.8,13.26,13.26,44636,0.0,1.0
2015-11-20,13.32,13.62,12.92,13.0,13.0,34651,0.0,1.0
2015-11-23,12.86,13.7,12.8,13.4,13.4,98184,0.0,1.0
2015-11-24,13.47,14.27,13.31,13.48,13.48,41339,0.0,1.0
2015-11-25,13.36,14.23,13.04,13.64,13.64,140078,0.0,1.0
2015-11-27,13.64,14.04,13.31,13.4,13.4,46343,0.0,1.0
2015-11-30,13.56,13.8,12.6,13.57,13.57,54936,0.0,1.0
2015-12-01,13.57,13.58,13.03,13.53,13.53,36385,0.0,1.0
2015-12-02,13.39,13.88,13.02,13.03,13.03,46739,0.0,1.0
2015-12-03,13.08,13.95,12.75,13.14,13.14,58275,0.0,1.0
2015-12-04,13.04,13.36,12.85,12.96,12.96,48501,0.0,1.0
2015-12-07,12.82,13.2,12.62,13.1,13.1,73332,0.0,1.0
2015-12-08,12.84,13.5,12.84,13.37,13.37,31037,0.0,1.0
2015-12-09,13.83,13.83,12.8,13.17,13.17,90523,0.0,1.0
2015-12-10,13.11,13.27,12.76,13.22,13.22,73837,0.0,1.0
2015-12-11,12.99,13.43,12.7601,13.19,13.19,72561,0.0,1.0
2015-12-14,13.26,13.65,12.93,13.37,13.37,77608,0.0,1.0
2015-12-15,13.42,13.47,13.02,13.07,13.07,46116,0.0,1.0
2015-12-16,13.3,14.5,13.18,13.35,13.35,120347,0.0,1.0
2015-12-17,13.55,14.22,12.55,13.03,13.03,82885,0.0,1.0
2015-12-18,13.07,13.16,12.12,12.22,12.22,124523,0.0,1.0
2015-12-21,12.24,12.49,10.89,11.67,11.67,47472,0.0,1.0
2015-12-22,11.66,11.8794,11.101,11.46,11.46,12654,0.0,1.0
2015-12-23,11.56,11.75,11.06,11.45,11.45,154860,0.0,1.0
2015-12-24,11.49,12.77,10.99,11.21,11.21,62841,0.0,1.0
2015-12-28,11.09,11.3999,10.6,10.61,10.61,42744,0.0,1.0
2015-12-29,10.63,10.8,9.78,10.19,10.19,82042,0.0,1.0
2015-12-30,10.07,10.07,9.3971,9.61,9.61,88982,0.0,1.0
2015-12-31,9.61,10.2,9.33,10.07,10.07,105305,0.0,1.0
2016-01-04,9.81,9.84,9.0,9.67,9.67,119593,0.0,1.0
2016-01-05,9.6,9.78,9.25,9.25,9.25,40915,0.0,1.0
2016-01-06,9.01,9.38,8.92,9.1,9.1,55898,0.0,1.0
2016-01-07,8.99,8.99,8.5408,8.75,8.75,39099,0.0,1.0
2016-01-08,8.78,9.35,8.72,8.77,8.77,45732,0.0,1.0
2016-01-11,8.8,8.8,8.08,8.54,8.54,59820,0.0,1.0
2016-01-12,8.6,8.8199,8.19,8.43,8.43,44137,0.0,1.0
2016-01-13,8.86,9.17,7.9,8.04,8.04,63272,0.0,1.0
2016-01-14,8.06,8.66,7.42,8.6,8.6,48411,0.0,1.0
2016-01-15,8.27,8.44,7.7,7.86,7.86,26081,0.0,1.0
2016-01-19,8.15,10.84,7.55,9.41,9.41,128194,0.0,1.0
2016-01-20,9.09,9.735,8.15,9.4,9.4,66512,0.0,1.0
2016-01-21,9.28,10.0,8.84,9.45,9.45,31683,0.0,1.0
2016-01-22,9.68,9.68,8.99,9.04,9.04,55761,0.0,1.0
2016-01-25,8.9,9.7999,8.1291,8.16,8.16,27813,0.0,1.0
2016-01-26,8.32,8.33,7.6115,7.66,7.66,63099,0.0,1.0
2016-01-27,7.6,8.01,7.05,7.15,7.15,32144,0.0,1.0
2016-01-28,7.26,7.26,6.2,6.3,6.3,154972,0.0,1.0
2016-01-29,6.37,6.72,6.35,6.62,6.62,34152,0.0,1.0
2016-02-01,6.64,6.64,6.36,6.39,6.39,64984,0.0,1.0
2016-02-02,6.31,6.48,6.1735,6.29,6.29,20488,0.0,1.0
2016-02-03,6.4,6.4,5.8,6.05,6.05,52653,0.0,1.0
2016-02-04,6.09,6.49,6.09,6.32,6.32,29016,0.0,1.0
2016-02-05,6.28,6.5599,6.18,6.18,6.18,22072,0.0,1.0
2016-02-08,6.06,6.51,5.8,5.85,5.85,41013,0.0,1.0
2016-02-09,5.8,6.16,5.14,5.36,5.36,50469,0.0,1.0
2016-02-10,5.4,5.4,4.78,4.99,4.99,194436,0.0,1.0
2016-02-11,4.75,6.14,4.64,5.93,5.93,99114,0.0,1.0
2016-02-12,6.28,7.0699,6.05,6.49,6.49,192311,0.0,1.0
2016-02-16,6.76,7.0,5.7407,6.17,6.17,208481,0.0,1.0
2016-02-17,6.39,6.64,6.25,6.39,6.39,52777,0.0,1.0
2016-02-18,6.45,6.49,6.05,6.07,6.07,125504,0.0,1.0
2016-02-19,6.05,6.225,5.76,6.01,6.01,34841,0.0,1.0
2016-02-22,6.1,6.18,5.59,5.78,5.78,31312,0.0,1.0
2016-02-23,5.79,6.03,5.17,5.95,5.95,265392,0.0,1.0
2016-02-24,5.85,6.21,5.85,6.02,6.02,42487,0.0,1.0
2016-02-25,5.99,6.17,5.85,5.94,5.94,117738,0.0,1.0
2016-02-26,5.94,6.28,5.54,6.04,6.04,31979,0.0,1.0
2016-02-29,5.98,6.07,5.69,6.0,6.0,33099,0.0,1.0
2016-03-01,6.03,6.16,5.75,5.93,5.93,50717,0.0,1.0
